001_00	سه‌رنجی سه‌ره‌تای سوره‌تی (البقر‌ة) بده.
165_00	ئایا له ناو ئه‌و هه‌موو خه‌ڵکه‌دا ئێوه به شوێن نێرینه‌دا ده‌گه‌ڕێن و ده‌تانه‌وێت ئاره‌زووی جووت بوون له‌گه‌ڵ ئه‌واندا جێبه‌جێ بکه‌ن؟...
166_00	وازیش ده‌هێنن له هاوسه‌ران و هاوجووتانی خۆتان که په‌روه‌ردگارتان بۆی دروست کردوون، به‌ڵکو ئێوه هه‌ر قه‌ومێکی ناله‌بارو به‌دڕه‌وشت و ناڕه‌سه‌نن.
167_00	تاوانباران وتیان: ئه‌ی لوط، ئه‌گه‌ر کۆڵ نه‌ده‌یت له ده‌ربه‌ده‌ر کراوان ده‌بیت.
168_00	لوط وتی: به‌ڕاستی من بێزارم له کارو کرده‌وه‌تان و نه‌فره‌تی لێده‌که‌م و بێده‌نگ نابم.
169_00	ئه‌وسا که نائومێد بوو لێیان، نزای کردو وتی: په‌روه‌ردگارا خۆم و ماڵ و خێزانم ڕزگار بکه له‌و کاروکرده‌وانه‌ی ئه‌مانه ده‌یکه‌ن.
170_00	جا ئێمه‌ش نزامان گیرا کرد و خۆی و ماڵ و خێزانیمان هه‌مووی ڕزگار کرد...
171_00	جگه له پیره‌ژنێک (که هاوسه‌ری بوو) له تیا چووه‌کان بوو (چونکه باوه‌ڕی به په‌یامه‌که‌ی نه‌بوو)
172_00	له‌وه‌ودوا ئه‌وانی ترمان ڕیشه‌که‌ن کرد.
173_00	به‌سه‌ختیش به‌رد بارانمان کردن، ئای که خراپ و سه‌خت و دژواره بارانی بێدارکراوه‌کان.
174_00	(174)، (175) سه‌رنجی ئایه‌تی 8 - 9 بده‌.
175_00	(175)، (174) سه‌رنجی ئایه‌تی 8 - 9 بده‌.
176_00	خاوه‌نی باخ و باخاته چڕو پڕه‌کانیش به‌رنامه‌ی گشت پێغه‌مبه‌رانیان به‌درۆزانی.
177_00	کاتێک شوعه‌یب پێغه‌مبه‌ر پێی وتن: باشه‌، ئه‌وه ئێوه له خوا ناترسن، پارێزکار نابن؟
178_00	سه‌رنجی ئایه‌تی 107 بده‌.
179_00	سه‌رنجی ئایه‌تی 108 بده‌.
180_00	سه‌رنجی ئایه‌تی 109 بده‌.
181_00	له کێشان و پێواندا وه‌فادار بن و فێڵ مه‌که‌ن و له‌و که‌سانه مه‌بن که زه‌ره‌ر به خه‌ڵکی ده‌گه‌یه‌نن و شتیان بێ نرخ ده‌که‌ن و (هه‌ر به‌رژه‌وه‌ندی خۆیانیان ده‌وێت).
182_00	به ته‌رازوو پێوه‌ری ڕاست و دروستیش کێشانه بکه‌ن.
183_00	نرخی که‌لوپه‌ل و شتومه‌کی خه‌ڵكی مه‌شکێننو سووکی مه‌که‌ن و له زه‌ویدا فه‌ساد و تاوان ئه‌نجام مه‌ده‌ن.
184_00	هه‌ر له‌و زاته بترسن که ئێوه‌ش و نه‌وه‌کانی پێش ئێوه‌شی دروست کردووه‌.
185_00	(نه‌فامان) وتیان: به‌ڕاستی تۆ ئه‌ی شوعه‌یب هه‌ر له جادوو لێکراوانیت.
186_00	تۆ ته‌نها مرۆڤێکی وک ئێمه‌یت و هیچی تر، به‌ڕاستی واگومان ده‌به‌ین که‌له درۆزنان بیت!!
187_00	ده پارچه‌یه‌ک له ئاسمانه‌وه به‌سه‌رماندا دابارێنه ئه‌گه‌ر تۆ له ڕیزی ڕاستگۆیاندایت؟!
188_00	شوعه‌یب وتی: من دڵنیام له‌وه‌ی که په‌روه‌ردگارم ئاگاداره به‌وه‌ی که ده‌یکه‌ن.
189_00	سه‌ره‌نجام، قه‌ومی ناله‌بار بڕوایان به شوعه‌یب نه‌کرد، ئیتر سزای هه‌ورو سێبه‌ر (که له ژێریدا ئاگر باران کران) دایگرتن، به‌ڕاستی ئه‌و سزایه سزای ڕۆژێکی گه‌وره‌و سه‌خت بوو.
190_00	سه‌رنجی ئایه‌تی 8 - 9 بده‌.
191_00	سه‌رنجی ئایه‌تی 8 - 9 بده‌.
192_00	به‌ڕاستی ئه‌م قورئانه له‌لایه‌ن په‌روه‌ردگاری جیهانه‌کانه‌وه ڕه‌وانه کراوه‌.
193_00	جوبره‌ئیلی ئه‌مین (فریشته‌ی وه‌حی) دایبه‌زاندووه‌.
194_00	بۆ سه‌ر دڵی تۆ ئه‌ی محمد صلی الله علیه وسلم تا بچیته ڕیزی ئه‌و که‌سانه‌وه که خه‌ڵکی بێدارده‌که‌نه‌وه و له خه‌وی غه‌فڵه‌ت دایانده‌چڵه‌کێنن.
195_00	به زمانی عه‌ره‌بی ڕوون و ئاشکرا، یاخود به زمانێکی پاراو و شیرین و ڕوون.
196_00	بێگومان هه‌واڵی ڕاستی و دروستی ئه‌م قورئانه له کتێبه پێشووه‌کاندا باسکراوه‌.
197_00	ئایا له‌وه‌دا به‌ڵگه و نیشانه نه‌بوو بۆ ئه‌و خه‌ڵکه که زاناکانی نه‌وه‌ی ئیسرائیل ده‌رباره‌ی پێغه‌مبه‌ر و قورئان، گه‌لێ شت ده‌زانن.
198_00	خۆ ئه‌گه‌ر قورئانمان دابه‌زاندایه بۆ سه‌ر که‌سانێکی تر جگه له عه‌ره‌به‌کان...
199_00	بیشخوێندایه به‌سه‌ریاندا هه‌ر باوه‌ڕیان پێ نه‌ده‌کرد...
200_00	هه‌ر ئابه‌و شێوه‌یه‌، به‌رده‌وام کارکردی قورئان له دڵی تاوانباراندا جێگیر ده‌که‌ین...
201_00	که هه‌ر باوه‌ڕیان پێی نابێت هه‌تا سزایه‌کی به ئێش و ئازار ده‌بینن...
202_00	که کوتوپڕ یه‌خه‌یان ده‌گرێت و ئه‌وان هه‌ست به نزیک بوونه‌وه‌ی ناکه‌ن.
203_00	ئه‌و کاته هاوار ده‌که‌ن و) ده‌ڵێن: ئایا ئیتر مۆڵه‌تمان ده‌درێت، ئایا ئیتر جارێکی تر فرسه‌تمان ده‌درێتێ؟!.
204_00	ئایا ئه‌وانه په‌له‌یانه زوو سزای ئێمه یه‌خه‌یان بگرێت؟!
205_00	باشه ئایا ئه‌گه‌ر ساڵه‌ها مۆڵه‌تیان بده‌ین و ژیانی دنیا به‌خۆشی ببه‌نه سه‌ر، باوه‌ڕ ده‌هێنن؟!
206_00	پاشان ئه‌گه‌ر ئه‌و هه‌ڕه‌شه و سزایه‌ی که له‌وان کراوه هاته دی و پێش هات، ده‌توانن چی بکه‌ن؟!
207_00	ئه‌وسا ئیتر ئه‌و ڕابواردنه‌ی دنیایان هیچ فریایان ناکه‌وێت و بێ سوود ده‌بێت.
208_00	ئێمه هه‌ر شارو شارۆچکه‌یه‌کمان کاول کردبێت به‌بێ فرستاده و بێدارخه‌ره‌وه نه‌بووه‌.
209_00	تا دابچڵه‌کێن و بیر بکه‌نه‌وه‌، بێگومان هه‌رگیز ئێمه سته‌مکار نه‌بووین و نابین.
210_00	دڵنیا بن که ئایه‌ته‌کانی ئه‌م قورئانه وه‌نه‌بێت له ڕێگه‌ی شه‌یتانه‌کانه‌وه ڕه‌وانه کرابێت
211_00	شتی وا به‌وان ناکرێت و هه‌رگیز ناتوانن به کاری وا هه‌ستن.
212_00	بێگومان ئه‌و شه‌یتانانه له بیستنی وه‌حی و فه‌رمانه‌کانی خوا که ڕاده‌گه‌یه‌نرێت به فریشته‌کان دوور و به‌رکه‌نارن.
213_00	که‌واته ئه‌ی ئیمانداران، له‌گه‌ڵ خوادا هانا و هاوار بۆ به‌ناو خوایه‌کی تر مه‌به‌، چونکه به‌هۆی ئه‌وه‌وه تۆش له سزا دراوان ده‌بیت.
214_00	ئه‌ی محمد (صلی الله علیه وسلم) سه‌ره‌تا عه‌شره‌ت و تایه‌فه و که‌س و کاری نزیکت بێدار بکه‌ره‌وه و بترسێنه‌.
215_00	باڵی به‌زه‌یی و میهره‌بانی خۆت نه‌وی بکه بۆ ئه‌و ئیماندارانه‌ی که شوێنت که‌وتوون.
216_00	ئه‌گه‌ر خوانه‌ناسان یاخی بوون و سه‌رپێچیان کرد، ئه‌وه پێیان بڵێ: که به‌ڕاستی من به‌ریم له هه‌موو ئه‌و کارو کرده‌وانه‌ی که ده‌یکه‌ن.
217_00	محمد (صلی الله علیه وسلم) پشت به خوای باڵا ده‌ست ومیهره‌بانت ببه‌سته‌.
218_00	ئه‌و زاته‌ی که ده‌تبینێت کاتێک هه‌ڵده‌ستیت له شه‌وگاردا ده‌یپه‌رستیت.
219_00	ئه‌و زاته تۆ ده‌بینێت که چۆن له ڕیزی سوژده‌به‌راندا هه‌ڵس و که‌وت ده‌که‌یت.
220_00	به‌ڕاستی ئه‌و خوایه زاتێکی بیسه‌رو زانایه (به‌گوفتارو نیه‌تتان).
221_00	ئایا پێتان بڵێم که شه‌یتانه‌کان داده‌به‌زنه سه‌ر کێ؟
222_00	داده‌به‌زنه سه‌ر هه‌موو که‌سێکی بوختانچی و تاوانبار و گوناهکار.
223_00	شه‌یتانه‌کان گوێ هه‌ڵده‌خه‌ن بۆ هه‌واڵی ئاسمان و زۆربه‌شیان درۆزنن.
224_00	سه‌رگه‌ردان و سه‌رلێشێواوه‌کانیش شوێنی شاعیران ده‌که‌ون.
225_00	ئایا نابینیت که ئه‌وانه له هه‌موو دۆڵێکدا سه‌رهه‌ڵده‌ده‌ن و له هه‌موو شتێک ده‌دوێن.
226_00	به‌ڕاستی ئه‌وانه شتێک ده‌ڵێن و به‌کرده‌وه نایکه‌ن (کردارو گوفتاریان دووره له یه‌که‌وه‌).
227_00	جگه له‌وانه‌یان که باوه‌ڕیان هێناوه و کرده‌وه چاکه‌کانیان ئه‌نجامداوه و یادی خوایان زۆر کردووه‌، (به‌و تواناییه‌ی که هه‌یانه‌) پشتیوانیان کردووه له‌و ئیماندارانه‌ی که سته‌میان لێکراوه،
227_01	سه‌رئه‌نجام ئه‌وانه‌ی سته‌میان کردووه ده‌زانن که به‌چۆن تێکشکاویه‌ک ده‌گه‌ڕێنه‌وه بۆ لای خواو چۆن ژێره‌و ژوور ده‌بن و تیاده‌چن.
