001_00	Alif, Lâm, Mîm;
172_00	Coloro che, pur feriti, risposero all'appello di Allah e del Messaggero, quelli di loro che ben agivano e temevano Allah avranno un compenso immenso.
173_00	Dicevano loro: “Si sono riuniti contro di voi, temeteli”. Ma questo accrebbe la loro fede e dissero: “Allah ci basterà, è il Migliore dei protettori”.
174_00	Ritornarono con la grazia e il favore di Allah, non li colse nessun male e perseguirono il Suo compiacimento. Allah possiede grazia immensa.
175_00	Certo è Satana che cerca di spaventarvi con i suoi alleati. Non abbiate paura di loro, ma temete Me se siete credenti.
176_00	Non essere afflitto per quelli che accorrono alla miscredenza.
176_01	In verità non potranno nuocere ad Allah in nulla. Allah non darà loro parte alcuna nell'altra vita e avranno castigo immenso.
177_00	Invero, coloro che hanno barattato la fede con la miscredenza, non potranno nuocere ad Allah in nulla e avranno doloroso castigo.
178_00	I miscredenti non credano che la dilazione che accordiamo loro sia un bene per essi. Se gliela accordiamo, è solo perché aumentino i loro peccati. Avranno un castigo avvilente.
179_00	Non si addice ad Allah lasciare i credenti nello stato in cui vi trovate, se non fino a distinguere il cattivo dal buono.
179_01	Allah non intende informarvi sull'Invisibile, Allah sceglie chi vuole tra i Suoi messaggeri.
179_02	Credete in Allah e nei Suoi messaggeri. Se crederete e vi comporterete da timorati, avrete una ricompensa immensa.
180_00	Coloro che sono avari di quello che Allah ha concesso loro della Sua grazia, non credano che ciò sia un bene per loro.
180_01	Al contrario, è un male: presto, nel Giorno del Giudizio, porteranno appeso al collo ciò di cui furono avari. Ad Allah l'eredità dei cieli e della terra; e Allah è ben informato di quello che fate.
181_00	Allah ha certamente udito le parole di quelli che hanno detto: “Allah è povero e noi siamo ricchi!”.
181_01	Metteremo per iscritto le loro parole e il fatto che ingiustamente uccisero i Profeti, e diremo loro: “Gustate il tormento dell'Incendio”.
182_00	E ciò per via di quello che le vostre mani avranno commesso. Ché Allah non è ingiusto con i Suoi servi.
183_00	Sono quegli stessi che hanno detto: “Veramente Allah ha stabilito che non credessimo in nessun messaggero, finché non ci porti un'offerta che il fuoco consumi”.
183_01	Di': “I messaggeri che vennero prima di me recarono prove evidenti e anche la prova che dite! Perché li avete uccisi, se siete sinceri?”.
184_00	Se ti trattano da bugiardo, [sappi che] trattarono da bugiardi i Profeti che vennero prima di te, che avevano portato prove chiarissime, il Salterio e il Libro che illumina.
185_00	Ogni anima gusterà la morte, ma riceverete le vostre mercedi solo nel Giorno della Resurrezione.
185_01	Chi sarà allontanato dal Fuoco e introdotto nel Paradiso, sarà certamente uno dei beati, poiché la vita terrena non è che ingannevole godimento.
186_00	Sarete certamente messi alla prova nei vostri beni e nelle vostre persone, e subirete molte ingiurie da quelli che hanno ricevuto la Scrittura prima di voi e dagli associatori.
186_01	Siate perseveranti e devoti, ecco il miglior atteggiamento da assumere.
187_00	Quando Allah accettò il patto di quelli cui era stata data la Scrittura [disse loro]: “Lo esporrete alle genti, senza nascondere nulla”.
187_01	Invece se lo gettarono dietro le spalle e lo vendettero per un vile prezzo. Che cattivo affare hanno fatto!
188_00	Non pensare che coloro che si rallegrano di quello che hanno fatto e che amano essere elogiati
188_01	per ciò che non hanno fatto, non pensare che trovino una scappatoia al castigo: avranno un doloroso castigo.
189_00	Appartiene ad Allah il regno dei cieli e della terra. Allah è onnipotente.
190_00	In verità, nella creazione dei cieli e della terra e nell'alternarsi della notte e del giorno, ci sono certamente segni per coloro che hanno intelletto,
191_00	che in piedi, seduti o coricati su un fianco ricordano Allah e meditano sulla creazione dei cieli e della terra, [dicendo]: “Signore, non hai creato tutto questo invano.
191_01	Gloria a Te! Preservaci dal castigo del Fuoco.
192_00	O Signore, colui che fai entrare nel Fuoco lo copri di ignominia e gli empi non avranno chi li soccorra.
193_00	Signore, abbiamo inteso un nunzio che invitava alla fede [dicendo]: Credete nel vostro Signore!" e abbiamo creduto.
193_01	Signore, perdona i nostri peccati, cancella le nostre colpe e facci morire con i probi.
194_00	Signore, dacci quello che ci hai promesso attraverso i Tuoi messaggeri e non coprirci di ignominia nel Giorno della Resurrezione. In verità, Tu non manchi alla promessa”.
195_00	Il loro Signore risponde all'invocazione: “In verità, non farò andare perduto nulla di quello che fate, uomini o donne che siate, ché gli uni vengono dagli altri.
195_01	A coloro che sono emigrati, che sono stati scacciati dalle loro case, che sono stati perseguitati per la Mia causa, che hanno combattuto, che sono stati uccisi, perdonerò le loro colpe e li farò entrare nei Giardini dove scorrono i ruscelli, ricompensa questa da parte di Allah.
195_02	Presso Allah c'è la migliore delle ricompense.
196_00	Non ti inganni la facilità con cui i miscredenti si muovono in questo paese.
197_00	Effimero, meschino godimento: il loro rifugio infine sarà l'Inferno. Che infausto giaciglio!
198_00	Coloro invece che temono il loro Signore, avranno i Giardini dove scorrono i ruscelli e vi rimarranno per sempre, dono da parte di Allah.
198_01	Ciò che è presso Allah, è quanto di meglio per i caritatevoli.
199_00	Tra le genti del Libro, ci sono alcuni che credono in Allah e in quello che è stato fatto scendere su di voi e in quello che è stato fatto scendere su di loro, sono umili davanti ad Allah e non svendono a vil prezzo i segni Suoi.
199_01	Ecco quelli che avranno la mercede da parte del loro Signore. In verità Allah è rapido al conto.
200_00	O voi che credete, perseverate! Incitatevi alla perseveranza, lottate e temete Allah, sì che possiate prosperare.
