001_00	Elif Lám Mim.
126_00	Perëndia e bëri këtë për t’ju sihariquar juve dhe për t’jua qetësuar zemrat. Se fitorja (ndihma) është vetëm nga Perëndia i Plotëfuqishëm dhe i Gjithëdijshëm,
127_00	që një turmë mohuesish t’i shkatërrojë apo t’i turpërojë e të kthehen ata të humbur.
128_00	Ty (o Muhammed!) nuk të përket asgjë (lidhur me këtë çështje), se a do t’ua pranojë Ai (Perëndia) pendimin e atyre apo do t’i dënojë, se ata me të vërtetë janë zullumqarë.
129_00	Të Perëndisë janë gjithë ato çka gjenden në qiej dhe në Tokë! Ai falë kend të doje dhe e mundon kend të dojë. Se, Perëndia është falës e mëshirues.
130_00	O besimtarë! – mos pranoni kamatë të shumëfishtë mbi kamatë! Kinie frikë Perëndinë, për të shpëtuar; -
131_00	druajuni zjarrit, i cili është përgatitur për mohuesit!
132_00	Përuluni Perëndisë dhe Profetit, për të shpresuar mëshirën.
133_00	Nxitoni kah falja e mëkateve nga Zoti juaj dhe xhenneti, hapësira e të cilit është sa qielli e Toka; i cilit është përgatitur për ata që i ruhen Perëndisë (duke punuar vepra të mira).
134_00	të cilët japin lëmoshë kur janë në lumturi edhe kur janë në vështirësi, që fshehin zemërimin, e ua falin fajet njerëzve. Se Perëndia i don bamirësit, -
135_00	dhe ata, që kur bëjnë vepra të turpshme ose i bëjnë dëm vetes, e kujtojnë Perëndinë – dhe kërkojnë falje për mëkatet e tyre.
135_01	E kush falë mëkatet përveç Perëndisë? – Ata nuk ngulmojnë në atë që kanë punuar, e ata e dinë këtë.
136_00	Shpërblimi i tyre është falja madhështore (e mëkateve) nga ana e Zotit të tyre dhe xhennetet nëpër të cilët rrjedhin lumenjt! E në to do të qëndrojnë përherë. Sa shpërblim i bukur është ky, për ata që punojnë vepra të bukura!
137_00	Para jush kanë kaluar (shumë popuj) e ligje. Udhëtoni nëpër botë dhe shihni si ka qenë fundi i atyre që i kanë përgënjeshtruar profetët.
138_00	Këto lajme e shpjegime janë këshilla, udhërrëfyese për njerëzit besimtarë.
139_00	Mos tregoni ligësi dhe mos u pikëlloni! Se ju gjithsesi jeni më të lartë, nëse jeni besimtarë të vërtetë.
140_00	Nëse ju ka goditur juve ndonjë plagë edhe popullin (armik) e kanë goditur aso plagë.
140_01	Ato ditë Na i ndërrojmë midis njerëzve (me triumf dhe disfatë) për t’i dalluar besimtarët e durueshëm dhe për t’i bërë disa nga ju dëshmorë. Se Perëndia nuk i donë zullumqarët, -
141_00	e kështu, Perëndia i dlirë (prej mëkatesh) besimtarët, e për t’i zhdukë mohuesit.
142_00	A mendoni se do të hyni në xhennet e Perëndia të mos u tregojë juve për ata që kanë luftuar dhe për ata që kanë duruar.
143_00	E ju e dëshiruat vdekjen para se të ballafaqoheshi me te; qe pra, ju e patë ate, duke qenë vështruesit e saj.
144_00	Muhammedi është vetëm Profet. Por, edhe para tij ka pasur pejgamberë.
144_01	E, nëse ai vdes ose vritet, a mos do të ktheheni ju prapa? Kushdo që kthehet prapa (në fe të gabuar) nuk i bënë kurrfarë dëmi Perëndisë. Se, Perëndia do t’i shpërblejë falenderuesit.
145_00	Çdo gjallesë vdes vetëm me vendimin e Perëndisë, në kohë të caktuar.
145_01	Kush dëshiron mirësitë e kësaj bote, Na ia japim, e kush dëshiron shpërblimin e botës tjetër na ia japim, dhe me siguri i shpërblejmë falenderuesit.
146_00	Sa e sa pejgamberë bashkë me shumë besimtarë të vërtetë luftuan, e megjithatë nuk u përkulën për ato që u goditën në rrugën e Perëndisë, as nuk u demoralizuan as nuk u dobësuan.
146_01	Perëndia i don durimtarët
147_00	dhe vetëm thonin: “O Zoti ynë! Falna mëkatet tona dhe teprimin në punën tonë, forcona këmbët tona dhe ndihmona kundër popullit jobesimtar!”
148_00	Dhe Perëndia ua dhuroi atyre shpërblimin e kësaj bote dhe shpërblimin edhe më të madh në jetën tjetër. Se, Perëndia i don bamirësit.
149_00	O besimtarë! Nëse u përuleni mohuesve, ata do t’ju kthejnë juve prapa (në të pa fe), e ju do të jeni të dëmtuar, -
150_00	por, Perëndia është Zoti juaj dhe Ai është ndihmëtari më i mirë
151_00	Na do të mbjellim frikë në zemrat e mohuesve, sepse ata i bëjnë shok Perëndisë, për të cilën Zoti nuk ka dhënë kurrfarë argumenti. Vendbanimi i tyre është zjarri, e sa vendstrehim i shëmtuar është ky për mohuesit!
152_00	Me të vërtetë, Perëndia e realizoi premtimin e vet, kur ju me vullnetin e Tij e thyet armikun.
152_01	Por kur ju, lidhur me detyrën që u ishte caktuar, u demoralizuat e u grindët në mes vet dhe kundërshtuat, e Ai madje u tregoi atë që e dëshironit, - disa nga ju e dëshirojnë këtë botë, kur disa nga ju dëshirojnë botën tjetër; - pastaj Ai, për t’ju provuar juve, bëri që të zmbrapseni para armikut.
152_02	Dhe, me të vërtetë, Perëndia ju fali juve atë gabim. Se, Perëndia është pronar i mirësisë së madhe për besimtarët.
153_00	Kujtonie ju atë kur ngjiteshit malit dhe nuk vinit vesh për askend, e dëshironit, - disa nga ju e dëshirojnë këtë botë, kurse disa nga ju Ai ju dënoi juve me dëshprim pas dëshprimi (për padëgjueshmëri ndaj Profetit dhe Perëndisë), që të mos pikëlloheni për atë që ju doli duarsh (fitorja), as për atë që u goditi juve (humbja).
153_01	E Perëndia i di të gjitha ç’punoni ju.
154_00	Pastaj (Perëndia), pas dëshpërimit, ju dërgoi juve një qetësi – gjum, që e kaploi një grup prej jush, kurse grupi tjetër kujdeseshin vetëm për vetveten, duke menduar për Perëndinë të pavërtetën (ndihmën e Profetit), ashtu si mendonin paganët.
154_01	Ata thoshin: “Ku është fitorja që na ishte premtuar?” Thuaju (o Muhammed!): “Për të gjitha vendosë vetëm Perëndia!” Ata fshehin në vete atë që nuk duan ta shfaqin ty.
154_02	Ata thonë: “Sikur të pyeteshim ne për këtë gjë, nuk do të vriteshim këtu”.
154_03	Thuaju: “Dhe sikur të kishit qenë nëpër shtëpitë tuaja, prapëseprapë atyre që u është shkruar të vriten, do të dilnin në atë vend të vrasjes, - e Perëndia juve në luftë ju then për t’ju gjurmuar dhe për t’ju pastruar atë që keni në zemrat tuaja.
154_04	Se Perëndia, me të vërtetë din ç’keni në zemrat tuaja.
155_00	Ata, nga mesi i juaj që u zmbrapsën në ditën kur u ndeshën të dy ushtritë, në të vërtetë, djalli i shtyri në gabim, për shkak të disa mëkateve që kishin bërë.
155_01	E, Perëndia, madje, ua fali (gabimin), sepse – Perëndia është falës dhe i butë.
156_00	O besimtarë!
156_01	– mos bëni si mohuesit që u thonin vëllezërve kur (këta) niseshin në udhëtim ose në luftim: “Sikur të rrinit me ne, nuk do të vdisnit as nuk do të vriteshi” – që këtë Perëndia t’ua bëjë pikëllim në zemrat e tyre; edhe jeta edhe vdekja janë vepër e Perëndisë. Ai i sheh të gjitha punët që bëni ju.
157_00	Nëse ju vriteni ose vdisni në udhë të Perëndisë, falja (e mëkatëve) dhe mëshira e Perëndisë, me të vërtetë, janë më të mira nga ato që kanë grumbulluar ata.
158_00	Vdiqët apo u mbytët, me siguri do të tuboheni te Perëndia.
159_00	Në saje të mëshirës së Perëndisë, u solle butësisht me ta (o Muhammed!) – e sikur të ishe i ashpër dhe vrazhdë, ata do të largoheshin prej teje. Falju gabimin atyre dhe kërko falje te Perëndia për ta, e bisedo me ta për punë të jetesës.
159_01	Kur të vendosish për diçka, mbështetu te Perëndia. Se Perëndia me të vërtetë, i don ata që mbështeten tek Ai.
160_00	Nëse ju ndihmon Perëndia, s’ka kush t’ju mposht juve, e nëse ju turpëron juve, kush është ai që do t’ju ndihmojë përveç Tij (pas atij turpërimi)? Pra, besimtarët vetëm te Perëndia le të mbështeten.
161_00	Është e pamundur për ndonjë Pejgamber, që të bëjë farë mashtrimi (të marrë fshehurazi nga pasuria e luftës), e kushdo që të bëjë mashtrim do të vijë (i ngarkuar me këtë mëkat) në Ditën e Kijametit, e pastaj do t’i jepet çdokujt ajo që ka punuar dhe askujt nuk do t’i bëhet padrejtësi.
162_00	Vallë! A mund të krahasohet ai që gëzon kënaqësinë e Perëndisë me atë që ka merituar pezmin e Perëndisë. Strehimi i tij (mëkatarit) është skëterra. E, sa strehim i keq është ai.
163_00	Te Perëndia ata kanë grada të ndryshme, se Perëndia i sheh të gjitha veprat që punojnë ata.
164_00	Perëndia i dhuroi besimtarët me dhuratë të madhe, meqë nga mesi i tyre u dërgoi Profet i cili u lexon atyre ajetet e Tij, i pastron ata nga mëkatet dhe ua mëson Kur’anin e diturinë e hollë.
164_01	Ata, më parë, me të vërtetë, ishin në rrugë krejtësisht të gabuar.
165_00	Kur ju goditi juve fatkeqësia (në Uhud), e ju më parë i patët goditur armiqët tuaj dyfish (në Bedër), thatë ju: “Prej nga na erdhi neve kjo?!” Thuaj (o Muhammed!): “Kjo është prej vetë juve”. Perëndia, me të vërtetë, është i Plotëfuqishëm.
166_00	Ajo që ju gjeti (goditi) juve, atë ditë kur u ndeshën dy ushtritë, ajo ishte me vullnetin e Perëndisë – për të zbuluar kush janë besimtarët e vërtetë,
167_00	dhe për t’i zbuluar hipokritët, e kur iu tha atyre: “Ejani të luftoni në rrugën e Perëndisë, ose të paktën mbrohuni!” – ata u përgjigjen: “Sikur ta dinim që do të bëhet luftë e vërtetë, na, me siguri, do t’ju pasonim”.
167_01	Atë ditë ata ishin më afër mohimit sesa besimit, sepse me gojën e tyre flisnin atë, që nuk e kishin në zemrat e tyre, - se, Perëndia i di mirë ato që i fshehin ata.
168_00	Atyre që nuk luftuan e u thanë vëllezërve të vet: “Sikur të na dëgjonit neve nuk do të mbyteshit”, thuaju: “Prapsojeni vdekjen nga vetja, nëse flisni të vërtetën!”
169_00	Kurrsesi mos i konsideroni të vdekur ata, që janë vrarë në rrugën e Perëndisë. Jo, (ata) janë të gjallë dhe të ushqyer (shpirtërisht) te Zoti.
170_00	Janë të gëzuar për atë që ua ka dhënë Perëndia nga dhuntitë e Tij dhe sihariqohen me ata të cilët ende nuk u janë bashkuar (shoqëruar) dhe që kanë ngelur pas tyre, meqë nuk do të ketë kurrfarë frike dhe të cilët për asgjë nuk do të pikëllohen;
171_00	sihariqohen ata me dhuntitë dhe begatitë e Perëndisë, sepse, Perëndia nuk ua humbë shpërblimin besimtarëve.
172_00	Ata që pas disfatës që pësuan (në Uhud), iu përgjigjën thirrjes së Perëndisë dhe të Pejgamberit, dhe për ta, të cilët kanë bërë mirësi dhe që iu kanë druajtur (Perëndisë), ka shpërblim të madh;
173_00	atyre, të cilëve u thanë njerëzit: “Armiku është përgatitur kundër jush, frikohuni!” Kjo përkundrazi ua shtoi atyre besimin, e thanë: “Neve na mjafton Perëndia, dhe Ai është mbrojtës i mrekullueshëm!”
174_00	Ata u kthyen (nga Bedri) me dhuntitë dhe begatitë e Perëndisë, nuk i gjeti asgjë e keqe dhe bënë që Perëndia të jetë i kënaqur. Perëndia është Zot i begatisë së madhe.
175_00	Vetëm djalli i frikëson miqët e vet (për të mos shkuar në luftë). Ju mos iu frikoni atyre! Por frikohuni prej Meje, nëse jeni besimtarë!
176_00	Mos të brengosin ty (o Muhammed!) ata që nxitojnë në mohim.
176_01	Sepse, me të vërtetë ata nuk mund t’i bëjnë kurrfarë dëmi Perëndisë. Perëndia don që të mos i shpërblejë ata me kurrfarë dhurate në botën tjetër; dhe për ata ka ndëshkim të madh.
177_00	Me të vërtetë, ata që ndërrojnë besimin e vërtetë me mohim, nuk mund t’i bëjnë kurrfarë dëmi Perëndisë; e për ta ka ndëshkim të madh.
178_00	Le të mos mendojnë kurrsesi mohuesit, që për ata është mirë ajo, që u zgjasim jetën. Na, me të vërtetë ua zgjasim jetën atyre vtëm për t’i shtuar ata gabimet; dhe për ata ka ndëshkim poshtërues.
179_00	Perëndia nuk i le besimtarët në gjendjen që ndodheni ju (tash të përzier – muslimani i vërtetë me hipokritin) përderisa të mos e ndajë të keqin prej të mirit.
179_01	Perëndia nuk do t’ua tregojë ate që është e fshehur, pro Perëndia zgjedh atë që të dojë nga Pejgamberët e Tij.
179_02	Besoni Perëndinë dhe Pejgamberët e Tij! Nëse besoni dhe ruheni (prej hipokritit), u do të keni shpërblim të madh.
180_00	Kurrsesi le të mos mendojnë ata se është mirë për ta që bëhen dorështrënguar e koprracë me dhuntitë që ua ka dhënë Perëndia atyre; jo, kjo është keq për ta.
180_01	Padyshim, koprracia do t’u ngarkohet atyre në qafë Ditën e Kijametit. Të Perëndisë janë trashëgimi i qiejve dhe i Tokës, dhe Perëndia e di mirë ç’punoni ju.
181_00	Perëndia i dëgjon fjalët e atyre që thanë: “Perëndia është i varfër, kurse na jemi të pasur”.
181_01	Na do ta shënojmë atë që thanë ata si dhe mbytjen e pejgamberëve pa kurrfarë të drejte dhe do t’u themi Ne atyre: “Shijonie dënimin në zjarrë!”
182_00	Ky është ndëshkimi i veprave të duarve tuaja, se Perëndia nuk është zullumqar i robërvet të vet.
183_00	Ata (Hebrenjt) thonë: “Perëndia na ka urdhëruar që të mos i besojmë asnjë pejgamberi për derisa të mos na sjellë një kurban që ta përbijë zjarri”,
183_01	- thuaju (o Muhammed!): “U kanë sjellë juve pejgamberët para meje argumente edhe për atë që thoni ju, e pse i mbytët ata nëse jeni të sinqertë?”
184_00	Nëse ata ty (o Muhammed!) të konsiderojnë për gënjeshtar, mos u hidhëro! Se janë përgënjeshtruar edhe pejgamberë të tjerë që kanë ardhur para teje dhe kanë sjellë dokumente, broshura dhe Libër ndriçues. -
185_00	Çdo qenie e gjallë do ta shijojë vdekjen.
185_01	Shpërblimet do t’u plotësohen vetëm në Ditën e Kijametit, dhe kushdo që largohet nga zjarri i xhehennemit (skëterrës) dhe hyn në xhennet, ai ka arritur atë që ka dëshiruar. E, jeta e kësaj bote është vetëm kënaqësi mashtruese.
186_00	Ju me siguri do të viheni në provë me pasurinë tuaj dhe me jetën tuaj dhe ju do të dëgjoni shumë fyerje nga ana e atyre që u është dhënë Libri pra jush dhe nga paganët.
186_01	Nëse jeni durimtarë dhe i druani Perëndisë, me të vërtetë, ajo është vendosmëri (e madhe) në vepër.
187_00	Kujtoje (o Muhammed!) kohën kur Perëndia mori premtimin nga ata, që u është dhën Libri se do t’ua shpjegojnë atë njerëzve dhe me siguri nuk do të fshehin asgjë nga ai; e ata pastaj e hodhën pas shpine (nuk vepruan sipas tij) dhe atë (premtimin) e ndërruan për një vlerë të vogël.
187_01	E, sa këmbim i shëmtuar është ai që bënë ata!
188_00	Mos i konsidero ata, të cilët gëzohen për ate që kanë punuar (të mshehurit e së vërtetës) dhe dëshirojnë të jenë të lavdëruar për atë që nuk e kanë punuar.
188_01	Kurrsesi mos mendo se ata do të gjenden në një vend – shpëtimi; se për ata ka ndëshkim të rëndë.
189_00	Të Perëndisë janë qiejt dhe Toka. Dhe Perëndia është i Gjithëpushtetshëm për çdo gjë.
190_00	Me të vërtetë, në krijimin e qiejve dhe të Tokës dhe në ndërrimin e natës e të ditës (dukjen dhe zgjatjen e tyre), ka argumente për mendarët,
191_00	për ata që e përmendin Perëndinë duke qëndruar në këmbë, dhe ndenjur, shtrirë; dhe që mendojnë në krijimin e qiejve dhe të Tokës.
191_01	(Dhe thonë): “O Zoti ynë! Nuk i ke krijuar kot këto”, - falenderojmë Ty – dhe ruana nga ndëshkimi i zjarrit.
192_00	O Zoti ynë! Cilindo që Ti e hedhë në zjarr, Ti e ke poshtëruar atë. E, për mohuesit nuk ka kurrfarë ndihmëtari.
193_00	O Zoti ynë! Na dëgjuam grishtarin që na grishte në besim: “Besoni Zotin tuaj!” E, besuam.
193_01	O Zoti ynë! Falna mëkatet tona dhe shkarkona nga gabimet, e pas vdekjes na radhit me të mirët.
194_00	o Zoti ynë! Epna shpërblimin që na ke premtuar me anën e pejgamberëve Tu dhe mos na poshtëro në Ditën e Kijametit! Se, Ti, me të vërtetë, nuk shmangesh nga premtimi i dhënë.
195_00	Dhe Zoti iu përgjegj lutjes së tyre: “Unë, nuk ia humbi mundin asnjë punëtori nga ju, qoftë mashkull apo femër, - ju jeni të gjithë (të barabartë në shpërblim).
195_01	Atyre që emigruan, dhe u dëbuan nga vatrat e tyre, dhe u munduan në rrugën Time, dhe luftuan e u vranë, Unë me siguri, do t’ua mbuloj veprat e këqija (me falje) dhe do t’i shpie në kopshtije, nëpër të cilat rrjedhin lumenj, - shpërblim nga Perëndia.
195_02	E, shpërblimi më i mirë është te Perëndia.
196_00	Le të mos mashtrojë ty qarkullimi i mohuesve qytet në qytet.
197_00	Kjo kënaqësi është ë shkurtër; pastaj, strehimi i tyre është skëterra. E sa shtrat i keq është ai vend!
198_00	Por, për ata që i druajnë Perëndisë, për ata ka kopshtije, nëpër të cilat rrjedhin lumenj, në të cilat (kopshtije) do të banojnë përherë,
198_01	- duke qenë këto dhurata të përgatitura prej Perëndisë, e për besimtarët e vërtetë më e mira dhuratë është ajo që është prej Perëndisë.
199_00	Në mesin e ithtarëve të Librit, me siguri ka të atillë që besojnë Perëndinë dhe ate që u është shpallur juve dhe ate që u është shpallur atyre, janë të përulur Perëndisë, nuk i këmbejnë versetet e Perëndisë me ndonjë vlerë të pakët; ata kanë shpërblimin e tyre te Zoti i tyre.
199_01	Se, Perëndia, me të vërtetë, është llogaritar i shpejtë!
200_00	O besimtarë! – bëhuni të durueshëm dhe të qëndrueshëm (në durim), bëhuni të vendosur (në kufi të armikut), dhe kinie frikë Perëndinë, për ta arritur shpëtimin e dëshiruar.
