001_00	A. L̃. M̃.
116_00	Kuma suka ce: "Allah Yã riƙi ɗã." Tsarki yã tabbata a gare Shi! A'a, Shi ne da abin da yake a cikin sammai da ƙasa, dukansu, a gare Shi, mãsu ƙanƙan da kai ne.
117_00	Mai kyautata halittar sammai da ƙasa, kuma idan Ya hukunta wani al'amari, sai kawai Ya ce masa: "Kasance." Sai ya yi ta kasancewa.
118_00	Kuma waɗanda bã su da sani suka ce: "Don me Allah bã Ya yi mana magana, ko wata ãyã ta zo mana?" Kamar wancan ne waɗanda suke a gabãninsu suka faɗa, kamar maganarsu.
118_01	zukãtansu sun yi kamã da jũna. Lalle ne, Mun bayyana ãyõyi ga mutãne masu sakankancewa.
119_00	Lalle ne Mun aike ka da gaskiya, kana mai bãyar da bishãra, kuma mai gargaɗi, kuma bã zã a tambaye ka ba, game da abõkan Wuta.
120_00	Kuma Yahũdu bã zã su yarda da kõme daga gare ka ba, kuma Nasãra bã zã su yarda ba, sai kã bi irin aƙidarsu.
120_01	Ka ce: "Lalle ne, shiriyar Allah ita ce shiriya." Kuma lalle ne idan ka bi son zũciyõyinsu a bãyan abin da ya zo maka na ilmi, bã ka da, daga Allah, wani majiɓinci, kuma bãbu wani mataimaki.
121_00	Waɗanda Muka bai wa Littãfi suna karãtunsa a kan haƙƙin karãtunsa, waɗannan suna ĩmani da shi (Alƙur'ãni). Kuma wanda ya kãfirta da shi, to, waɗannan sũ ne mãsu hasãra.
122_00	Yã Banĩ Isrã'ĩla! Ku tuna ni'imaTa wadda Na ni'imtar da ita a kanku, kuma lalle ne Nĩ, Nã fĩfĩtã ku a kan tãlikai.
123_00	Ku ji tsõron wani yini, (a cikinsa) wani rai bã ya tunkuɗe wa wani rai kõme kuma bã a karɓar fansa daga gare shi, kuma wani cẽto bã ya amfanin sa, kuma ba su zama ana taimakon su ba.
124_00	Kuma a lõkacin da Ubangijin Ibrãhim Ya jarrabẽ shi da wasu kalmõmi, sai ya cika su.
124_01	Ya ce: "Lalle ne Nĩ, Mai sanya ka shugaba dõmin mutãne ne." Ya ce: "Kuma daga zũriyata." Ya ce: "AlkawarĩNa bã zai sãmu azzãlumai ba."
125_00	Kuma a lõkacin da Muka sanya ¦ãkin ya zama makõma ga mutãne, da aminci, kuma ku riƙi wurin salla daga Maƙãmi Ibrãhĩm, kuma
125_01	Muka yi alƙawari zuwa ga Ibrãhĩm, da Ismã'ila da cẽwa: "Ku tsarkake ¦ãkiNa dõmin mãsu ɗawãfi da mãsu lizimta da mãsu rukũ'i, mãsu sujada."
126_00	Kuma a lõkacin da lbrãhĩm ya ce: "Yã Ubangijĩna!
126_01	Ka sanya wannan gari amintacce, Ka azurta mutãnensa, daga 'ya'yan itãcen, wanda ya yi ĩmãni, daga gare su, da Allah da Ranar Lãhira." Allah Ya ce: "Wanda ya kãfirta ma Ina jiyar da shi dãɗi kaɗan, sa'an nan kuma Ina tĩlastã shi zuwa ga azãbar Wuta. Kuma makõmar, ta munana."
127_00	Kuma a lõkacin da Ibrãhĩm yake ɗaukaka harsãshin gini ga ¦ãkin, da Ismã'ĩla (suna cẽwa:) "Yã Ubangijnmu! Ka karɓa daga gare mu, lalle ne Kai, Kai ne Mai ji, Mai sani.
128_00	"Ya Ubangijnmu! Ka sanyã mu, mu biyu, waɗanda suka sallama (al'amari) gare Ka, kuma daga zuriyarmu (Ka sanya) al'umma mai sallamãwa zuwa gare Ka, Kuma Ka nũna mana wurãren ibãdar hajjinmu, kuma Ka karɓi tũba a kanmu. Lalle ne Kai, Kai ne Mai karɓar tũba, Mai rahama.
129_00	"Ya Ubangijinmu! Ka aiko, a cikinsu, wani manzo daga gare su, yana karanta musu ãyõyinKa, kuma yana karantar da su Littãfin da hikimar, kuma yana tsarkake su. Lalle ne Kai, Kai ne Mabuwãyi Mai hikima."
130_00	Kuma wãne ne yake gudu daga aƙĩdar Ibrãhĩm, fãce wanda ya jãhilta ga ransa? Kuma lalle ne, haƙĩƙa, Mun zãɓe shi, a cikin dũniya, kuma lalle ne shi, a cikin Lãhira, haƙĩƙa, yana daga sãlihai.
131_00	A lõkacin da Ubangijinsa Ya ce masa: "Ka miƙa wuya," ya ce: "Nã miƙa wuya ga Ubangijin tãlikai."
132_00	Kuma lbrãhĩm ya yi wasiyya da ita ga ɗiyansa, kuma Ya'aƙũbu (ya yi wasiyya, suka ce:) "Yã ɗiyãna! Lalle ne, Allah Ya zãɓã muku addini don haka kada ku mutu, lalle, fãce kuna Musulmi."
133_00	Ko kun kasance halarce a lõkacin da mutuwa ta halarci Ya'aƙũbu, a lõkacin da ya ce wa ɗiyansa: "Mẽne ne zã ku bauta wa daga bãyãna?"
133_01	Suka ce: "Muna bauta wa Abin bautawarka kuma Abin bautawar ubanninka lbrãhĩm da lsmã'ĩla da Is'hãƙa, Ubangiji Guda, kuma mu a gare Shi mãsu miƙa wuya ne."
134_00	Waccan, wata al'umma ce, ta riga ta shige, tana da abin da ta sanã'anta kuma kuna da abin da kuka sanã'anta, Kuma bã zã a tambaye ku ba daga abin da suka kasance suna aikatãwa.
135_00	Kuma suka ce: "Ku kasance Yahũdãwa ko Nasãra, kwã shiryu."Ka ce: "A'a aƙidar Ibrãhĩm dai, maikarkata, zuwa ga gaskiya, kuma bai kasance daga mãsu shirki ba."
136_00	Ku ce: "Mun yi ĩmãni da Allah, da abin da aka saukar zuwa gare mu, da abin da aka saukar zuwa ga Ibrãhĩm da Ismã'ĩla da Is'hãka da Ya'aƙũbu da jĩkõki, da abin
136_01	da aka bai wa Mũsã da Ĩsã, da abin da aka bai wa annabãwa daga Ubangijinsu, bã mu rarrabẽwa a tsakãnin kõwa daga gare su, kuma mu, a gare Shi, mãsu miƙa wuya ne."
137_00	To, idan sun yi ĩmãni da misãlin abin da kuka yi ĩmãni da shi, to, lalle ne sun shiryu, kuma idan sun jũya bãya, to, suna a cikin sãɓãni kawai sabõda haka Allah zai isar maka a gare su, kuma Shi ne Mai ji, Masani.
138_00	Rinin Allah! Kuma wãne ne mafi kyau ga rini daga Allah? Kuma mu, a gare Shi, mãsu bautãwa ne.
139_00	Ka ce: Shin kuna jãyayyar hujia ne da mu a cikin al'amarin Allah, alhãli kuwa Shi ne Ubangijinmu kuma Ubangijinku, kuma muna da ayyukanmu, kuma kuna da ayyukanku, kuma mũ, a gare Shi, mãsu tsarkakẽwane?
140_00	Ko kuna cẽwa: Lalle ne, Ibrãhĩm da Ismã'ĩla da Is'hãƙa da Ya'aƙũbu da Jĩkõki, sun kasance Yahũdãwa kõ kuwa Nasãra? Ka ce: Shin kũ ne kuke mafi sani kõAllah?
140_01	Kuma wãne ne ya zama mafi zãlunci daga wanda ya bõye shaida a wurinsa daga Allah? Kuma Allah bai zama Mai gafala ba daga abin da kuke aikatãwa!
141_00	Waccan, wata al'umma ce, tã riga ta shige, suna da abin da suka sana'anta kuma kuna da abin da kuka sana'anta kuma bã a tambayar ku daga abin da suka kasance suna aikatãwa.
142_00	Wãwãye daga mutãne zã su ce: Mẽne ne ya jũyar da su daga alƙiblarsu wadda suka kasance a kanta?
142_01	Ka ce: "Allah ¦ai ne Yake da gabas da yamma, Yana shiryar da wanda Yake so zuwa ga hanya madaidaiciya."
143_00	Kuma kamar wancan, Muka sanya ku al'umma matsakaiciya dõmin ku kasance mãsu bãyar da shaida a kan mutãne. Kuma Manzo ya kasance mai shaida a kanku.
143_01	Kuma ba Mu sanya Alƙibla wadda ka kasance a kanta ba, fãce dõmin Mu san wanda yake biyar Manzo daga wanda yake jũyãwa a kan duga-dugansa. Kuma lalle ne, tã kasance haƙĩƙa, mai girma, sai a kan waɗanda Allah Ya shiryar.
143_02	Kuma ba ya yiwuwa ga Allah Ya tõzartar da ĩmãninku. Lalle ne, Allah, ga mutãne, haƙĩƙa, Mai tausayi ne, Mai jin ƙai.
144_00	Lalle ne, Muna ganin jujjũyãwar fuskarka a cikin sama.
144_01	To, lalle ne, Mu jũyar da kai ga Alƙibla wadda kake yardã da ita.
144_02	Sai ka jũyar da fuskarka wajen Masallãci Tsararre, kuma inda duk kuka kasance, to, ku jũyar da fuskõkinku jiharsa. Kuma lalle ne waɗanda aka bai wa Littãfi, haƙĩƙa su, sunã sanin lalle ne, shĩ ne gaskiya, daga Ubangijinka. Kuma Allah bai zama Mai gafala ba daga abin da suke aikatãwa.
145_00	Kuma hakĩka, idan ka je wawaɗanda aka bai wa Littafi da dukan ãyã, bã zã su bi Alƙiblarka ba, kuma kai ba ka zama mai bin Alƙiblarsu ba, kuma sãshensu bã mai bin Alƙiblar sãshe ba ne.
145_01	Kuma haƙĩƙa, idan ka bi son zũciyõyinsu daga bãyan abin da ya zo maka daga ilmi, lalle ne kai, sa'an nan, haƙiƙa, azzãlumi kake.
146_00	Waɗanda Muka bã su Littãfi, suna saninsa kamar yadda suke sanin ɗiyansu. Kuma lalle ne wani ɓangare daga gare su, haƙiƙa, suna ɓõyewar gaskiya alhãli kuwa sũ, suna sane.
147_00	Gaskiya daga Ubangijinka take sabõda haka, lalle kada ka kasance daga mãsu shakka.
148_00	Kuma kõwane ɓangare yana da alƙibla wadda yake shi mai fuskantar ta ne. Sai ku yi tsẽre zuwa ga ayyukan alhẽri, inda kuka kasance duka Allah zai zo da ku gabã ɗaya. Lalle ne Allah, a kan kõme, Mai ĩkon yi ne.
149_00	Kuma daga inda ka fita, to, sai ka jũyar da fuskarka a wajen Masallãci Tsararre kuma lalle tabbas, shi ne gaskiya daga Ubangijinka. Kuma Allah bai zama Mai gafala ba daga abin da kuke aikatãwa ba.
150_00	Kuma daga inda ka fita, to, ka jũyar da fuskarka a wajen Masallãci Tsararre kuma inda kuke duka, to, ku jũyar
150_01	da fuskõkinku a wajensa, dõmin kada wata hujja ta kasance ga mutãne a kanku, fãce waɗanda suka yi zãlunci daga gare
150_02	su. Sabõda haka kada ku ji tsõronsu kuma ku ji tsõrõNa kuma dõmin In cika ni'imaTa a kanku, kuma tsammãninku zã ku shiryu.
151_00	Kamar yadda Muka aika Manzo a cikinku, daga gare ku, yana karanta ãyõyinMu a gare ku kuma yana tsarkake ku,
151_01	kuma yana sanar da ku Littãfi da hikima, kuma yana sanar da ku abin da ba ku kasance kuna sani ba.
152_00	Sabõda haka, ku tuna Ni, In tunã ku, kuma ku yi gõdiya gare Ni, kuma kada ku butulce Mini.
153_00	Ya ku waɗanda suka yi ĩmãni! Ku nẽmi taimako da haƙuri game da salla. Lalle ne, Allah na tãre da mãsu haƙuri.
154_00	Kada ku ce ga waɗanda ake kashẽwa a cikin hanyar Allah: "Matattu ne." Ã'a, rãyayyu ne, kuma amma bã ku sansancẽwa.
155_00	Kuma lalle ne, Muna jarrabar ku da wani abu daga tsõro da yunwa da naƙasa daga dũkiya da rãyuka da 'ya'yan itãce. Kuma ka yi bishãra ga mãsu haƙuri.
156_00	Waɗanda suke idan wata masĩfa ta sãme su, sai su ce: "Lalle ne mũ ga Allah muke, kuma lalle ne mũ, zuwa gare Shi, muke kõmãwa."
157_00	Waɗannan akwai albarku a kansu daga Ubangijinsu da wata rahama. Kuma waɗannan sũ ne shiryayyu.
158_00	Lalle ne Safã da Marwa suna daga wurãren ibãdar Allah, to, wanda ya yi hajin ¦ãki kõ kuwa ya yi Umra, to, bãbu laifi a kansa ga ya yi ɗawãfi gare su, su biyu.
158_01	Kuma wanda ya ƙãra yin wani aikin alhẽri to, lalle ne Allah Mai gõdiya ne, Masani.
159_00	Lalle ne waɗanda suke ɓõyẽwar abin da Allah Ya saukar da ga hujjõji bayyanannu, da shiriya, daga bãyan Mun
159_01	bayyana shi ga mutãne, a cikin Littãfi (Alƙur'ãni), waɗannan Allah Yana la'anar su, kuma mãsu la'ana suna la'anar su.
160_00	Sai waɗanda suka tũba, kuma suka gyãra, kuma suka bayyana, to waɗannan Ina karɓar tũba a kansu kuma Nĩ ne Mai karɓar tũba, Mai jin ƙai.
161_00	Lalle ne, waɗanda suka kãfirta kuma suka mutu alhãli kuwa suna kãfirai, waɗannan akwai, a kansu, la'anar Allah da Malã'iku da mutãne gabã ɗaya.
162_00	Suna madawwama a cikinta, bã a sauƙaƙa azãba daga barinsu, kuma ba su zama ana jinkirta musu ba.
163_00	Kuma Ubangijinku Ubangiji Guda ne. Bãbu wani Ubangiji fãce Shi, Mai rahama, Mai jin ƙai.
164_00	Lalle ne, a cikin halittar sammai da ƙasa, da sãɓãwar dare da yini, da jirãge wadaɗnda suke gudana a cikin tẽku (ɗauke) da abin da
164_01	yake amfãnin mutãne, da abin da Allah Ya saukar daga sama daga ruwa, sai Ya rãyar da ƙasa da shi a bãyan mutuwarta, kuma Ya
164_02	wãtsa, a cikinta, daga dukan dabba, kuma da jũyãwar iskõki da girgije hõrarre a tsakãnin sama da ƙasa; haƙĩƙa, akwaiãyõyi ga mutãne mãsu yin hankali.
165_00	Kuma akwai daga mutãne wanda yake riƙon kinãye, baicin Allah, suna son su, kamar son Allah, kuma waɗanda suka yi ĩmãni ne mafiya tsananin so ga Allah.
165_01	Kuma dã waɗanda suka yi zãlunci, suna ganin lõkacin da zã su ga azãba, da cewa lalle ne ƙarfi ga Allah yake duka, da cẽwa lalle neAllah Mai tsananin azãba ne.
166_00	A lõkacin da waɗanda aka bi suka barranta daga waɗanda suka bi, kuma suka ga azãba, kuma sabubba suka yanke da su.
167_00	Kuma waɗanda suka bi, suka ce: "Dã lalle ne muna da wata kõmãwa (dũniya) sai mu barranta dagagare su kamar yadda suka barranta daga gare mu (dã
167_01	ba su riƙi kinãyen ba)." Kamar wancan ne Allah ke nũna musu ayyukansu, suna da nadãmõmi a kansu, kuma ba su zama mãsu fita daga wutar ba.
168_00	Yã ku mutãne! Ku ci daga abin da yake a cikin ƙasa, wanda yake halal, mai dãɗi. Kuma kada ku bi zambiyõyin Shaiɗan. Lalle ne shi, gare ku, maƙiyi ne bayyananne.
169_00	Yana umurnin ku ne kawai da mugun aiki da alfãsha, kuma da ku faɗi abin da ba ku sani ba ga Allah.
170_00	Kuma idan aka ce musu: "Ku bi abin da Allah Ya saukar," sai su ce: Ã'a, muna bin abin
170_01	da muka iske ubanninmu a kansa." Shin, kuma kõ dã ubanninsu bã su hankaltar kõme, kuma bã su shiryuwa?
171_00	Kuma misãlin (mai kiran) waɗanda suka kãfirta kamar misãlin wanda ke yin me! me! ga abin da ba ya ji ne, fãce kira da ƙãra, kurãme, bẽbãye, makafi, sabõda haka bã su hankalta.
172_00	Yã ku waɗanda suka yi ĩmãni! Ku ci ku sha daga mãsu dãɗin abin da Muka azurta ku. Kuma ku gõde wa Allah, idan kun kasance Shi kuke bauta wa.
173_00	Kawai abin da Ya haramta a kanku, mũshe da Jini da nãman alade da abin da aka kurũrũta game da shi ga wanin Allah.
173_01	To, wanda aka matsã, wanin ɗan tãwãye, kuma banda mai zãlunci, to bãbu laifi a kansa. Lalle ne Allah Mai gãfara ne, Mai jin ƙai.
174_00	Lalle ne waɗannan da suke ɓõye abin da Allah Ya saukar daga Littãfi, kuma suna sayen kuɗi kaɗan da shi; waɗannan bã su cin kome a
174_01	cikin cikkunansu fãce wuta, kuma Allah bã zai yi musu magana ba a Rãnar ¡iyãma, kuma bã zai tsarkake su ba, kuma suna da azãba mai raɗaɗi.
175_00	Waɗannan su ne waɗanda suka sayi ɓata da shiriya, kuma azãba da gãfara. To, me ya yi haƙurinsu a kan Wuta!
176_00	Wancan dõmin lalle ne Allah Ya saukar da Littafi da gaskiya, kuma lalle ne waɗanda suka sãɓã a cikin Littãfin, haƙĩƙa, suna a cikin sãɓãni mai nĩsa.
177_00	Bai zama addini ba dõmin kun jũyar da fuskõkinku wajen gabas da yamma, kuma amma addini shi ne ga wanda
177_01	ya yi ĩmãni da Allah da Rãnar Lãhira da malã'iku da Littattafan sama da Annabãwa, kuma ya bãyar da dũkiya,
177_02	akan yana son ta, ga mai zumunta da marãyu da matalauta da ɗan hanya da mãsu rõƙo, kuma a cikin
177_03	fansar wuya, kuma ya tsayar da salla, kuma ya bãyar da zakka, da mãsu cika alkawari idan sun ƙulla alkawarin
177_04	da mãsu haƙuri a cikin tsanani da cũta da lõkacin yãƙi. Waɗannan su ne suka yi gaskiya. Kuma waɗannan su ne mãsu taƙawa.
178_00	Yã kũ waɗanda suka yi ĩmãni!
178_01	An wajabta, a kanku, yin ƙisãsi a cikin kasassu.
178_02	ɗa da ɗa kuma bãwa da bãwa, kuma mace da mace, to, wanda aka yi rangwamen wani abu gare shi daga ɗan'uwansa to a bi da alhẽri da biya zuwa gare, shi da kyautatãwa. Wancan sauƙaƙewa ne daga Ubangijinku, kuma rahama ce. To, wanda ya yi zãlunci a bãyan wancan, to, yana da azãba mai raɗaɗi.
179_00	Kuma kuna da rãyuwa a cikin ƙisãsi, yã ma'abuta hankula; tsammãninku, zã ku yi taƙawa.
180_00	Kuma an wajabta, a kanku idan mutuwa ta halarci ɗayanku, idan ya bar wata dũkiya, wasiyya dõmin mahaifa da dangi bisa ga abin da aka sani; wajabce a kan mãsu taƙawa.
181_00	To, wanda ya musanya masa a bãyan ya ji shi, to, kawai laifinsa yana a kan waɗanda suke musanya shi. Lalle ne, Allah Mai ji ne, Masani.
182_00	To, wanda ya ji tsõron karkata ko kuwa wani zunubi daga mai wasiyyar, sai ya yi sulhi a tsakãninsu to bãbu laifi a kansa. Lalle ne Allah, Mai gãfara ne, Mai jin ƙai.
183_00	Yã ku waɗanda suka yi ĩmãni! An wajabta azumi a kanku kamar yadda aka wajabta shi a kan waɗanda suke daga gabãninku, tsammãninku, zã ku yi taƙawa,
184_00	Kwanuka ƙidãyayyu. To, wanda ya kasance daga gare ku majinyaci ko kuwa yana a kan tafiya, sai (ya biya) adadi daga wasu kwanuka na dabam.
184_01	Kuma a kan waɗanda suke yin sa da wahala akwai fansa; ciyar da matalauci, sai dai wanda ya ƙãra alhẽri to, shi ne mafi alhẽri a gare shi. Kuma ku yi azumi (da wahalar) ne mafi alhẽri a gare ku idan kun kasance kuna sani.
185_00	Watan Ramalãna ne wanda aka saukar da Alƙur'ãni a cikinsa yana shiriya ga mutãne da hujjõji bayyanannu daga shiriya da rarrabẽwa.
185_01	To, wanda ya halarta daga gare ku a watan, sai ya azumce shi, kuma wanda ya kasance majinyaci ko kuwa a kan tafiya, sai ya biya adadi daga wasu kwanuka na dabam.
185_02	Allah Yana nufin sauƙi gare ku, kuma ba Ya nufin tsanani gare ku, kuma dõmin ku cika adadin, kuma dõmin ku girmama Allah a kan Yã shiryar da ku, kuma tsammãninku, zã ku gõde.
186_00	Kuma idan bãyiNa suka tambaye ka daga gare Ni, to, lalle Ni Makusanci ne. Ina karɓa kiran mai kira idan ya kirã Ni. Sabõda haka su nẽmi karɓawaTa, kuma su yi ĩmãni da Ni: tsammãninsu, su shiryu.
187_00	An halatta a gare ku, a daren azumi, yin jima'i zuwa ga matanku sũ tufa ne a gare ku, kuma kũ tufa ne a gare su, Allah Yã sani lalle ne ku kun kasance kuna yaudarar kanku.
187_01	Sabõda haka Yã karɓi tũbarku, kuma Yã yãfe muku.
187_02	To, yanzu ku rungume su kuma ku nẽmi abin da Allah yã rubũta muku.
187_03	Kuma ku ci kuma ku sha har sĩlĩli fari ya bayyana a gare ku daga sĩlĩli baƙi daga alfijiri, sa'an nan kuma ku cika azumi zuwa ga dare.
187_04	Kuma kada ku rungume su alhãli kuna mãsu itikãfi a cikin masallãtai. Waɗancan iyãkokin Allah ne: don haka kada ku kusancesu kamar haka ne Allah Yake bayyana ãyõyinSa ga mutãne: tsammãninsu, zã su yi taƙawa.
188_00	Kada ku ci dukiyõyinku a tsakãninku da ƙarya, kuma ku sãdu da ita zuwa ga mahukunta dõmin ku ci wani yanki daga dũkiyõyin mutãne da zunubi alhãli kuwa kũ, kuna sane.
189_00	Kuma suna tambayar ka daga jirajiran wata.
189_01	Ka ce: "Su lõkatai ne dõmin mutãne da haji, kuma bã addini ba ne ku je wa gidãje daga bãyansu: kuma amma abin da yake addini shi ne wanda ya yi taƙawa. Kuma ku je wa gidãje daga ƙõfõfinsu, kuma ku bi Allah da taƙawa: tsammãninku, ku ci nasara.
190_00	Kuma ku yãƙi waɗanda suke yãƙinku, a cikin hanyar Allah, kuma kada ku yi tsõkana, lalle ne Allah bã Ya son mãsu tsõkana.
191_00	Kuma ku yãƙe su inda kuka sãme su, kuma ku fitar da su daga inda suka fitar da ku. Kuma fitina ita ce mafi tsanani daga kisa.
191_01	Kuma kada ku yãƙe su a wurin Masallãci Tsararre (Hurumin Makka) fãce fa idan sun yãƙe ku a cikinsa. To, idan sun yãƙe ku, sai ku yãƙe su. Kamar wancan ne sakamakon kãfirai yake.
192_00	Sa'an nan idan sun hanu, to, lalle Allah Mai gãfara ne, Mai jin ƙai.
193_00	Kuma ku yãƙe su har ya zama wata fitina bã zã ta kasance ba, kuma addini ya zama na Allah. Sa'an nan idan sun hanu to bãbu tsõkana fãce a kan azzãlumai.
194_00	Watan alfarma da wani watan alfarma alfarmõmi mãsu dũkar jũna ne. Sabõda haka wanda ya yi tsõkana a kanku, sai ku yi tsokana a kansa da misãlin abin da ya yi tsõkana a kanku.
194_01	Kuma ku bi Allah da taƙawa. Kuma ku sani cẽwa lalle ne, Allah Yana tãre da mãsu taƙawa.
195_00	Kuma ku ciyar a cikin hanyar Allah. Kuma kada ku jefa kanku da hannayenku, zuwa ga halaka. Kuma ku kyautata; lalle ne, Allah Yana son mãsu kyautatãwa.
196_00	Kuma ku cika hajji da umra dõmin Allah.
196_01	To idan an kange ku, to, ku bãyar da abin da ya sauƙaƙa na hadaya.
196_02	Kuma kada ku aske kãnunku, sai hadaya ta kai wurinta.
196_03	To, wanda ya kasance majinyaci daga cikinku, kõ kuwa akwai wata cũta daga kansa (ya yi aski) sai fansa (fidiya) daga azumi ko kuwa sadaka ko kuwa yanka.
196_04	To, idan kuna cikin aminci to, wanda ya ji dãdi da umra zuwa haji, sai ya biya abin da ya sauƙaƙa daga hadaya, sa'an nan wanda bai sãmu ba, sai azumin yini uku a cikin haji da bakwai idan kun kõma, waɗancan gõma ne cikakku. Wancan yana ga wanda iyãlinsa ba su kasance mazaunan Masallãci Tsararre ba. Kuma ku bi Allah da taƙawa. Kuma ku sani cewa Allah Mai tsananin uƙũba ne.
197_00	Hajji watanni ne sanannu. To, wanda ya yi niyyar hajji a cikinsu to bãbu jimã'i kuma bãbu fãsiƙanci, kuma bãbu jãyayya a cikin hajji. Kuma abin da kuka aikata daga alhẽri, Allah Ya san shi.
197_01	Kuma ku yi guzuri. To, mafi alhẽrin guzuri yin taƙawa. Kuma ku bi Ni da taƙawa, ya ma'abuta hankula.
198_00	Bãbu laifi a kanku ga ku nẽmi falala daga Ubangijinku.
198_01	Sa'an nan idan kun malãlo daga Arafãt, sai ku yi ta ambatar Allah a wurin Mash'aril Harãmi kuma ku tuna Shi kamar shiriyar da Ya yi muku kuma lalle ne kun kasance a gabãninsa, haƙĩƙa, daga ɓatattu.
199_00	Sa'an nan kuma ku malãlo daga inda mutãne suke malalowa. Kuma ku nemi gafara ga Allah. Lalle Allah Mai gãfara ne, Mai jin ƙai.
200_00	To, idan kun ƙãre ayyukan hajji, sai ku ambaci Allah kamar ambatarku ga ubanninku, kõ kuwa mafi tsanani ga ambato. To, daga cikin mutãne akwai wanda yake cẽwa: "Ya Ubangjinmu!
200_01	Ka bã mu a cikin dũniya! Kuma bã ya da wanirabo a cikin Lãhira.
201_00	Kuma daga gare su akwai wanda yake cẽwa: "Yã Ubangijinmu! Ka bã mu mai kyau a cikin dũniya da mai kyau a cikin Lãhira, kuma Ka tsare mana azãbar Wuta!"
202_00	Waɗannan suna da rabo daga abin da suka sanã'anta; kuma Allah Mai gaggãwar sakamako da yawa ne.
203_00	Kuma ku ambaci Allah a cikin kwanuka ƙidayayyu.
203_01	To, wanda ya yi gaggawa a cikin kwana biyu, to, bãbu laifi a kansa, kuma wanda ya jinkirta, to, bãbu laifi a kansa, ga wanda ya yi taƙawa. Kuma ku bi Allah da taƙawa, kuma ku sani cewa lalle ne kũ, zuwa gare Shi ake tãrã ku.
204_00	Kuma akwai daga mutãne wanda maganarsa tana bã ka sha'awa a cikin rãyuwar dũniya, alhãli yanã shaidar da Allah a kan abin da yake cikin zuciyarsa, kuma shi mai tsananin husũma ne.
205_00	Kuma idan ya jũya sai ya yi gaggawa a cikin ƙasa dõmin ya yi ɓarna a cikinta, kuma ya halaka shũka da 'ya'yan dabbõbi. Kuma Allah bã Ya son ɓarna.
206_00	Kuma idan an ce masa: "Ka ji tsõron Allah," sai girman kai da yin zunubi ya ɗauke shi To abin da yake mai isarsa Jahannama ce. Kuma haƙĩƙa, shimfiɗa tã munana.
207_00	Kuma akwai daga mutãne wanda yake sayar da ransa, dõmin nẽman yardar Allah: KumaAllah Mai tausayi ga bãyi ne.
208_00	Yã ku waɗanda suka yi ĩmani! Ku shiga cikin Musulunci gabã ɗaya; kuma kada ku bi zambiyõyin Shaiɗan; lalle ne shĩ a gare ku maƙiyine, bayyananne.
209_00	To, idan kun karkace daga bayan hujjõji bayyanannu sun zo muku to ku sani cẽwa lalle ne Allah, Mabuwãyi ne, Mai hikima.
210_00	Shin suna jira, fãce dai Allah Ya je musu a cikin wasu inuwõyi na girgije, da malã'iku, kuma an hukunta al'amarin? Kuma zuwa ga Allah al'amurra ake mayar da su.
211_00	Ka tambayi Banĩ Isrã'ila, da yawa Muka bã su daga ãyõyi bayyanannu. Kuma wanda ya musanya ni'imar Allah daga bãyan tã je masa, to, lalle ne Allah Mai tsananin uƙũba ne.
212_00	An ƙawata rãyuwar dũniya ga waɗanda suka kãfirta, kuma suna izgili daga waɗanda suka yi ĩmãni, alhãli waɗanda suka yi taƙawa suna bisa gare su, a Rãnar ¡iyãma.
212_01	Kuma Allah Yana azurta wanda Yake so, bã da lissãfi ba.
213_00	Mutãne sun kasance al'umma guda.
213_01	Sai Allah Ya aiki annabãwa suna mãsu bãyar da bishãra kuma mãsu gargaɗi; kuma Ya saukar da Littãfi da gaskiya tãre da su dõmin (Littãfin) ya yi hukunci a tsakãnin mutãnen a cikin abin da suka sãɓã wa jũna a cikinsa.
213_02	kuma bãbu wanda ya sãɓã, a cikinsa, fãce waɗanda aka bai wa shi daga bãyan hujjõji bayyanannu sun je musu dõmin zãlunci a tsakãninsu.
213_03	Sai Allah Ya shiryar da waɗanda suka yi ĩmani ga abin da suka sãɓã a cikinsa daga gaskiya da izninSa. Kuma Allah Yana shiryar da wanda Yake so, zuwa ga hanya madaidaiciya.
214_00	Ko kuna zaton ku shiga Aljanna kuma tun misãlin waɗanda suka shige daga gabãninku bai zo muku ba?
214_01	Wahalõli da cũta sun shãfe su, kuma aka tsõratar da su har manzonsu da waɗanda suka yi ĩmãni tãre da shi su ce: "Yaushe taimakon Allah zai zo?" To! Lalle ne, taimakon Allah yana kusa!
215_00	Suna tambayar ka mẽne nezã su ciyar.
215_01	Ka ce: Abin da kuka ciyar daga alhẽri sai ga mahaifa da mafi kusantar dangantaka da marãyu da matalauta da ɗan hanya. Kuma abin da kuka aikata daga alhẽri, to, lalle ne, Allah gare shi Masani ne.
216_00	An wajabta yãƙi a kanku, alhãli kuwa shi abin ƙi ne a gare ku, akwai fãtar cẽwa ku ƙi wani abu, alhãli shi ne mafi alhẽri a gare ku, kumaakwai fãtar cẽwa kuna son wani abu alhãli kuwa shi ne mafi sharri a gare ku.
216_01	Kuma Allah ne Yake sani, kuma kũ ba ku sani ba.
217_00	Suna tambayar ka game da Watan Alfarma: yin yãki a cikinsa.
217_01	Ka ce: "Yin yãƙi a cikinsa babban zunubi ne, kuma hani daga hanyar Allah, da kuma kãfirci da Shi, da kuma da Masallaci Tsararre, da Kuma fitar da mutãnensa daga gare shi, shi ne mafi girman zunubi a wurin Allah." Kuma fitina ita ce mafi girma daga kisa.
