001_00	ALIF LAM MYM 'SAAD
150_01	Na akaziweka chini zile mbao, na akamkamata kichwa ndugu yake akimvutia kwake. (Haarun) akasema: Ewe mwana wa mama yangu!
150_02	Hakika hawa watu wamenidharau, na wakakaribia kuniuwa. Basi usiwafurahishe maadui juu yangu, wala usinifanye pamoja na watu madhaalimu.
151_00	(Musa) akasema: Mola Mlezi wangu! Nisamehe mimi na ndugu yangu, na ututie katika rehema yako. Nawe ni Mwenye kurehemu kushinda wote wenye kurehemu.
152_00	Hakika wale walio muabudu ndama, itawapata ghadhabu ya Mola wao Mlezi na madhila katika maisha ya dunia. Na hivi ndivyo tunavyo walipa wazushi.
153_00	Na walio tenda maovu, kisha wakatubia baada yake na wakaamini, hapana shaka kuwa Mola Mlezi wako baada ya hayo ni Mwenye kusamehe Mwenye kurehemu.
154_00	Na Musa ilipo mtulia ghadhabu aliziokota zile mbao. Na katika maandiko yake mna uwongofu na rehema kwa wanao mwogopa Mola wao Mlezi.
155_00	Na Musa akawateuwa watu sabiini katika kaumu yake kwa miadi yetu. Na ulipo fika mtetemeko mkubwa alisema: Ewe Mola wangu Mlezi!
155_01	Ungeli taka ungeli wahiliki wao na mimi zamani! Unatuhiliki kwa waliyo yafanya wajinga katika sisi?
155_02	Haya si chochote ila ni mtihani wako, umpoteze umtakaye na umhidi umtakaye. Wewe ndiye Rafiki Mlinzi wetu. Basi tughufirie na uturehemu. Na Wewe ndiye mbora wa kughufiria.
156_00	Na utuandikie mema katika dunia hii na katika Akhera. Sisi tumerejea kwako.
156_01	(Mwenyezi Mungu) akasema: Adhabu yangu nitamsibu nayo nimtakaye. Na rehema yangu imeenea kila kitu. Lakini nitawaandikia khasa wanao mchamngu, na wanao toa Zaka, na wale ambao wanaziamini Ishara zetu,
157_00	Ambao kwamba wanamfuata huyo Mtume, Nabii, asiye soma wala kuandika, wanaye mkuta kaandikwa kwao katika Taurati na Injili, anaye waamrisha
157_01	mema na anawakanya maovu, na anawahalalishia vizuri, na ana waharimishia viovu, na anawaondolea mizigo yao na minyororo iliyo kuwa juu
157_02	yao. Basi wale walio muamini yeye, na wakamhishimu, na wakamsaidia, na wakaifuata nuru iliyo teremshwa pamoja naye - hao ndio wenye kufanikiwa.
158_00	Sema: Enyi watu! Hakika mimi ni Mtume kwenu nyinyi nyote, niliye tumwa na Mwenyezi Mungu Mwenye ufalme wa mbingu na ardhi.
158_01	Hapana mungu ila Yeye anaye huisha na anaye fisha. Basi muaminini Mwenyezi Mungu na Mtume wake asiyejua kusoma na kuandika, ambaye anamuamini Mwenyezi Mungu na maneno yake. Na mfuateni yeye ili mpate kuongoka.
159_00	Na katika kaumu ya Musa lipo kundi linao waongoa watu kwa haki na kwa haki wanafanya uadilifu.
160_00	Na tuliwagawanya katika makabila kumi na mbili, mataifa mbali mbali. Na tulimfunulia Musa walipo muomba maji watu wake kumwambia: Lipige hilo jiwe kwa fimbo yako.
160_01	Mara zikatibuka humo chemchem kumi na mbili, na kila watu wakajua mahali pao pa kunywea. Na tukawafunika kivuli kwa mawingu, na tukawateremshia Manna na Salwa.
160_02	Tukawaambia: Kuleni vizuri hivi tulivyo kuruzukuni. Wala hawakutu- dhulumu Sisi, bali wamejidhulumu wenyewe.
161_00	Na pale walipo ambiwa: Kaeni katika mji huu, na mle humo mpendapo, na semeni: Tufutie dhambi zetu.
161_01	Na ingieni katika mlango wake kwa unyenyekevu, tupate kukusameheni makosa yenu. Walio wema tutawazidishia.
162_00	Lakini walio dhulumu miongoni mwao walibadilisha kauli, sio ile waliyo ambiwa. Basi tukawapelekea adhabu kutoka mbinguni kwa vile walivyo kuwa wakidhulumu.
163_00	Na waulize khabari za mji ulio kuwa kando ya bahari, wakiivunja Sabato (Jumaamosi ya mapumziko).
163_01	Samaki walikuwa wakiwajia juu juu siku ya mapumziko yao, na siku zisio kuwa za kupumzika hawakuwa wakiwajia. Kwa namna hiyo tuliwajaribu kwa sababu walikuwa wakifanya upotovu.
164_00	Na kikundi kati yao walisema: Kwa nini mnawawaidhi watu ambao tangu hapo Mwenyezi Mungu atawateketeza au atawaadhibu adhabu kali?
164_01	Wakasema: Ili uwe ni udhuru kwa Mola Mlezi wenu, na huenda nao wakamchamngu.
165_00	Basi walipo yasahau waliyo kumbushwa, tuliwaokoa walio kuwa wakikataza maovu, na tukawatesa walio dhulumu kwa adhabu mbaya kwa vile walivyo kuwa wakifanya upotovu.
166_00	Walipo jifakharisha katika waliyo kanywa tuliwaambia: Kuweni manyani wa kudharauliwa.
167_00	Na pale alipo tangaza Mola wako Mlezi kwamba hapana shaka atawaletea watu ambao watawaadhibu kwa adhabu mbaya mpaka Siku ya Kiyama.
167_01	Hakika Mola wako Mlezi ni Mwepesi wa kuadhibu, na bila ya shaka ni Mwenye maghfira, na Mwenye kurehemu.
168_00	Na tuliwafarikisha katika ardhi makundi makundi. Wako kati yao walio wema, na wengine kinyume cha hivyo. Na tukawajaribu kwa mema na mabaya ili wapate kurejea.
169_00	Na wakafuatia baada yao kizazi kibaya walio rithi Kitabu. Wakashika anasa za haya maisha duni, na wakasema: Tutasamehewa!
169_01	Na ikiwajia tena anasa kama hiyo wataishika pia. Je, hawakufanyiwa agano la Kitabu kuwa wasiseme juu ya Mwenyezi Mungu ila Haki tu?
169_02	Nao wamekwisha soma yaliomo humo. Na nyumba ya Akhera ni bora kwa wanao jikinga na maasi. Basi je, hamtii akilini?
170_00	Na wale wanao kishikilia Kitabu, na wakashika Sala - hakika Sisi hatupotezi ujira wa watendao mema.
171_00	Na pale tulipo unyanyua mlima juu yao ukawa kama kwamba ni kiwingu kilicho wafunika, na wakadhani kuwa utawaangukia, (tukawaambia): Kamateni kwa nguvu tuliyo kupeni, na yakumbukeni yaliyomo ndani yake ili mpate kumcha Mungu.
172_00	Na pale Mola wako Mlezi alipo waleta katika wanaadamu kutoka migongoni mwao kizazi chao, na akawashuhudisha juu ya nafsi zao, akawaambia: Je, Mimi si Mola Mlezi wenu? Wakasema: Kwani!
172_01	Tumeshuhudia. Msije mkasema Siku ya Kiyama sisi tulikuwa tumeghafilika na hayo.
173_00	Au mkasema: Hakika baba zetu ndio walio shirikisha kabla yetu, na sisi ni dhuriya zao tu baada yao. Basi utatuangamiza kwa sababu ya waliyo yafanya wapotovu?
174_00	Ndio kama hivyo tunavyo zipambanua Ishara, kwa kutaraji kuwa watarejea.
175_00	Na wasomee khabari za yule ambaye tulimpa Ishara zetu, naye akajivua nazo. Na Shet'ani akamuandama, akawa miongoni walio potea.
176_00	Na tungelitaka tungeli mtukuza kwa hizo Ishara, lakini yeye aliushikilia ulimwengu na akafuata pumbao lake.
176_01	Basi mfano wake ni mfano wa mbwa.
176_02	Ukimhujumu hupumua na kutoa ulimi na ukimwacha pia hupumua na kutoa ulimi. Huo ni mfano wa kaumu wanao zikanusha Ishara zetu. Basi simulia hadithi, huenda wakatafakari.
177_00	Huu ni mfano muovu kabisa wa watu wanao kanusha Ishara zetu na wakajidhulumu nafsi zao.
178_00	Yule ambaye Mwenyezi Mungu amemhidi basi huyo amehidika; na alio waacha kupotea basi hao ndio walio khasirika.
179_00	Na tumeiumbia Jahannamu majini wengi na watu. Wana nyoyo, lakini hawafahamu kwazo.
179_01	Na wana macho, lakini hawaoni kwayo. Na wana masikio, lakini hawasikii kwayo.
179_02	Hao ni kama nyama howa, bali wao ni wapotofu zaidi. Hao ndio walio ghafilika.
180_00	Na Mwenyezi Mungu ana majina mazuri kabisa, basi muombeni kwa hayo. Na waacheni wale wanao haribu utakatifu wa majina yake. Hao watakuja lipwa waliyo kuwa wakiyatenda.
181_00	Na katika tulio waumba wako watu wanao ongoza kwa Haki, na kwayo wanafanya uadilifu.
182_00	Na wale walio kadhibisha Ishara zetu, tutawapururia pole pole kwa namna ambayo wenyewe hawaijui.
183_00	Nami nitawapa muda. Hakika mpango wangu ni madhubuti.
184_00	Je, hawafikiri? Huyu mwenzao hana wazimu. Hakuwa yeye ila ni mwonyaji aliye dhaahiri.
185_00	Je, hawatazami ufalme wa mbingu na ardhi, na vitu alivyo viumba Mwenyezi Mungu, na pengine ajali yao imekwisha karibia?
185_01	Basi maneno gani baada ya haya watayaamini?
186_00	Aliye mwacha Mwenyezi Mungu kupotea hana wa kumwongoa. Atawaacha hao wakitangatanga katika upotofu wao.
187_00	Wanakuuliza hiyo Saa (ya mwisho) itakuwa lini? Sema: Kuijua kwake kuko kwa Mola Mlezi wangu. Haidhihirishi hiyo kwa wakati wake ila Yeye. Ni nzito katika mbingu na ardhi.
187_01	Haikujiini ila kwa ghafla tu. Wanakuuliza kama kwamba wewe una pupa ya kuijua. Sema: Ujuzi wake uko kwa Mwenyezi Mungu. Lakini aghlabu ya watu hawajui.
188_00	Sema: Siimilikii nafsi yangu manufaa wala madhara, ila apendavyo Mwenyezi Mungu.
188_01	Na lau kuwa ninayajua ya ghaibu ninge jizidishia mema mengi, wala ovu lisinge nigusa. Mimi si chochote ila ni mwonyaji na mbashiri kwa watu wanao amini.
189_00	Yeye ndiye aliye kuumbeni katika nafsi moja; na katika hiyo hiyo akamfanya mwenzi wake, ili akae naye kwa utulivu.
189_01	Na anapo muingilia hubeba mzigo mwepesi, akitembea nao. Anapo kuwa mja mzito, wote wawili humwomba Mwenyezi Mungu, Mola Mlezi wao: Kama ukitupa mwana mwema tutakuwa katika wanao shukuru.
190_00	Basi anapo wapa mwana mwema, wanamfanyia washirikina Mwenyezi Mungu katika kile kile alicho wapa. Mwenyezi Mungu ametukuka na huko kushirikisha kwao.
191_00	Ati wanawafanya viumbe kuwa ni washirika wa Mwenyezi Mungu, nao hawaumbi, bali wao ndio wanaumbwa?
192_00	Wala hawana uwezo wa kuwanusuru wala wenyewe hawajinusuru.
193_00	Na mkiwaita kwenye uwongofu, hawakufuateni. Ni mamoja kwenu ikiwa mtawaita au mkinyamaza.
194_00	Hakika hao mnao waomba asiye kuwa Mwenyezi Mungu ni waja mfano wenu nyinyi. Hebu waombeni, nao wakuitikieni, kama mnasema kweli.
195_00	Je, wao wanayo miguu ya kwendea? Au wanayo mikono ya kutetea? Au wanayo macho ya kuonea?
195_01	Au wanayo masikio ya kusikizia? Sema: Iiteni hio miungu yenu ya ushirikina. Kisha nifanyieni mimi vitimbi, wala msinipe muhula.
196_00	Hakika Mlinzi wangu ni Mwenyezi Mungu aliye teremsha Kitabu. Naye ndiye awalindae walio wema.
197_00	Na hao mnao waomba asiye kuwa Mwenyezi hawawezi kukunusuruni, wala hawajinusuru wenyewe.
198_00	Na mkiwaita kwenye uwongofu hawasikii. Na unawaona wanakutazama, nao hawaoni.
199_00	Shikamana na kusamehe, na amrisha mema, na jitenge na majaahili.
200_00	Na uchochezi wa Shet'ani ukikuchochea basi omba ulinzi wa Mwenyezi Mungu. Hakika Yeye ni Msikizi, Mjuzi.
201_00	Hakika wale wamchao Mungu, zinapo wagusa pepesi za Shet'ani, mara huzindukana na hapo huwa wenye kuiona haki.
202_00	Na ndugu zao wanawavutia kwenye upotofu, kisha wao hawaachi.
203_00	Na usipo waletea Ishara waitakayo husema: Kwa nini hukuibuni?
203_01	Sema: mimi ninafuata yanayo funuliwa kwangu kutokana na Mola Mlezi wangu. Hii (Qur'ani) ni hoja zinazo toka kwa Mola wenu Mlezi, na uwongofu na rehema kwa watu wanao amini.
204_00	Na isomwapo Qur'ani isikilizeni na mnyamaze ili mpate kurehemewa.
205_00	Na mkumbuke Mola Mlezi wako nafsini kwako kwa unyenyekevu na khofu, na bila ya kupiga kelele kwa kauli, asubuhi na jioni. Wala usiwe miongoni wa walio ghafilika.
206_00	Hakika wale walioko kwa Mola wako Mlezi hawajivuni wakaacha kumuabdu, na wanamtakasa na wanamsujudia.
