001_00	Alif Lam Mim.
137_00	Basi wakiamini kama mnavyo amini nyinyi, itakuwa kweli wameongoka. Na wakikengeuka basi wao wamo katika upinzani tu. Na Mwenyezi Mungu atakutosheni kukukingeni na shari yao, na Yeye ndiye Msikizi, Mjuzi.
138_00	Huko ndiko kupaka rangi kwa Mwenyezi Mungu, na nani aliye mbora wa kupaka rangi kuliko Mwenyezi Mungu? Na sisi ni wenye kumuabudu Yeye tu.
139_00	Sema: Mnahojiana nasi juu ya Mwenyezi Mungu, naye ni Mola wetu Mlezi na Mola wenu Mlezi, na sisi tuna vitendo vyetu na nyinyi mna vitendo vyenu? Nasi tunamsafia Yeye tu.
140_00	Au mnasema kuwa Ibrahim na Ismail na Is-hak na Yaakub na wajukuu zao walikuwa Mayahudi au Wakristo? Sema: Je, nyinyi mnajua zaidi au Mwenyezi Mungu?
140_01	Na ni nani mwenye kudhulumu zaidi kuliko yule aliye ficha ushahidi alio nao utokao kwa Mwenyezi Mungu? Na Mwenyezi Mungu si mwenye kughafilika na hayo myafanyayo.
141_00	Hao ni watu walio kwisha pita. Wao watapata waliyo yachuma, na nyinyi mt apata mliyo yachuma, wala hamtaulizwa nyinyi yale waliyo kuwa wakifanya wao.
142_00	WAPUMBAVU miongoni mwa watu watasema: Nini kilicho wageuza kutoka kibla chao walicho kuwa wakikielekea?
142_01	Sema: Mashariki na Magharibi ni ya Mwenyezi Mungu; Yeye humwongoa amtakaye kwenye njia iliyo nyooka.
143_00	Na vivyo hivyo tumekufanyeni muwe Umma wa wasitani, ili muwe mashahidi juu ya watu, na Mtume awe ni shahidi juu yenu.
143_01	Na hatukukifanya kibla ulicho kuwa nacho ila tupate kumjua yule anaye mfuata Mtume na yule anaye geuka akarejea nyuma.
143_02	Na kwa yakini hilo lilikuwa jambo gumu isipo kuwa kwa wale alio waongoa Mwenyezi Mungu. Na Mwenyezi Mungu hakuwa mwenye kuipoteza Imani yenu. Kwani Mwenyezi Mungu ni Mpole kwa watu na Mwenye kuwarehemu.
144_00	Kwa yakini tukiona unavyo geuza geuza uso wako mbinguni.
144_01	Basi tutakuelekeza kwenye Kibla ukipendacho.
144_02	Basi elekeza uso wako upande wa Msikiti Mtakatifu; na popote mnapokuwa zielekezeni nyuso zenu upande huo; na hakika wale walio pewa Kitabu wanajua kwamba hiyo ni haki itokayo kwa Mola wao Mlezi. Na Mwenyezi Mungu si mwenye kughafilika na yale wanayo yatenda.
145_00	Na hao walio pewa Kitabu, hata ukiwaletea hoja za kila namna, hawatafuata Kibla chako; wala wewe hutafuata kibla chao, wala baadhi
145_01	yao hawatafuata kibla cha wengineo; na kama ukiyafuata matamanio yao baada ya kukufikia ujuzi, hakika hapo utakuwa miongoni mwa wenye kudhullumu.
146_00	Wale tulio wapa Kitabu wanayajua haya kama wanavyo wajua watoto wao; na kuna kikundi katika wao huificha haki na hali wanajua.
147_00	Haki inatoka kwa Mola wako Mlezi. Basi usiwe miongoni mwa wanao fanya shaka.
148_00	Na kila mmoja anao upande anao elekea. Basi shindanieni mema. Popote mlipo Mwenyezi Mungu atakuleteni nyote pamoja. Hakika Mwenyezi Mungu ni Muweza wa kila kitu.
149_00	Na popote wendako elekeza uso wako kwenye Msikiti Mtakatifu. Na hiyo ndiyo Haki itokayo kwa Mola wako Mlezi. Na Mwenyezi Mungu si mwenye kughafilika na mnayo yatenda.
150_00	Na popote wendako elekeza uso wako kwenye Msikiti Mtakatifu.
150_01	Na popote mlipo elekezeni nyuso zenu upande huo ili watu wasiwe na hoja juu yenu, isipokuwa wale walio dhulumu miongoni mwao.
150_02	Basi msiwaogope wao, lakini niogopeni Mimi - na ili nikutimizieni neema yangu, na ili mpate kuongoka.
151_00	Kama tulivyo mtuma Mtume kwenu anaye tokana na nyinyi, anakusomeeni Aya zetu
151_01	na kukutakaseni na kukufundisheni Kitabu na hikima na kukufundisheni mliyo kuwa hamyajui.
152_00	Basi nikumbukeni nitakukumbukeni, na nishukuruni wala msinikufuru.
153_00	Enyi mlio amini! Takeni msaada kwa subira na Sala. Hakika Mwenyezi Mungu yu pamoja na wanao subiri.
154_00	Wala msiseme kuwa wale walio uwawa katika Njia ya Mwenyezi Mungu ni maiti; bali hao ni wahai, lakini nyinyi hamtambui.
155_00	Hapana shaka tutakujaribuni kwa chembe ya khofu, na njaa, na upungufu wa mali na watu na matunda. Na wabashirie wanao subiri,
156_00	Wale ambao ukiwasibu msiba husema: Hakika sisi ni wa Mwenyezi Mungu, na kwake Yeye hakika tutarejea.
157_00	Hao juu yao zitakuwa baraka zitokazo kwa Mola wao Mlezi na rehema. Nao ndio wenye kuongoka.
158_00	Hakika vilima vya Safaa na Marwa ni katika alama za Mwenyezi Mungu.
158_01	Basi anaye hiji kwenye Nyumba hiyo au akafanya Umra, si kosa kwake kuvizunguka. Na anaye jitendea mwenyewe kheri basi bila ya shaka Mwenyezi Mungu ni Mwenye shukrani na Mjuzi.
159_00	Hakika wale wanao ficha tuliyo yateremsha -- nazo ni hoja zilizo wazi na uwongofu baada
159_01	ya Sisi kuzibainisha kwa watu Kitabuni -- hao anawalaani Mwenyezi Mungu, na wanawalaani kila wenye kulaani.
160_00	Ila wale walio tubu na wakatengeneza na wakabainisha, basi hao nitapokea toba yao, na Mimi ni Mwenye kupokea toba na Mwenye kurehemu.
161_00	Hakika walio kufuru na wakafa hali ni makafiri, hao iko juu yao laana ya Mwenyezi Mungu na ya Malaika na ya watu wote.
162_00	Watadumu humo. Hawata-punguziwa adhabu wala hawatapewa muda wa kupumzika.
163_00	Na Mungu wenu ni Mungu mmoja tu, hapana mungu ila Yeye. Mwingi wa rehema, Mwenye kurehemu.
164_00	Hakika katika kuumbwa kwa mbingu na ardhi, na kukhitalifiana usiku na mchana, na marikebu ambazo hupita baharini kwa viwafaavyo watu, na maji
164_01	anayo yateremsha Mwenyezi Mungu kutoka mbinguni, na kwa hayo akaihuisha ardhi baada ya kufa kwake, na akaeneza humo kila aina ya wanyama;
164_02	na katika mabadiliko ya pepo, na mawingu yanayo amrishwa kupita baina ya mbingu na ardhi, bila shaka zimo Ishara kwa watu wanao zingatia.
165_00	Na katika watu wapo wanao chukua waungu wasio kuwa Mwenyezi Mungu. Wanawapenda kama kumpenda Mwenyezi Mungu.
165_01	Lakini walio amini wanampenda Mwenyezi Mungu zaidi sana. Na laiti walio dhulumu wakajua watakapo iona adhabu kuwa nguvu zote ni za Mwenyezi Mungu na kuwa Mwenyezi Mungu ni mkali wa kuadhibu!
166_00	Walio fuatwa watakapo wakataa wale walio wafuata, na hali ya kuwa wamekwisha iona adhabu; na yatakatika mafungamano yao.
167_00	Na watasema wale walio fuata: Laiti tungeweza kurudi tukawakataa wao kama wanavyo tukataa sisi!
167_01	Hivi ndivyo Mwenyezi Mungu atakavyo waonyesha vitendo vyao kuwa majuto yao; wala hawatakuwa wenye kutoka Motoni.
168_00	Enyi watu! Kuleni vilivyomo katika ardhi, halali na vizuri, wala msifuate nyayo za Shet'ani. Hakika yeye ni adui yenu aliye dhaahiri.
169_00	Yeye anakuamrisheni maovu na machafu, na mumsingizie Mwenyezi Mungu mambo msiyo yajua.
170_00	Na wanapo ambiwa: Fuateni aliyo yateremsha Mwenyezi Mungu; wao husema: Bali tutafuata tuliyo wakuta nayo baba zetu.
170_01	Je, hata ikiwa baba zao walikuwa hawaelewi kitu, wala hawakuongoka?
171_00	Na mfano wa walio kufuru ni kama mfano wa anaye mpigia kelele asiye sikia ila wito na sauti tu -- ni viziwi, mabubu, vipofu, kwa hivyo hawaelewi.
172_00	Enyi mlio amini! Kuleni vizuri tulivyo kuruzukuni, na mumshukuru Mwenyezi Mungu, ikiwa kweli mnamuabudu Yeye tu.
173_00	Yeye amekuharimishieni mzoga tu na damu na nyama ya nguruwe na kilicho tajiwa, katika kuchinjwa kwake, jina la asiye kuwa Mwenyezi Mungu.
173_01	Lakini aliye fikiwa na dharura bila ya kutamani wala kupita kiasi, yeye hana dhambi. Hakika Mwenyezi Mungu ni Mwenye kusamehe, Mwenye kurehemu.
174_00	Hakika wale wafichao aliyo yateremsha Mwenyezi Mungu katika Kitabu, wakanunua kwacho thamani ndogo, hao hawali matumboni mwao isipo kuwa moto, wala Mwenyezi Mungu hatawasemeza Siku ya Kiyama, wala hatawatakasa.
174_01	Nao watapata adhabu chungu.
175_00	Hao ndio walio nunua upotofu badala ya uwongofu, na adhabu badala ya maghfira. Ama wavumilivu wa Moto watu hawa!
176_00	Hayo ni kwa sababu Mwenyezi Mungu ameteremsha Kitabu kwa haki. Na wale walio khitilafiana katika Kitabu wamo katika upinzani ulio mbali na haki.
177_00	Sio wema kuwa mnaelekeza nyuso zenu upande wa mashariki na magharibi. Bali wema ni wa anaye
177_01	muamini Mwenyezi Mungu na Siku ya Mwisho na Malaika na Kitabu na Manabii, na anawapa mali,
177_02	kwa kupenda kwake, jamaa na mayatima na masikini na wasafiri, na waombao, na katika ugombozi, na
177_03	akawa anashika Sala, na akatoa Zaka, na wanao timiza ahadi yao wanapo ahidi, na wanao vumilia
177_04	katika shida na dhara na wakati wa vita; hao ndio walio sadikisha, na hao ndio wajilindao.
178_00	Enyi mlio amini!
178_01	Mmepewa ruhusa kulipa kisasi katika walio uwawa - muungwana kwa muungwana, na mtumwa kwa mtumwa, na mwanamke kwa mwanamke.
178_02	Na anaye samehewa na ndugu yake chochote basi ashikwe kulipa kwa wema, na yeye alipe kwa ihsani. Huko ni kupunguziwa kuliko tokana na Mola wenu Mlezi, na ni rehema. Na atakaye vuka mipaka baada ya haya, basi yeye atapata adhabu chungu.
179_00	Mtakuwa nao uhai mzuri katika kulipiza kisasi enyi wenye akili, ili msalimike.
180_00	Mmeandikiwa -- mmoja wenu anapo fikwa na mauti, kama akiacha mali -- afanye wasia kwa wazazi wake na jamaa zake kwa namna nzuri inayo pendeza. Ni waajibu haya kwa wachamngu.
181_00	Na atakaye ubadilisha wasia baada ya kuusikia, basi dhambi yake ni juu ya wale watakao ubadilisha; hakika Mwenyezi Mungu ni Mwenye kusikia Mwenye kujua.
182_00	Na mwenye kumkhofia muusiaji kwenda kombo au kupata dhambi akasuluhisha baina yao, basi hatakuwa na dhambi. Hakika Mwenyezi Mungu ni Msamehevu na Mwenye kurehemu.
183_00	Enyi mlio amini! Mmeandikiwa Saumu, kama waliyo andikiwa walio kuwa kabla yenu ili mpate kuchamngu.
184_00	(Mfunge) siku maalumu za kuhisabika. Na atakaye kuwa miongoni mwenu mgonjwa au yumo safarini basi atimize hisabu katika siku nyengine.
184_01	Na wale wasio weza, watoe fidiya kwa kumlisha masikini. Na atakaye fanya wema kwa kujitolea, basi ni bora kwake. Na mkifunga ni bora kwenu, kama mnajua.
185_00	Mwezi wa Ramadhani ambao imeteremshwa humo Qur'ani kuwa ni uwongofu kwa watu, na hoja zilizo wazi za uwongofu na upambanuzi.
185_01	Basi ataye kuwa mjini katika mwezi huu naafunge.
185_02	Na mwenye kuwa mgonjwa au safarini, basi atimize hisabu katika siku nyengine. Mwenyezi Mungu anakutakieni yaliyo mepesi wala hakutakieni yaliyo mazito, na mtimize hiyo hisabu, na mumtukuze Mwenyezi Mungu kwa kuwa amekuongoeni ili mpate kushukuru.
186_00	Na waja wangu watakapo kuuliza khabari zangu, waambie kuwa Mimi nipo karibu. Naitikia maombi ya mwombaji anapo niomba. Basi na waniitikie Mimi, na waniamini Mimi, ili wapate kuongoka.
187_00	Mmehalalishiwa usiku wa Saumu kuingiliana na wake zenu. Wao ni vazi kwenu, na nyinyi ni vazi kwao.
187_01	Mwenyezi Mungu anajua kwamba mlikuwa mkizikhini nafsi zenu. Kwa hivyo amekukubalieni toba yenu na amekusameheni.
187_02	Basi sasa changanyikeni nao na takeni aliyo kuandikieni Mwenyezi Mungu. Na kuleni na kunyweni mpaka ubainike kwenu weupe wa alfajiri katika weusi wa usiku.
187_03	Kisha timizeni Saumu mpaka usiku. Wala msichanganyike nao, na hali mnakaa Itikafu msikitini.
187_04	Hiyo ni mipaka ya Mwenyezi Mungu, basi msiikaribie. Namna hivi Mwenyezi Mungu anabainisha Ishara zake kwa watu ili wapate kumcha.
188_00	Wala msiliane mali zenu kwa baat'ili na kuzipeleka kwa mahakimu ili mpate kula sehemu ya mali ya watu kwa dhambi, na hali mnajua.
189_00	Wanakuuliza khabarai ya miezi. Sema: Hiyo ni vipimo vya nyakati kwa ajili ya watu na Hija. Wala sio wema kuziingia nyumba kwa nyuma.
189_01	Bali mwema ni mwenye kuchamngu. Na ingieni majumbani kupitia milangoni. Na mcheni Mwenyezi Mungu ili mpate kufanikiwa.
190_00	Na piganeni katika Njia ya Mwenyezi Mungu na wale wanao kupigeni, wala msianze uadui. Kwani Mwenyezi Mungu hawapendi waanzao uadui.
191_00	Na wauweni popote mwakutapo, na muwatoe popote walipo kutoeni; kwani fitina ni mbaya zaidi kuliko kuuwa. Wala msipigane nao kwenye Msikiti Mtakatifu mpaka wakupigeni huko.
191_01	Wakikupigeni huko basi nanyi pia wapigeni. Na hivi ndivyo yalivyo malipo ya makafiri.
192_00	Lakini wakiacha basi Mwenyezi Mungu ni Mwenye kusamehe Mwenye kurehemu.
193_00	Na piganeni nao mpaka pasiwepo fitina, na Dini iwe ya Mwenyezi Mungu tu. Na kama wakiacha basi usiweko uadui ila kwa wenye kudhulumu.
194_00	Mwezi mtakatifu kwa mwezi mtakatifu. Na vitu vitakatifu vimeekewa kisasi.
194_01	Anaye kushambulieni nanyi mshambulieni, kwa kadiri alivyo kushambulieni. Na mcheni Mwenyezi Mungu. Na jueni kwamba Mwenyezi Mungu yu pamoja na wachamngu.
195_00	Na toeni katika njia ya Mwenyezi Mungu, wala msijitie kwa mikono yenu katika maangamizo. Na fanyeni wema. Hakika Mwenyezi Mungu huwapenda wafanyao wema.
196_00	Na timizeni Hija na Umra kwa ajili ya Mwenyezi Mungu.
196_01	Na ikiwa mkizuiwa, basi (chinjeni) wanyama walio wepesi kupatikana.
196_02	Wala msinyoe vichwa vyenu mpaka wanyama hao wafike machinjoni mwao.
196_03	Na atakaye kuwa mgonjwa au ana vya kumuudhi kichwani mwake basi atoe fidiya kwa kufunga au kwa kutoa sadaka au kuchinja wanyama.
196_04	Na mtakapo kuwa salama, basi mwenye kujistarehesha kwa kufanya Umra kisha ndio akahiji, basi achinje mnyama aliye mwepesi kumpata. Na asiye pata, afunge siku tatu katika Hija na siku saba mtakapo rudi; hizi ni kumi kaamili. Hayo ni kwa ajili ya yule ambaye watu wake hawako karibu na Msikiti Mtakatifu. Na mcheni Mwenyezi Mungu, na jueni Mwenyezi Mungu ni Mkali wa kuadhibu.
197_00	Hija ni miezi maalumu. Na anaye kusudia kufanya Hija katika miezi hiyo, basi asiseme maneno machafu wala asifanye vitendo vichafu wala asibishane katika Hija. Na kheri yoyote mnayo ifanya Mwenyezi Mungu anaijua.
197_01	Na jitengezeeni zawadi. Na hakika bora ya zawadi ni uchamngu. Na nicheni Mimi, enyi wenye akili!
198_00	Si vibaya kwenu kuitafuta fadhila ya Mola wenu Mlezi.
198_01	Na mtakapo miminika kutoka A'rafat mtajeni Mwenyezi Mungu penye Masha'ril Haram. Na mkumbukeni kama alivyo kuongoeni, ijapo kuwa zamani mlikuwa miongoni mwa walio potea.
199_00	Kisha miminikeni kutoka pale wanapo miminika watu, na muombeni Mwenyezi Mungu msamaha: hakika Mwenyezi Mungu ni Mwenye kusamehe Mwenye kurehemu.
200_00	Na mkisha timiza ibada zenu basi mtajeni Mwenyezi Mungu kama mlivyo kuwa mkiwataja baba zenu au mtajeni zaidi.
200_01	Na wapo baadhi ya watu wanao sema: Mola wetu Mlezi, tupe duniani! Naye katika Akhera hana sehemu yoyote.
201_00	Na katika wao wapo wanao sema: Mola wetu Mlezi, tupe duniani mema, na Akhera mema, na utulinde na adhabu ya Moto!
202_00	Hao ndio watakao pata sehemu yao kwa sababu ya yale waliyo yachuma. Na Mwenyezi Mungu ni Mwepesi wa kuhisabu.
203_00	Na mtajeni Mwenyezi Mungu katika zile siku zinazo hisabiwa.
203_01	Lakini mwenye kufanya haraka katika siku mbili (akarejea) si dhambi juu yake; na mwenye kukawia pia si dhambi juu yake, kwa mwenye kumchamngu. Na mcheni Mwenyezi Mungu, na jueni kwamba nyinyi mtakusanywa kwake.
204_00	Na katika watu yupo yule ambaye maneno yake kwa maisha ya kidunia hukufurahisha; naye humshuhudisha Mwenyezi Mungu kwa yaliyomo moyoni mwake, na hali yeye ndiye mkubwa wa ukhasimu.
205_00	Na anapo tawala hufanya juhudi katika nchi kwa kufisidi humo na kuteketeza mimea na viumbe. Na Mwenyezi Mungu hapendi ufisadi.
206_00	Na akiambiwa: Mwogope Mwenyezi Mungu, hupandwa na mori wa kutenda madhambi. Basi huyo inamtosha Jahannam. Paovu mno hapo kwa mapumziko.
207_00	Na katika watu yupo ambaye huiuza nafsi yake kwa kutaka radhi za Mwenyezi Mungu; na Mwenyezi Mungu ni Mpole kwa waja wake.
208_00	Enyi mlio amini! Ingieni katika Uislamu kwa ukamilifu, wala msifuate nyayo za She'tani; hakika yeye kwenu ni adui aliye wazi.
209_00	Na ikiwa mkateleza baada ya kukufikieni hoja zilizo wazi, basi jueni kuwa Mwenyezi Mungu ni Mwenye nguvu na Mwenye hikima.
210_00	Je wanangoja mpaka Mwenyezi Mungu awajie katika vivuli vya mawingu pamoja na Malaika, na hukumu iwe imekwisha tolewa? Na kwa Mwenyezi Mungu ndio hurejeshwa mashauri yote.
211_00	Waulize Wana wa Israili: Tumewapa ishara ngapi zilizo wazi? Na anaye zibadili neema za Mwenyezi Mungu baada ya kumfikia basi hakika Mwenyezi Mungu ni mkali wa kuadhibu.
212_00	Walio kufuru wamepambiwa maisha ya duniani; na wanawafanyia maskhara walio amini.
212_01	Na wenye kuchamngu watakuwa juu yao Siku ya Kiyama. Na Mwenyezi Mungu humruzuku amtakaye bila ya hisabu.
213_00	Watu wote walikuwa ni umma mmoja.
213_01	Mwenyezi Mungu akapeleka Manabii wabashiri na waonyaji.
213_02	Na pamoja nao akateremsha Kitabu kwa Haki, ili kihukumu baina ya watu katika yale walio khitalifiana.
213_03	Na wala hawakukhitalifiana ila wale walio pewa Kitabu hicho baada ya kuwafikia hoja zilizo wazi, kwa sababu ya uhasidi baina yao. Ndipo Mwenyezi Mungu kwa idhini yake akawaongoa walio amini kwendea haki katika mambo waliyo khitalifiana. Na Mwenyezi Mungu humwongoa amtakaye kwenye Njia Iliyo Nyooka.
214_00	Mnadhani kuwa mtaingia Peponi, bila ya kukujieni kama yaliyo wajia wale walio pita kabla yenu?
214_01	Iliwapata shida na madhara na wakatikiswa hata Mtume na walio amini pamoja naye wakasema: Lini nusura ya Mwenyezi Mungu itakuja? Jueni kuwa nusura ya Mwenyezi Mungu ipo karibu.
215_00	Wanakuuliza watoe nini?
215_01	Sema: Kheri mnayo itoa ni kwa ajili ya wazazi na jamaa na mayatima na masikini na wasafiri. Na kheri yoyote mnayo ifanya Mwenyezi Mungu anaijua.
216_00	Mmeandikiwa kupigana vita, navyo vinachusha kwenu. Lakini huenda mkachukia kitu nacho ni kheri kwenu.
216_01	Na huenda mkapenda kitu nacho ni shari kwenu. Na Mwenyezi Mungu anajua na nyinyi hamjui.
217_00	Wanakuuliza juu ya kupigana vita katika mwezi mtakatifu.
217_01	Sema: Kupigana vita wakati huo ni dhambi kubwa.
217_02	Lakini kuzuilia watu wasende katika Njia ya Mwenyezi Mungu na kumkanusha Yeye, na kuzuilia watu wasende kwenye Msikiti Mtakatifu na kuwatoa watu wake humo, ni makubwa zaidi mbele ya Mwenyezi Mungu.
217_03	Na fitina ni mbaya zaidi kuliko kuuwa.
217_04	Wala hawatoacha kupigana nanyi mpaka wakutoeni katika Dini yenu kama wakiweza. Na yeyote katika nyinyi akiacha Dini yake akafa naye ni kafiri, basi hao ndio ambao a'mali zao zimeharibika duniani na Akhera. Na hao ndio watu wa Motoni; humo watadumu.
218_00	Hakika wale walio amini na wale walio hama na wakapigania Njia ya Mwenyezi Mungu, hao ndio wanao taraji rehema za Mwenyezi Mungu. Na Mwenyezi Mungu ni Mwenye kusamehe na Mwenye kurehemu.
219_00	Wanakuuliza juu ya ulevi na kamari. Sema: Katika hivyo zipo dhambi kubwa na manufaa kwa watu. Lakini dhambi zake ni kubwa zaidi kuliko manufaa yake.
219_01	Na wanakuuliza watoe nini? Sema: Kilicho chepesi. Namna hivi Mwenyezi Mungu anakubainishieni Aya zake mpate kufikiri--
220_00	--katika mambo ya dunia na mambo ya Akhera. Na wanakuuliza juu ya mayatima. Sema: Kuwatengenezea ndio kheri.
220_01	Na mkichanganyika nao basi ni ndugu zenu; na Mwenyezi Mungu anamjua mharibifu na mtengenezaji. Na Mwenyezi Mungu angeli penda angeli kutieni katika udhia. Hakika Mwenyezi Mungu ni Mwenye nguvu na Mwenye hikima.
221_00	Wala msiwaoe wanawake washirikina mpaka waamini. Na mjakazi Muumini ni bora kuliko mshirikina hata akikupendezeni.
221_01	Wala msiwaoze (binti zenu) wanaume washirikina mpaka waamini. Na mtumwa mwanamume Muumini ni bora kuliko mshirikina hata akikupendezeni.
221_02	Hao wanaitia kwenye Moto, na Mwenyezi Mungu anaitia kwenye Pepo na maghafira kwa idhini yake. Naye huzibainisha Aya zake kwa watu ili wapate kukumbuka.
222_00	Na wanakuuliza juu ya hedhi. Waambie, huo ni uchafu. Basi jitengeni na wanawake wakati wa hedhi.
222_01	Wala msiwaingilie mpaka wat'ahirike. Wakisha t'ahirika basi waendeeni alivyo kuamrisheni Mwenyezi Mungu. Hakika Mwenyezi Mungu huwapenda wanao tubu na huwapenda wanao jisafisha.
223_00	Wake zenu ni kama konde zenu. Basi ziendeeni konde zenu mpendavyo.
223_01	Lakini jitangulizieni kheri nafsi zenu, na mcheni Mwenyezi Mungu, na jueni kuwa hakika nyinyi mtakutana naye. Na wape bishara njema Waumini.
224_00	Wala msifanye jina la Mwenyezi Mungu katika viapo vyenu kuwa ni kisingizio cha kuacha kufanya wema na kuchamngu na kupatanisha baina ya watu. Na Mwenyezi Mungu ni Mwenye kusikia na Mwenye kujua.
225_00	Mwenyezi Mungu hakushikeni kwa viapo vyenu vya upuuzi. Bali anakushikeni kwa yanayo chuma nyoyo zenu. Na Mwenyezi Mungu ni Mwenye kusamehe na Mpole.
226_00	Kwa wanao apa kuwa watajitenga na wake zao, wangojee miezi mine. Wakirejea basi Mwenyezi Mungu hakika ni Mwenye kusamehe na Mwenye kurehemu.
227_00	Na wakiazimia kuwapa talaka basi, Mwenyezi Mungu ni Mwenye kusikia na Mjuzi.
228_00	Na wanawake walio achwa wangoje peke yao mpaka t'ahara (au hedhi) tatu zipite.
228_01	Wala haiwajuzii kuficha alicho umba Mwenyezi Mungu katika matumbo yao, ikiwa wanamuamini Mwenyezi Mungu na Siku ya Mwisho.
228_02	Na waume wao wana haki ya kuwarejesha katika muda huo, kama wakitaka kufanya sulhu.
228_03	Nao wanawake wanayo haki kwa Sharia kama ile haki iliyo juu yao. Na wanaume wana daraja zaidi kuliko wao. Na Mwenyezi Mungu ni Mwenye nguvu na Mwenye hikima.
229_00	T'alaka ni mara mbili.
229_01	Kisha ni kukaa kwa wema au kuachana kwa vizuri.
229_02	Wala si halali kwenu kuchukua chochote mlicho wapa wake zenu, ila ikiwa wote wawili wakiogopa ya kwamba hawataweza kushikamana na mipaka ya Mwenyezi Mungu.
229_03	Basi mkiogopa kuwa hawataweza kushikamana na mipaka ya Mwenyezi Mungu hapo itakuwa hapana lawama ikiwa mwanamke atajikomboa. Hii ndiyo mipaka ya Mwenyezi Mungu; basi msiikiuke. Na watakao ikiuka mipaka ya Mwenyezi Mungu, hao ndio madhaalimu.
230_00	Na kama amempa t'alaka (ya tatu) basi si halali kwake baada ya hayo mpaka aolewe na mume mwengine.
230_01	Na akiachwa basi hapana ubaya kwao kurejeana wakiona kuwa watashikamana na mipaka ya Mwenyezi Mungu. Na hii ni mipaka ya Mwenyezi Mungu anayo ibainisha kwa watu wanao jua.
231_00	Na mtakapo wapa wanawake t'alaka, nao wakafikia kumaliza eda yao, basi warejeeni kwa wema au waachilieni kwa wema.
231_01	Wala msiwarejee kwa kuwadhuru mkafanya uadui.
231_02	Na atakaye fanya hivyo, amejidhulumu nafsi yake.
231_03	Wala msizichukulie Aya za Mwenyezi Mungu kwa maskhara. Na kumbukeni neema ya Mwenyezi Mungu juu yenu, na aliyo kuteremshieni katika Kitabu na hikima anacho kuonyeni kwacho. Na mcheni Mwenyezi Mungu, na jueni kwamba hakika Mwenyezi Mungu ni Mjuzi wa kila kitu.
232_00	Na mtakapo wapa wanawake t'alaka nao wakamaliza eda yao, basi msiwazuie kuolewa na waume zao endapo baina yao wamepatana kwa wema. Hayo anaonywa nayo yule miongoni mwenu anaye muamini Mwenyezi Mungu na Siku ya Mwisho.
232_01	Hayo ni bora zaidi kwenu na safi kabisa. Na Mwenyezi Mungu anajua, lakini nyinyi hamjui.
233_00	Na wazazi wanawake wawanyonyeshe watoto wao miaka miwili kaamili kwa anaye taka kutimiza kunyonyesha.
233_01	Na juu ya baba yake chakula cha kina mama, na nguo zao kwa mujibu wa ada.
233_02	Wala halazimishwi mtu ila kwa kadiri ya uwezo wake.
233_03	Mama asitiwe taabuni kwa ajili ya mwanawe, wala baba kwa ajili ya mwanawe.
233_04	Na juu ya mrithi mfano wa hivyo. Na kama wote wawili wakitaka kumwachisha ziwa kwa kuridhiana na kushauriana, basi si vibaya kwao. Na mkitaka kuwapatia watoto wenu mama wa kuwanyonyesha basi hapana ubaya kwenu mkitoa mlicho ahidi kwa mujibu wa ada. Na mcheni Mwenyezi Mungu, na jueni kwamba Mwenyezi Mungu anayaona yote mnayo yatenda.
234_00	Na wale miongoni mwenu wanao kufa na wakaacha wake, hawa wake wangoje peke yao miezi mine na siku kumi.
234_01	Na wanapo timiza eda yao basi hapana ubaya kwao kwa wanao jifanyia kwa mujibu wa ada. Na Mwenyezi Mungu anazo khabari za yote mnayo yatenda.
235_00	Wala si vibaya kwenu katika kupeleka posa kwa ishara tu kwa wanawake waliomo edani au mkadhamiria katika nyoyo zenu.
235_01	Mwenyezi Mungu anajua kwamba nyinyi mtawakumbuka.
235_02	Lakini msiwaahidi kwa siri, ila mnene maneno mema.
235_03	Wala msiazimie kufunga ndoa mpaka eda ifike mwisho wake. Na jueni kwamba Mwenyezi Mungu anajua yaliyomo katika nafsi zenu. Basi tahadharini naye. Na jueni kwamba Mwenyezi Mungu ni Mwenye kusamehe na Mpole.
236_00	Hapana ubaya kwenu mkiwapa t'alaka wanawake ambao hamjawagusa au kuwabainishia mahari yao.
236_01	Lakini wapeni cha kuwaliwaza, mwenye wasaa kadiri awezavyo na mwenye dhiki kadiri awezavyo - maliwaza kwa mujibu wa dasturi kuwa ni haki juu ya watendao mema.
237_00	Na mkiwapa t'alaka kabla ya kuwagusa, na mmekwisha wawekea hayo mahari makhsusi, basi wapeni nusu ya mahari mlio agana, isipo kuwa ikiwa wanawake wenyewe wamesamehe, au mume ambaye kifungo cha ndoa ki mikononi mwake awe amesamehe.
237_01	Na kusameheana ndiko kulio karibu zaidi na uchamngu.
237_02	Wala msisahau fadhila baina yenu. Hakika Mwenyezi Mungu anayaona mnayo yatenda.
238_00	Zilindeni Sala, na khasa Sala ya katikati, na simameni kwa ajili ya Mwenyezi Mungu nanyi ni wenye kuqunuti (kunyenyekea).
239_00	Ikiwa mnakhofu (Salini) na hali mnakwenda kwa miguu au mmepanda. Na mtakapo kuwa katika amani, basi mkumbukeni Mwenyezi Mungu kama alivyo kufunzeni yale mliyo kuwa hamyajui.
240_00	Na wale miongoni mwenu wanao kufa na wakawacha wake, na wausie kwa ajili ya wake zao kupata matumizi kwa mwaka mmoja bila ya kuwatoa nyumba.
