001_00	Alif Laam Miim.
141_00	Na pia ili Mwenyezi Mungu awasafishe walio amini na awafutilie mbali makafiri.
142_00	Je! Mnadhani mtaingia Peponi na hali Mwenyezi Mungu hajawapambanua wale miongoni mwenu walio pigana Jihadi, na hajawapambanua walio subiri?
143_00	Na nyinyi mlikuwa mkitamani mauti kabla hamjakutana nayo. Basi sasa mmekwisha yaona na huku mnayatazama.
144_00	Na Muhammad hakuwa ila ni Mtume tu. Wamekwisha pita kabla yake Mitume.
144_01	Je, akifa au akauwawa ndiyo mtageuka mrudi nyuma? Na atakaye geuka akarudi nyuma huyo hatamdhuru kitu Mwenyezi Mungu. Na Mwenyezi Mungu atawalipa wanao mshukuru.
145_00	Na haiwezi nafsi kuwa ife ila kwa idhini ya Mwenyezi Mungu kama ilivyo andikwa ajali yake.
145_01	Na mwenye kutaka malipo ya duniani tutampa; na mwenye kutaka malipo ya Akhera tutampa. Na tutawalipa wenye kushukuru.
146_00	Na Manabii wangapi walipigana na pamoja nao Waumini wengi wenye ikhlasi!
146_01	Hawakufanya woga kwa yaliyo wasibu katika Njia ya Mwenyezi Mungu, wala hawakudhoofika wala hawakuwa wanyonge. Na Mwenyezi Mungu huwapenda wanao subiri.
147_00	Wala kauli yao haikuwa ila ni kusema: Mola wetu Mlezi! Tughufirie madhambi yetu na kupita kwetu kiasi katika mambo yetu, na isimamishe imara miguu yetu na utunusuru tuwashinde kaumu ya makafiri.
148_00	Basi Mwenyezi Mungu akawapa malipo ya duniani na bora ya malipo ya Akhera. Na Mwenyezi Mungu anawapenda wafanyao mema.
149_00	Enyi mlio amini! Ikiwa mtawat'ii walio kufuru watakurudisheni nyuma, na hapo mtageuka kuwa wenye kukhasiri.
150_00	Bali Mwenyezi Mungu ndiye Mlinzi wenu, naye ndiye bora wa wasaidizi.
151_00	Tutazitia khofu nyoyo za walio kufuru kwa vile walivyo mshirikisha Mwenyezi Mungu na washirika ambao hakuwateremshia hoja yoyote. Na makaazi yao ni Motoni; na maovu yaliyoje maskani ya wenye kudhulumu!
152_00	Na Mwenyezi Mungu alikutimilizieni miadi yake, vile mlivyo kuwa mnawauwa kwa idhini yake, mpaka mlipo legea na mkazozana juu ya amri, na mkaasi baada ya Yeye kukuonyesheni mliyo yapenda.
152_01	Wapo miongoni mwenu wanao taka dunia, na wapo miongoni mwenu wanao taka Akhera.
152_02	Kisha akakutengeni nao (maadui) ili akujaribuni. Naye sasa amekwisha kusameheni. Na Mwenyezi Mungu ni Mwenye fadhila juu ya Waumini.
153_00	Pale mlipo kuwa mkikimbia mbio wala hamumsikilizi yeyote, na Mtume anakuiteni, yuko nyuma yenu.
153_01	Mwenyezi Mungu akakupeni dhiki juu ya dhiki, ili msisikitike kwa yaliyo kukoseeni wala kwa yaliyo kusibuni. Na Mwenyezi Mungu anazo khabari za yote mnayo yatenda.
154_00	Kisha baada ya dhiki alikuteremshieni utulivu - usingizi ambao ulifunika kundi moja kati yenu.
154_01	Na kundi jengine nafsi zao ziliwashughulisha hata wakamdhania Mwenyezi Mungu dhana isiyo kuwa ya haki, dhana ya kijinga. Wakisema: Hivyo tuna lolote sisi katika jambo hili?
154_02	Sema: Mambo yote ni ya Mwenyezi Mungu. Wanaficha katika nafsi zao wasiyo kubainishia. Wanasema: Lau ingelikuwa tuna lolote katika jambo hili tusinge uliwa hapa.
154_03	Sema: Hata mngeli kuwa majumbani mwenu, basi wangeli toka walio andikiwa kufa, wakenda mahali pao pa kuangukia wafe.
154_04	(Haya ni hivyo) ili Mwenyezi Mungu ayajaribu yaliyomo vifuani mwenu, na asafishe yaliyomo nyoyoni mwenu. Na Mwenyezi Mungu anayajua yaliyomo vifuani.
155_00	Hakika wale walio rudi nyuma miongoni mwenu siku yalipo pambana majeshi mawili, Shet'ani ndiye aliye watelezesha kwa sababu ya baadhi ya makosa waliyo yafanya; na Mwenyezi Mungu amekwisha wasamehe.
155_01	Hakika Mwenyezi Mungu ni Mwenye kusamehe, Mpole.
156_00	Enyi mlio amini! Msiwe kama wale walio kufuru na wakawasema ndugu zao walipo safiri katika nchi au walipo kuwa vitani: Wangeli kuwa kwetu wasingeli kufa na wasingeli uwawa.
156_01	Ili Mwenyezi Mungu afanye hayo kuwa ni majuto katika nyoyo zao. Na Mwenyezi Mungu huhuisha na hufisha. Na Mwenyezi Mungu ni Mwenye kuyaona myatendayo.
157_00	Na pindi mkiuliwa katika Njia ya Mwenyezi Mungu, au mkifa, hakika maghfira na rehema zitokazo kwa Mwenyezi Mungu ni bora kuliko yote wanayo yakusanya.
158_00	Na mkifa au mkiuliwa ni kwa Mwenyezi Mungu ndio mtakusanywa.
159_00	Basi ni kwa sababu ya rehema itokayo kwa Mwenyezi Mungu ndio umekuwa laini kwao. Na lau ungeli kuwa mkali, mwenye moyo mgumu, bila ya shaka wangeli kukimbia.
159_01	Basi wasamehe, na waombee maghfira, na shauriana nao katika mambo. Na ukisha kata shauri basi mtegemee Mwenyezi Mungu. Hakika Mwenyezi Mungu huwapenda wanao mtegemea.
160_00	Akikunusuruni Mwenyezi Mungu hapana wa kukushindeni, na akikutupeni ni nani, basi, baada yake Yeye ataye kunusuruni? Na Waumini wamtegemee Mwenyezi Mungu tu.
161_00	Na haiwezekani kwa Nabii yeyote kufanya khiyana. Na atakaye fanya khiyana, atayaleta Siku ya Kiyama aliyo yafanyia khiyana, kisha kila mtu atalipwa kwa aliyo yachuma, kwa ukamilifu; wala hawatadhulumiwa.
162_00	Je! Aliye yafuata ya kumridhisha Mwenyezi Mungi ni kama yule aliye stahiki ghadhabu ya Mwenyezi Mungu, na makaazi yake yakawa Jahannamu? Napo ni mahala pabaya pa kurejea.
163_00	Hao wana vyeo mbali mbali kwa Mwenyezi Mungu. Na Mwenyezi Mungu ni Mwenye kuyaona yote wayatendayo.
164_00	Hakika Mwenyezi Mungu amewafanyia wema mkubwa Waumini vile alivyo waletea Mtume aliye miongoni mwao wenyewe, anaye wasomea Aya
164_01	zake, na anawatakasa, na anawafunza Kitabu na hikima, ijapo kuwa kabla ya hapo walikuwa katika upotovu ulio wazi.
165_00	Nyinyi - ulipo kusibuni msiba ambao nyinyi mmekwisha watia mara mbili mfano wa huo - mnasema: Umetoka wapi huu? Sema: Huo umetoka kwenu wenyewe. Hakika Mwenyezi Mungu ni Mwenye uweza juu ya kila kitu.
166_00	Na yaliyo kusibuni siku yalipo pambana majeshi mawili yalikuwa kwa idhini ya Mwenyezi Mungu, na ili awajue Waumini.
167_00	Na ili awapambanue walio kuwa wanaafiki, wakaambiwa: Njooni mpigane katika Njia ya Mwenyezi Mungu au lindeni. Wakasema: Tungeli jua kuna kupigana bila ya shaka tungeli kufuateni.
167_01	Wao siku ile walikuwa karibu na ukafiri kuliko Imani. Wanasema kwa midomo yao yasiyo kuwamo nyoyoni mwao. Na Mwenyezi Mungu anajua kabisa wanayo yaficha.
168_00	Hao ndio walio waambia ndugu zao na wao wenyewe wakakaa kitako: Lau wengeli tut'ii wasingeli uliwa. Sema: Ziondoleeni nafsi zenu mauti kama mnasema kweli.
169_00	Wala kabisa usiwadhanie walio uliwa katika Njia ya Mwenyezi Mungu kuwa ni maiti. Bali hao ni wahai, wanaruzukiwa kwa Mola wao Mlezi.
170_00	Wanafurahia aliyo wapa Mwenyezi Mungu kwa fadhila yake, na wanawashangilia wale ambao bado hawajajiunga nao, walio nyuma yao, ya kwamba haitakuwa khofu juu yao wala hawatahuzunika.
171_00	Wanashangilia neema na fadhila za Mwenyezi Mungu, na ya kwamba Mwenyezi Mungu hapotezi ujira wa Waumini,
172_00	Walio mwitikia Mwenyezi Mungu na Mtume baada ya kwisha patwa na majaraha - kwa walio fanya wema miongoni mwao na wakamchamngu utakuwa ujira mkubwa -
173_00	Walio ambiwa na watu: Kuna watu wamekukusanyikieni, waogopeni! Hayo yakawazidishia Imani, wakasema: Mwenyezi Mungu anatutosha, naye ni mbora wa kutegemewa.
174_00	Basi wakarudi na neema na fadhila za Mwenyezi Mungu. Hapana baya lilio wagusa, na wakafuata yanayo mridhi Mwenyezi Mungu. Na Mwenyezi Mungu ni Mwenye fadhila kuu.
175_00	Hakika huyo ni Shet'ani anawatia khofu marafiki zake, basi msiwaogope, bali niogopeni Mimi mkiwa nyinyi ni Waumini.
176_00	Wala wasikuhuzunishe wale wanao kimbilia ukafirini.
176_01	Hakika hao hawamdhuru kitu Mwenyezi Mungu. Mwenyezi Mungu anataka asiwawekee sehemu yoyote katika Akhera, na yao wao adhabu kubwa.
177_00	Hakika wale walio nunua ukafiri kwa Imani hawatamdhuru kitu Mwenyezi Mungu, na yao wao ni adhabu chungu.
178_00	Wala wasidhani wale wanao kufuru kwamba huu muhula tunao wapa ni kheri yao. Hakika tunawapa muhula wazidi madhambi. Na yao wao ni adhabu ya kuwadhalilisha.
179_00	Haiwi kwa Mwenyezi Mungu kuwaacha Waumini katika hali mliyo nayo mpaka apambanue wabaya na wema.
179_01	Wala haiwi kwa Mwenyezi Mungu kukujuulisheni mambo ya ghaibu. Lakini Mwenyezi Mungu humteua katika Mitume wake amtakaye. Basi muaminini Mwenyezi Mungu na Mitume yake.
179_02	Na mkiamini na mkamchamngu mtakuwa na ujira mkubwa.
180_00	Wala wasidhani wale ambao wanafanya ubakhili katika aliyo wapa Mwenyezi Mungu katika fadhila zake kuwa ni kheri yao. Bali hiyo ni shari kwao.
180_01	Watafungwa kongwa za yale waliyo yafanyia ubakhili Siku ya Kiyama. Na urithi wa mbingu na ardhi ni wa Mwenyezi Mungu. Na Mwenyezi Mungu anazo khabari za yote myatendayo.
181_00	Mwenyezi Mungu amekwisha sikia kauli ya walio sema: Mwenyezi Mungu ni masikini, na sisi ni matajiri.
181_01	Tumeyaandika waliyo yasema, na pia kuwauwa kwao Manabii bila ya haki, na tutawaambia Siku ya Kiyama: Onjeni adhabu ya kuungua.
182_00	Haya ni kwa sababu ya iliyo tanguliza mikono yenu, na kwamba Mwenyezi Mungu si mwenye kuwadhulumu waja,
183_00	Walio sema: Mwenyezi Mungu ametuahidi tusimuamini Mtume yeyote mpaka atuletee kafara inayo teketezwa na moto.
183_01	Waambie: Walikujieni Mitume kabla yangu kwa hoja zilizo wazi na kwa hayo mnayo sema, basi kwa nini mkawauwa ikiwa mlikuwa wakweli?
184_00	Na wakikukanusha basi walikanushwa Mitume wengine kabla yako walio kuja na hoja waziwazi na Vitabu vyenye hikima, na Kitabu chenye nuru.
185_00	Kila nafsi itaonja mauti. Na bila ya shaka mtapewa ujira wenu kaamili Siku ya Kiyama.
185_01	Na atakaye epushwa na Moto na akatiwa Peponi basi huyo amefuzu. Na maisha ya dunia si kitu ila ni starehe ya udanganyifu.
186_00	Hapana shaka yoyote mtapata misukosuko katika mali zenu na nafsi zenu, na bila ya shaka yoyote mtasikia udhia mwingi kutokana na walio pewa Kitabu kabla yenu na wale walio shiriki.
186_01	Na ikiwa mtasubiri na mkamchamngu basi hakika hayo ni katika mambo ya kuazimia.
187_00	Na pale Mwenyezi Mungu alipo fungamana na walio pewa Kitabu kuwa: Lazima mtawabainishia watu, wala hamtokificha, walikitupa nyuma ya migongo yao, na wakanunua kwacho thamani duni.
187_01	Basi ni kiovu hicho walicho nunua.
188_00	Usiwadhanie kabisa wale wanao furahia waliyo yafanya, na wakapenda kusifiwa kwa wasiyo yatenda, usiwadhanie kuwa watasalimika na adhabu.
188_01	Yao wao ni adhabu chungu.
189_00	Na Ufalme wa mbingu na ardhi ni wa Mwenyezi Mungu; na Mwenyezi Mungu ni Mwenye uweza juu ya kila kitu.
190_00	Hakika katika kuumbwa mbingu na ardhi na kukhitalifiana usiku na mchana ziko Ishara kwa wenye akili,
191_00	Ambao humkumbuka Mwenyezi Mungu wakiwa wima na wakikaa kitako na wakilala, na hufikiri kuumbwa mbingu na ardhi, wakisema: Mola wetu Mlezi! Hukuviumba hivi bure.
191_01	Subhanaka, Umetakasika! Basi tukinge na adhabu ya Moto.
192_00	Mola wetu Mlezi! Hakika unaye mtia Motoni umemhizi; na walio dhulumu hawana wasaidizi.
193_00	Mola wetu Mlezi! Hakika sisi tumemsikia mwenye kuita akiitia Imani kwamba: Muaminini Mola wenu Mlezi; nasi tukaamini.
193_01	Basi tusamehe madhambi yetu, na utufutie makosa yetu, na utufishe pamoja na watu wema.
194_00	Mola wetu Mlezi! Na utupe uliyo tuahidi kwa Mitume wako, wala usituhizi Siku ya Kiyama. Hakika Wewe huvunji miadi.
195_00	Mola Mlezi wao, akayakubali maombi yao akajibu: Hakika sipotezi kazi ya mfanya kazi miongoni mwenu, akiwa mwanamume au mwanamke, kwani ni nyinyi kwa nyinyi.
195_01	Basi walio hama, na walio tolewa makwao, na wakateswa katika Njia yangu, na wakapigana, na wakauliwa, kwa yakini Mimi nitawafutia makosa yao,
195_02	na kwa yakini nitawaingiza katika Mabustani yanayo pita mito kati yake. Hayo ndiyo malipo yanayo toka kwa Mwenyezi Mungu. Na Mwenyezi Mungu kwake yapo malipo mema kabisa.
196_00	Kabisa kusikudanganye kubakia kutangatanga kwa walio kufuru katika nchi.
197_00	Hiyo ni starehe ndogo. Kisha makaazi yao yatakuwa Jahannamu. Na ni mahali pabaya mno pa kupumzikia.
198_00	Lakini walio mcha Mola wao Mlezi watapata Mabustani yanayo pita mito kati yake. Watadumu humo.
198_01	Hayo ni makaribisho yao yatokayo kwa Mwenyezi Mungu. Na vilioko kwa Mwenyezi Mungu ni bora kwa watu wema.
199_00	Hakika miongoni mwa Watu wa Kitabu wapo wanao muamini Mwenyezi Mungu na yaliyo teremshwa kwenu na yaliyo teremshwa kwao, wakimnyenyekea Mwenyezi Mungu. Hawabadili Aya za Mwenyezi Mungu kwa thamani duni.
199_01	Hao wana ujira wao kwa Mola wao Mlezi. Hakika Mwenyezi Mungu ni Mwepesi wa kuhisabu.
200_00	Enyi mlio amini! Subirini, na shindaneni kusubiri, na kuweni macho, na mcheni Mwenyezi Mungu, ili mpate kufanikiwa.
