001_00	Enyi mlio amini! Timizeni ahadi. Mmehalalishiwa wanyama wa mifugo, ila wale mnao tajiwa.
104_00	Na wanapo ambiwa: Njooni kwenye yale aliyo yateremsha Mwenyezi Mungu, na kwa Mtume, husema: Yanatutosha tuliyo wakuta nayo baba zetu.
104_01	Je, hata ikiwa baba zao walikuwa hawajui kitu wala hawakuongoka?
105_00	Enyi mlio amini! Kilicho lazima juu yenu ni nafsi zenu.
105_01	Hawakudhuruni walio potoka ikiwa nyinyi mmeongoka. Ni kwa Mwenyezi Mungu ndio marudio yenu nyote; basi atakwambieni yale mliyo kuwa mkiyatenda.
106_00	Enyi mlio amini!
106_01	Yanapo mfikia mauti mmoja wenu na akataka kutoa wasia, basi wawepo mashahidi wawili miongoni mwenu ambao ni waadilifu.
106_02	Na mnapo kuwa safarini, na msiba wa mauti ukakusibuni, basi washuhudie wengineo wawili wasio kuwa katika nyinyi.
106_03	Mtawazuia wawili hao baada ya Sala na waape kwa Mwenyezi Mungu, mkitilia shaka, wakisema: Hatutopokea thamani yoyote kwa haya hata kwa ajili ya jamaa; na wala hatutaficha ushahidi wa Mwenyezi Mungu; hakika hapo tutakuwa miongoni mwa wenye dhambi.
107_00	Ikigundulikana kuwa wawili hao wamestahiki dhambi, basi wawili wengineo kutokana na warithi wenye kudai haki washike makamo ya wa mwanzo.
107_01	Nao waape kwa Mwenyezi Mungu wakisema: Hakika ushahidi wetu ni wa haki zaidi kuliko ushahidi wa wale. Na sisi hatujafanya dhambi; hakika hapo tutakuwa miongoni mwa walio dhulumu.
108_00	Hivi inaelekea zaidi ya kwamba watatoa ushahidi ulio sawa au wataogopa visije vikaletwa viapo vingine baada ya viapo vyao.
108_01	Na mcheni Mwenyezi Mungu na msikie. Na hakika Mwenyezi Mungu hawaongoi wapotofu.
109_00	Ile siku ambayo Mwenyezi Mungu atapo wakusanya Mitume awaambie: Mlijibiwa nini? Watasema: Hatuna ujuzi; hakika Wewe ndiye Mjuzi Mkubwa wa yote yaliyo fichikana.
110_00	Na pale Mwenyezi Mungu atapo sema: Ewe Isa bin Maryamu! Kumbuka neema yangu juu yako, na juu ya mama yako, nilipo kutia
110_01	nguvu kwa Roho Takatifu, ukazungumza na watu katika utoto na utuuzimani. Na nilivyo kufunza kuandika na hikima na Taur
110_02	ati na Injili. Na ulipo tengeneza udongo sura ya ndege, kwa idhini yangu, kisha ukapuliza ikawa ndege kwa idhini yangu;
110_03	na ulipo waponesha vipofu na wakoma kwa idhini yangu; na ulipo wafufua wafu kwa idhini yangu; na nilipo kukinga na Wan
110_04	a wa Israili ulipo wajia na hoja zilizo wazi, na wakasema walio kufuru miongoni mwao: Haya si lolote ila ni uchawi mtupu!
111_00	Na nilipo wafunulia Wanafunzi kwamba waniamini Mimi na Mtume wangu, wakasema: Tumeamini na shuhudia kuwa sisi ni Waislamu.
112_00	Wanafunzi walipo sema: Ewe Isa bin Maryamu! Je, Mola wako Mlezi anaweza kututeremshia chakula kutoka mbinguni?
112_01	Akasema: Mcheni Mwenyezi Mungu ikiwa nyinyi ni Waumini.
113_00	Wakasema: Tunataka kukila chakula hicho, na nyoyo zetu zitue, na tujue kwamba umetuambia kweli, na tuwe miongoni mwa wanao shuhudia.
114_00	Akasema Isa bin Maryamu: Ewe Mwenyezi Mungu, Mola Mlezi wetu! Tuteremshia chakula kutoka mbinguni ili kiwe Sikukuu kwa ajili ya wa mwanzo wetu na wa mwisho wetu, na kiwe ni Ishara itokayo kwako.
114_01	Basi turuzuku, kwani Wewe ndiye mbora wa wanao ruzuku.
115_00	Mwenyezi Mungu akasema: Hakika Mimi nitakuteremshieni hicho. Lakini yeyote katika nyinyi atakaye kanya baadae, basi hakika Mimi nitampa adhabu nisiyopata kumpa yeyote katika walimwengu.
116_00	Na pale Mwenyezi Mungu atakapo sema: Ewe Isa bin Maryamu! Ati wewe uliwaambia watu: Nifanyeni mimi na mama yangu kuwa ni miungu badala ya Mwenyezi Mungu?
116_01	(Na Isa) atasema: Subhanaka, Wewe umetakasika! Hainifalii mimi kusema ambayo si haki yangu. Ikiwa nilisema basi bila ya shaka umekwisha yajua. Wewe unayajua yaliyo ndani ya nafsi yangu, lakini mimi siyajui yaliyo katika nafsi yako.
116_02	Hakika Wewe ndiye Mjuzi mkubwa wa yaliyo fichikana.
117_00	Sikuwaambia lolote ila uliyo niamrisha, nayo ni: Muabuduni Mwenyezi Mungu, Mola wangu Mlezi na Mola wenu Mlezi. Na mimi nilikuwa shahidi juu yao nilipo kuwa nao.
117_01	Na ulipo nifisha ukawa Wewe ndiye Muangalizi juu yao. Na Wewe ni shahidi juu ya kila kitu.
118_00	Ukiwaadhibu basi hao ni waja wako. Na ukiwasamehe basi Wewe ndiye Mwenye nguvu na Mwenye hikima.
119_00	Mwenyezi Mungu atasema: Hii ndiyo Siku ambayo wasemao kweli utawafaa ukweli wao. Wao watapata Bustani zipitazo mito kati yake.
119_01	Humo watadumu milele. Mwenyezi Mungu amewawia radhi, nao wawe radhi naye. Huku ndiko kufuzu kukubwa.
120_00	Mwenyezi Mungu ndiye Mwenye ufalme wa mbingu na ardhi na vilivyomo. Naye ni Muweza wa kila kitu.
