001_00	Алиф. Лом. Ро. Ушбулар очиқ-ойдин китобнинг оятларидир.
080_01	Катталари: «Отангиз сиздан Аллоҳ номи билан васийқа олганини ва бундан олдин Юсуф ҳақида қилган айбингизни билмайсизларми?!
080_02	Мен токи отам менга изн бермагунча ёки Аллоҳ ҳукм чиқармагунча бу ердан қимирламасман. У ҳукм чиқарувчиларнинг энг яхшисидир.
081_00	Отангиз олдига қайтинглар, бас, унга: «Эй отамиз, ҳақиқатда ўғлинг ўғрилик қилди. Биз фақат ўзимиз билган нарсага гувоҳлик бердик, холос. Биз ғайбни билувчи эмас эдик.
082_00	Биз бўлган шаҳардан сўра ва у ерда биз учраган карвондан сўра, биз, албатта, ростгўйларданмиз, денглар», деди. (Оға-иниларнинг каттаси бўлиб ўтган воқеадан кейин масъулиятни ҳис этди. Отаси олдига қайтиб боришга журъат қила олмади. Отам айбимни кечиб, ҳузурига боришимга рухсат бермагунча ёки Аллоҳ таолонинг Ўзи бу ҳақда бирор ҳукм чиқармагунча Мисрдан ҳеч қаерга қимирламайман. Отамга ваъда берган эдик. У рози бўлиб, ўзи рухсат берса ё Аллоҳ бир ҳукм чиқарса, юртимизга қайтишим мумкин. Сизлар, эй укаларим, юртимизга қайтиб боринглар ва отамизга бўлиб ўтган воқеани айтиб беринглар, деб оятда келган гапларни ўргатди.)
083_00	У: «Йўқ, сизга ҳавои нафсингиз бир ишни яхши кўрсатмиш. Бас, чиройли сабр (қиламан). Шоядки Аллоҳ уларнинг ҳаммасини ҳузуримга жамлаб келтирса. Албатта, Унинг Ўзи билгувчи ва ҳикматли зотдир», деди. (Яъқуб (а. с.) худди шу гапни Юсуфни (а. с.) йўқотган кунларида ҳам айтган эдилар. Энди йиллар ўтиб, кичик ўғлини йўқотган куни ҳам шу гапни такрорладилар, кетидан Аллоҳ таолонинг марҳаматидан умид узмаганларини билдириб қўйдилар.)
084_00	Ва улардан юз ўгирди ҳамда: «Оҳ, Юсуф!!!» деб кўзларига оқ тушди. Бас, у дардини ютувчидир.
085_00	Улар: «Аллоҳга қасамки, токи мадордан кетгунингча ёки ҳалок бўлувчилардан бўлгунингча, Юсуфни зикр қилаверасан», дедилар. (Яъни, йўқ бўлиб кетган Юсуфни эслайвериб, ҳолдан тоясан ёки бир йўла ҳалок бўласан, дейишди.)
086_00	У: «Албатта, мен дарду ҳасратимдан фақат Аллоҳнинг Ўзига шикоят қилмоқдаман ва Аллоҳдан сиз билмаган нарсани биламан.
087_00	Эй ўғилларим, боринглар, Юсуфни ва унинг укасини яхшилаб изланглар, Аллоҳнинг раҳматидан ноумид бўлманглар. Ҳақиқатда Аллоҳнинг раҳматидан фақат кофир қавмларгина ноумид бўлурлар», деди.
088_00	Унинг ҳузурига кирганларида: «Эй Азиз, бизни ва аҳлимизни зарар тутди ва арзимаган сармоя келтирдик. Бас, бизга ўлчовни тўлиқ қилиб бер ва садақа ҳам бер. Аллоҳ, албатта, садақа қилувчиларни мукофотлайдир», дедилар. (Гапларидан кўриниб турибдики, уларнинг аҳволи оғир.
088_01	Аввалгидек бор нарсаларини озиқ-овқатга алмаштиришга имконлари ҳам қолмаган. Олиб келган моллари жуда арзимас. Садақага муҳтожлар. Аввалги гердайишларидан асар ҳам йўқ.)
089_00	У: «Жоҳиллик пайтингизда Юсуфга ва унинг инисига нима қилганларингизни биласизларми?» деди. (Шунда акаларининг кўз-қулоқлари ялт этиб очилди. Кўзлари Азиз сиймосида Юсуфни кўрди, қулоқлари унинг овозини эшитди.)
090_00	Улар: «Э-э, ҳали сенн сенн Юсуфмисан?!» дедилар.
090_01	У: «Мен Юсуфман, мана бу иним. Аллоҳ бизга марҳамат кўрсатди. Ҳақиқатда ким тақво ва сабр қилса, Аллоҳ, албатта, гўзал иш қилувчиларнинг ажрини зое қилмагай», деди.
091_00	Улар: «Аллоҳга қасамки, ҳақиқатда Аллоҳ сени биздан устун қилди. Биз эса, хатокорлардан бўлдик», дедилар. (Оғалар бор ҳақиқатни эътироф қилдилар, хато қилганларини ҳам тан олдилар.)
092_00	У: «Бугунги кунда сизларни айблаш йўқ. Сизларни Аллоҳ мағфират қилгай. У раҳм қилгувчиларнинг раҳмлироғидир. (Ўтган ишга саловот. Бугун сизни биров айбламоқчи эмас, уялтирмоқчи ҳам эмас. Гуноҳларни кечирувчи Аллоҳнинг ўзи.)
093_00	Менинг мана бу кўйлагимни олиб бориб, отамнинг юзига ташлангиз, кўзи очилур. Сўнгра аҳлингиз ила жам бўлиб ҳузуримга келинглар», деди. (Ажабланишга ҳеч ҳожат йўқ. Аввало, Яъқуб (а. с.) ҳам, Юсуф (а. с.) ҳам Аллоҳнинг Пайғамбарлари, ораларида мўъжиза бўлиб, бир кўйлак сабабли дардга шифо етиши ғаройиб иш эмас.)
094_00	Карвон йўлга чиққан вақтда оталари: «Мени ақлдан озган деманглар-у, албатта, мен Юсуфнинг ҳидини сезмоқдаман», деди. (Яъни, Юсуфнинг кўйлагини олган карвон йўлга чиқиб, Мисрдан жўнаб кетган вақтда Яъқуб (а. с.) ҳузуридагиларга юқоридаги гапларни айтдилар. Юсуфнинг ҳиди Яъқубга (а. с.) қандай етиб борганини Аллоҳнинг ўзи билади. Лекин у кишининг гапларига олдиларида турганлар ишонмадилар.)
095_00	Улар: «Аллоҳга қасамки, сен эски адашувингдасан», дедилар. (Яъни, йўқ бўлиб кетган Юсуфдан ҳали ҳам умидворсан-а, дедилар. Лекин иш бошқача бўлиб чиқди.)
096_00	Хушхабарчи келган чоғида у(кўйлак) ни унинг юзига ташлаганида, яна кўрадиган бўлди. У: «Сизларга мен, Аллоҳдан сизлар билмайдиган нарсани биламан, демаганмидим?!» деди.
097_00	Улар: «Эй отамиз, гуноҳларимиз учун истиғфор айт. Албатта, биз хатокорлардан бўлган эканмиз», дедилар.
098_00	У: «Сизлар учун Роббимга сўнгра истиғфор айтаман. Албатта, Унинг Ўзи мағфират қилгувчи ва раҳмли Зотдир», деди. (Шундан сўнг ҳаммалари Яъқуб (а. с.) бошчиликларида юртлари Канъондан Мисрга қараб йўлга тушдилар. Қуръони Карим уларнинг сафарлари ҳақида ҳеч нарса демайди. Балки сўзни улар Юсуф (а. с.) ҳузурларига киришлари саҳнасидан улаб кетади.)
099_00	Юсуф ҳузурига кирган чоғларида у отаси ва онасини ўзига яқинлаштирди ва: «Аллоҳнинг хоҳиши ила Мисрга омонликда киринглар!» деди.
100_00	Ва ота-онасини тахтга кўтарди. Улар унга сажда қилиб йиқилдилар. У: «Эй отажон, бу аввал кўрган тушимнинг таъбиридир, Роббим уни ҳаққа айлантирди. Дарҳақиқат, У менга яхшилик қилди.
100_01	Мени қамоқдан чиқарди. Шайтон мен билан акаларимнинг орасини бузгандан сўнг, сизларни биёбондан олиб келди. Албатта, Роббим нимани хоҳласа, ўшанга латифдир. Албатта, Унинг Ўзи билгувчи ва ҳикматли зотдир.
100_02	(Бу ояти каримада узоқ айрилиқдан сўнг дийдор топишиб, сўрашиб бўлганларидан кейинги ҳолатларнинг тасвири келтирилмоқда. Бу ҳол қандай бўлганини Аллоҳнинг Ўзи билади. Аммо қадимги тафсирчиларимиз бу ҳақда турли фикрлар айтганлар. Баъзилари, салом маъносида бошларини бир оз эгдилар, дейдилар. Бошқалари, берилган бу неъмат учун Аллоҳга шукр саждаси қилдилар, дейдилар. Яна бирлари, ўша вақтда катталарнинг оёғига йиқилиб сажда қилиш бор эди, лекин Ислом шариатида бекор қилинган, деган фикрни айтганлар.)
101_00	Эй Роббим, ҳақиқатда менга мулк бердинг ва менга тушларнинг таъбирини ўргатдинг. Эй осмонлару ерни яратган зот! Сен дунёю охиратда менинг валиййимсан.
101_01	Мени мусулмон ҳолимда вафот этдиргин ва солиҳларга қўшгин», деди. (Ушбу оятда Юсуф (а. с.) Аллоҳ таолога неъматларини бергани учун шукрлар айтиш билан бирга охиратнинг неъматини ҳам беришини сўрамоқдалар.)
102_00	Бу ғайб хабарлардан бўлиб, уни сенга ваҳий қилмоқдамиз. Улар макр қилиб, ишлари ҳақида гап бириктирганларида олдиларида бўлмаган эдинг.
103_00	Одамларнинг кўплари, гарчи сен жуда қизиқсанг ҳам, мўмин эмаслар. (Пайғамбаримиз (с. а. в.) қавмларига яхшиликни раво кўрганларидан, иймонга келишларини жуда қаттиқ истар эдилар. Шунга ҳаракат ҳам қилар эдилар. Аммо Аллоҳ таоло бу уриниш уларнинг иймонга келишларига сабаб бўла олмаслигини билдирмоқда.)
104_00	Сен улардан бунинг учун ажр ҳам сўрамайсан. У фақат оламлар учун эслатма, холос.
105_00	Улар осмонлару ердаги қанчадан-қанча оят-белгилар қаршисидан юз ўгирган ҳолларида ўтарлар. (Яъни, уларга эътибор қилмайдилар. Улардан ибратланиб, ваъз-насиҳат олиб, иймонга келмайдилар. Инсон яшаб турган борлиқнинг ҳар бир қаричида Аллоҳнинг борлигига, бирлигига, қудратига, тадбирига, билувчилигига ва бошқа камоли сифатларига далолат қилувчи оят-белгилар, далил-ҳужжатлар мавжуд. Лекин одамлар ўша ҳужжатларга, оят-белгиларга эътибор билан қарамайдилар. Шунинг учун ҳам иймонга келмайдилар.)
106_00	Кўплари эса, Аллоҳга мушрик бўлган ҳолларидагина иймон келтирадилар, холос. (Яъни, иймон келтирсалар ҳам, Унга ширк келтирган ҳолларида иймон келтирадилар. Холис тавҳид ила иймон келтирмайдилар. Чунки холис тавҳид масаласи нозик масала, ширкнинг турлари эса, жуда ҳам кўп.)
107_00	Улар ўзларига Аллоҳдан қамраб олувчи азоб келишидан ёки сезмай турганларида қиёмат ногаҳон келиб қолишидан омондамилар?!
108_00	Сен: «Бу–менинг йўлимдир. Мен Аллоҳга билиб–ишонч ила чақираман ва менга эргашганлар ҳам. Аллоҳ покдир. Ва мен мушриклардан эмасман», деб айт. (Яъни, биз йўлимизнинг тўғри эканини аниқ билиб, ишониб туриб чақирамиз. Бизга Аллоҳ таоло ҳидоят ва нур бергандир. Биз бу йўлдан ишонч ва билим ила юрамиз, унга бошқаларни ҳам чақирамиз.)
109_00	Биз сендан илгари ҳам фақат шаҳар аҳлидан эр кишиларга ваҳий юбориб, Пайғамбар этганмиз. Ер юзида юриб, ўзларидан олдингиларнинг оқибати нима бўлганига назар солмайдиларми? Албатта, охират диёри тақво қиладиганлар учун яхшироқдир.
109_01	Ақл юритмайдиларми?! (Ушбу оятда Аллоҳ таоло Пайғамбаримиз Муҳаммадга (с. а. в.) тасалли бериб, кофир ва мушрикларнинг у кишини инкор этишларига эътибор қилмасликка, аввалги Пайғамбарлар ҳам у зотга ўхшаган инсонлар бўлганига ишора этмоқда.)
110_00	Ҳаттоки Пайғамбарлар ноумид бўлиб, ўзларини ёлғончига чиқарилганлар, деб гумон қилиб қолганларида, уларга Бизнинг нусратимиз келадир. Бас, Биз хоҳлаганларга нажот бериладир. Жиноятчи қавмлардан Бизнинг азобимиз қайтарилмас. (Ҳа, Аллоҳнинг нусрати охирги лаҳзада, ҳеч умид қолмаганда келади. Гулга етиш учун тикан заҳрини тотиб кўриш керак. Пайғамбаримиз (с. а. в.): «Жаннат тиканлар билан ўралгандир», дейдилар.)
111_00	Батаҳқиқ, уларнинг қиссаларида ақл эгалари учун ибрат бор эди. Бу (Қуръон) тўқима гап эмас, лекин ўзидан олдин келганни тасдиқлаш ва ҳар бир нарсани батафсил қилиш, ҳидоят ҳамда иймон келтирганлар учун раҳматдир.
111_01	(Ҳа, ўтган умматларнинг, жумладан Юсуф (а. с.) ва замондошларининг қиссаларида ҳам ақл ишлатган ҳар бир киши учун ибрат бор.)
