001_00	Алиф. Лом. Ро. Булар ҳикматли китобнинг оятларидир.
074_00	Сўнгра ундан кейин Пайғамбарларни қавмларига юбордик. Бас, улар очиқ-ойдин ҳужжатлар ила келдилар. Аммо у(қавм)лар олдин ёлғонга чиқарган нарсаларига иймон келтирувчи бўлмадилар. Тажовузкорларнинг қалбига шундай қилиб муҳр босамиз.
074_01	(Эй сиз инсонлар, ушбу оятлар билан танишаётганлар! Сизлар ҳам ўша қавмларга ўхшаб аввал-бошдан Пайғамбарни, Қуръонни ёлғонга чиқариб, тажовузкорлик этманг. Агар шундай қиладиган бўлсангиз, ўшаларга ўхшаб қалбингизга муҳр босилиши, оқибатда ҳалокатга учрашингиз турган гап. Мана, қуйида қиссаси келадиган қавм ҳам худди шундай тақдирга дуч келган эди.)
075_00	Сўнгра улардан кейин Мусо ва Ҳорунни Фиръавн ва унинг қавмига Ўз оят-мўъжизаларимиз ила юбордик. Бас, улар кибру ҳаво қилдилар ва жиноятчи қавм бўлдилар.
076_00	Бизнинг ҳузуримиздан уларга ҳақ келган пайтда: «Бу, албатта, очиқ-ойдин сеҳрдир», дедилар.
077_00	Мусо: «Сизга ҳақ келганда (шундай) дейсизларми?! Шу сеҳрми?! Сеҳргарлар нажот топмаслар», деди.
078_00	Улар: «Сен бизни оталаримиз тутиб келаётганида топган нарсамиздан буриш учун ва икковингизга ер юзида катталик бўлиши учун келдингми? Биз икковингизга иймон келтирувчилардан эмасмиз», дедилар. (Улар илм-маърифат асосида эмас, қалбларидаги аввалдан ўрнашиб қолган дард туфайли Аллоҳ томонидан келган динни инкор қилаётган эканлар. Бу фақат Фиръавн ва унинг қавмигагина эмас, балки Аллоҳнинг динига юришни хоҳламаган ҳар бир тоғут ва унинг қавмига хос хусусиятдир.)
079_00	Фиръавн: «Менга барча билимдон сеҳргарни келтиринглар», деди.
080_00	Сеҳргарлар келганида, Мусо уларга: «Сизлар ташламоқчи бўлган нарсангизни ташлангиз», деди.
081_00	Улар ташлаганларида, Мусо: «Сиз келтирган нарса сеҳрдир. Албатта, Аллоҳ уни ботил қилур. Зеро, Аллоҳ бузғунчиларнинг ишини ўнгламас.
082_00	Ва Аллоҳ Ўз калимаси ила, гарчи жиноятчилар ёқтирмаса ҳам, ҳақни рўёбга чиқарур», деди. (Kиссанинг тафсилоти бошқа сураларда келган. Бу сурада эса, сиёқига мос равишда баъзи ҳолатлар баён қилинмоқда. Чунки Аллоҳ томонидан берилган мўъжизага соҳиб бўлган Пайғамбар сеҳрни осонликча билиши ажабланарлик эмас. У киши қалби Аллоҳга иймон ила тўла, ўз ишининг ҳақлигига, бошқаларнинг иши ботиллигига ишончи комил зотдирлар. Дарҳақиқат, шундай бўлди ҳам. Аллоҳнинг «Бўл!» деган калимаси ила ҳар нарса бўлиши турган гап. Сеҳргарларнинг сеҳри ботил бўлди. Аллоҳ ҳақни рўёбга чиқарди.)
083_00	Мусога ўз қавмидан баъзи зурриётларгина Фиръавн ва амалдор-зодагонларининг фитна қилмоқларидан қўрққан ҳолларида иймон келтирдилар, холос.
083_01	Албатта, Фиръавн ер юзида баланд кетган эди. Албатта, у исрофчилардан эди.
084_00	Мусо: «Эй қавмим, агар Аллоҳга иймон келтирган бўлсангиз, агар мусулмон бўлсангиз, фақат Унгагина таваккал қилинг», деди.
085_00	Улар: «Аллоҳгагина таваккал қилдик. Роббимиз, бизни золим қавмларга фитна қилиб қўйма.
086_00	Ва Ўз раҳматинг ила бизга кофир қавмлардан нажот бергин», дедилар. (Арабчада «фитна» сўзи синов маъносини англатади. Жумладан, темирни ўтга солиб синаб кўришни ҳам фитна дейишади. Шунингдек, фитна сўзи «алдов» ва «адашув» маъносини ҳам англатади. Ушбу оятда эса, мўминлар Аллоҳдан золим қавмларни улар устидан ғолиб қилиб қўймасликни сўрашмоқда. Чунки бу иш фитнага сабаб бўлиши мумкин. Мўминлар, уларнинг ишлари тўғри экан-да, бўлмаса нима учун бизга ғолиб келишади, деган хаёлга боришлари мумкин. Бу эса, катта фитнадир. Аслида, Аллоҳ кофирларни билдирмай олиш учун аввал уларга зоҳиран ғалаба бериб ҳам туриши мумкин. Аммо бу мўминлар гуруҳи шуни ҳам хоҳламаяптилар.)
087_00	Биз Мусога ва унинг биродарига: «Икковингиз қавмингиз учун Мисрда уйлар тайёрланг, уйларингизни қибла қилиб, намозни тўкис адо этинглар ва мўминларга хушхабар бер», деб ваҳий юбордик.
088_00	Мусо: «Эй Роббимиз, Сен Фиръавнга ва унинг амалдорларига зебу зийнат ва молу дунё бердинг.
088_01	Роббимиз, бу Сенинг йўлингдан адаштиришлари учундир. Роббимиз, уларнинг молларини йўқ қилгин ва қалбларини қаттиқ қилгин, то аламли азобни кўрмагунларича иймонга келмасинлар», деди.
089_00	У: «Батаҳқиқ, икковингизнинг дуоингиз қабул бўлди. Бас, собит туринглар ва билмайдиганларнинг йўлига эргашманглар», деди.
090_00	Ва Бани Исроилни денгиздан ўтказдик.
090_01	Бас, Фиръавн ва унинг аскарлари ҳаддан ошган ва туғён қилган ҳолда уларни таъқиб этдилар. Токи унга ғарқ бўлиш етганида: «Бани Исроил иймон келтирган зотдан ўзга илоҳ йўқлигига иймон келтирдим ва мен мусулмонларданман», деди.
091_00	Эндими! Олдин исён қилган ва бузғунчилардан бўлган эдинг-ку?!
092_00	Бугун сенинг баданингни қутқарамиз. Токи ўзингдан кейингиларга ибрат бўлгин. Албатта, кўп одамлар Бизнинг оятларимиздан ғофилдирлар. (Соғлик-саломатлик, куч-қувват, молу мулк, ҳукм, мансаб ва бошқа имкониятлар борида қиларини қилиб юрган ҳар қандай одам ҳам ўлимига кўзи етиб қолганида Худони эслайди. Лекин бунинг фойдаси йўқ. Бу ҳақиқат ўша тоифадаги кишиларга уларнинг энг кўзга кўринган вакили Фиръавн мисолида тушунтирилмоқда. Жойингни эмас. Жонингни оламиз. Бошқалар каби ўласан. Чунки сен ҳам оддий-ожиз бандасан. Аммо жасадингни қутқарамиз. Балиқлар ҳам емайди. Сувга оқиб ҳам йўқ бўлмайди. Бошқа сабаб билан ҳам йўқ бўлиб кетмайди. «Токи ўзингдан кейингиларга ибрат бўлгин». Шунчалар мулкка эга бўлсанг ҳам, қанча катта даъволар қилган бўлсанг ҳам, аскарларинг шунча кўп бўлса ҳам, барибир Аллоҳнинг азобидан қутула олмаганингни кўриб ибрат олсинлар. «Албатта, кўп одамлар Бизнинг оятларимиздан ғофилдирлар».)
093_00	Батаҳқиқ, Биз Бани Исроилни ҳақиқий омонлик масканига жойлаштирдик ва уларни пок нарсалар ила ризқлантирдик.
093_01	Бас, улар то ўзларига илм келмагунча ихтилоф қилмадилар. Албатта, Роббинг қиёмат куни улар орасида ихтилоф қилган нарсалари ҳақида Ўзи ҳукм чиқарадир.
094_00	Агар сенга нозил қилган нарсамиздан шакда бўлсанг, сендан олдин китобни ўқиганлардан сўра.
094_01	Батаҳқиқ, сенга Роббингдан ҳақ келди. Бас, ҳеч шубҳа қилгувчилардан бўлма.
095_00	Зинҳор Аллоҳнинг оятларини ёлғонга чиқарувчилардан бўлма, у ҳолда зиёнкорлардан бўлиб қоласан.
096_00	Албатта, Роббингнинг калималари зиммасига вожиб бўлганлар иймонга келмаслар.
097_00	Агар уларга ҳамма оят-мўъжизалар келса ҳам, то аламли азобни кўрмагунларича.
098_00	Қани энди бирон қишлоқ иймон келтирганда унга иймони манфаат берса эди. Фақат Юнус қавми иймон келтирганларида улардан ҳаёти дунёдаги хорлик азобини кушойиш қилдик ва уларни маълум вақтгача фойдалантирдик. (Оятнинг маъносидан кўриниб турибдики, Юнуснинг (а. с.) қавмига ҳаёти дунёнинг хорлик азоби таҳдид солиб қолганда барчалари бирдан иймонга келганлар. Ана шунда Аллоҳ таоло уларнинг бошидан бу азобни кўтарган ва иймонлари шарофати билан маълум муддатгача фаравон турмуш ила манфаатлантирган. Демак, қоида шу: қайси қишлоқ кофир бўлса, хорлик азобига дучор бўлаверади, қайси қишлоқ иймон келтирса, ундан хорлик азоби кушойиш қилиниб, иймони туфайли манфаатлар топаверади.)
099_00	Агар Роббинг хоҳласа, ер юзидаги кишиларнинг ҳаммаси иймонга келар эдилар. Ёки сен одамларни мўмин бўлишга мажбурлайсанми?
100_00	Аллоҳнинг изнисиз ҳеч бир жон мўмин бўла олмас. У ақл юргизмайдиганларга ўта ифлосликни раво кўрур. (Яъни, ҳар бир инсон иймонга эришиш учун Аллоҳ изн этган йўлдан юриши керак. У кўрсатган амалларни қилиши керак. Мисол учун, Аллоҳ берган ақлни ишлатиб, атрофдаги оят-далилларни тушуниб етиб, иймонга юзланиши керак. Ақлни ишлатмаса, ўзига ибрат олмаса, иши расво бўлади. Нотўғри йўлга юриб, залолатга кетади.)
101_00	Сен: «Осмонлару ердаги нарсаларга назар солинглар. Иймон келтирмайдиган қавмларга оят-мўъжизалар ва қўрқитувлар фойда бермас», деб айт.
102_00	Улар фақат ўзларидан олдин ўтганларнинг кунларига ўхшаш кунларга интизор бўлмоқдаларми? Сен: «Бас, интизор бўлинглар. Албатта, мен ҳам сизлар билан интизор бўлгувчиларданман», деб айт.
103_00	Сўнгра Пайғамбарларимизга ва иймон келтирганларга нажот берамиз. Шундай қилиб, мўминларга нажот бермоғимиз зиммамиздаги бурчдир. (Охир-оқибатда мўминларнинг нажот топиши ҳақдир. Бу вазифани Аллоҳ таоло Ўзига бурч қилиб олгандир. Бу ҳақиқатни мўмин-мусулмонлар, айниқса, даъватчилар жуда яхши англаб етмоқлари лозим.)
104_00	Сен: «Эй одамлар, агар менинг динимда шак-шубҳангиз бўлса, бас, (билингки) мен сизлар ибодат қилаётган–Аллоҳдан ўзга нарсаларга ибодат қилмайман.
104_01	Лекин сизни вафот эттирадиган Аллоҳга ибодат қиламан ва мўминлардан бўлмоғимга амр қилинганман», деб айт.
105_00	Юзингни динга тўғри тут. Мушриклардан бўлма.
106_00	Аллоҳдан ўзга–сенга манфаат ҳам, зарар ҳам бермайдиган–нарсага илтижо қилма. Бас, агар шундай қилсанг, унда сен золимлардан бўласан. (Ўзини билмаган золим одамлар Аллоҳни қўйиб, бут-санамлар ва бошқа нарсаларга илтижо этиб, манфаат топмоқчи ёки зарарни қайтармоқчи бўладилар. Сен, эй Пайғамбар, уларга ўхшама, Аллоҳдан ўзга ҳеч кимга, ҳеч нарсага илтижо этма.)
107_00	Агар Аллоҳ сени зарар ила тутса, Ундан ўзга ўшанга кушойиш берувчи йўқдир. Агар У сенга яхшиликни ирода қилса, Унинг фазлини рад қилувчи ҳам йўқдир.
107_01	Уни бандаларидан хоҳлаганига етказади. У мағфират қилгувчи ва раҳмли зотдир.
108_00	Сен: «Эй одамлар, сизга Роббингиздан ҳақ келди. Бас, ким ҳидоятга юрса, ўзи учун ҳидоят топади.
108_01	Ким залолатга кетса, ўз зарарига залолат топади. Мен сизларнинг устингиздан қўриқчи эмасман», деб айт.
109_00	Ва сенга ваҳий қилинган нарсага эргаш ва Аллоҳ ҳукм қилгунча сабр қил. У ҳукм қилгувчиларнинг яхшисидир.
