001_00	То. Сийн. Мийм.
079_00	Бас, у (Қорун) қавми ҳузурига зебу зийнати ила чиқди. Ҳаёти дунёни хоҳлайдиганлар: «Қани энди бизга ҳам Қорунга берилган нарсадан бўлса эди. Ҳақиқатда у улуғ насиба эгасидир», дедилар. (Молу дунёсига ишониб мутакаббирлик билан ғурурга кетган, дунёда бузғунчилик қилишга уринган, ношукр одамга фақат ҳаёти дунёни ўйлайдиган кишиларгина ҳавас қилиши мумкин. Ушбу дунёнинг беш кунлик матоҳига эришишдан бошқа мақсади йўқларгина ўша туғёнкор, бузғунчига ўхшаган бўлишни орзу қилиши мумкин. Ана ўшаларгина ғурурга кетган мазкур мутакаббирни «улуғ насиба эгаси, дейиши мумкин.)
080_00	Илм берилганлар эса: «Вой бўлсин сизларга! Иймон келтириб, солиҳ амалларни қилганлар учун Аллоҳнинг савоби яхшидир. Унга фақат сабр қилганларгина эришурлар», дедилар.
081_00	Бас, Биз уни ва унинг ҳовли-жойини ерга ютдирдик. Унга Аллоҳ (азоби)дан ёрдам берадиган гуруҳ ҳам бўлмади, унинг ўзи нусратга эришгувчилардан ҳам бўлмади. (Ҳаммаси оддийгина тугади. Қорунни ҳам, ҳовли-жойини ҳам ер ютди-қўйди. Қорун ҳам, унинг бойликлари ҳам, кибру ҳавоси ҳам йўқ бўлди-кетди. Қорунга Аллоҳнинг азоби келганида унга ёрдам берувчи топилмади. Унинг ўзи ҳам илми ила, молу дунёси ила ўзини қутқариб қола олмади.)
082_00	Ва кечагина унинг маконини орзу қилаётганлар: «Воажаб, Аллоҳ бандаларидан Ўзи хоҳлаганларига ризқини кенг ёки тор қиладиганга ўхшайдир. Агар Аллоҳ бизга лутф қилмаганида, бизни ҳам ерга ютгизар эди. Воажаб, кофирлар нажот топмайдиганга ўхшайди-ку!»
082_01	дейишга ўтдилар. (Ҳаёти дунёга берилган ғофилларнинг кўзи шунга ўхшаш фалокатлар вақтида очилиши мумкин. Қорунни ва унинг ҳовли-жойини ер ютганидан кейингина унга ҳавас қилаётган ҳаёти дунё ихлосмандларининг кўзи очилди.)
083_00	Ўша охират диёрини Биз ер юзида такаббурлик ва бузғунчиликни истамайдиганлар учун қилурмиз. Оқибат тақводорларникидир. (Ўша илмлилар айтган охират диёрини ер юзида Қорун каби такаббурлик ва бузғунчилик қилмаганлар, уларнинг ер юзида бўлишини истамайдиганларга берамиз. Ким тақводор бўлса, оқибат яхши бўлади.)
084_00	Ким бир яхшилик келтирса, унга у(яхшилиги)дан кўра хайрлироқ (мукофот) бор. Ким бир ёмонлик келтирса, ёмонлик қилганлар фақат қилганларига яраша жазоланурлар. (Яъни, яхшиликнинг савоби кўпайтириб берилади. Ёмонлик эса, ўз ҳолича жазога тортилади. У кўпайтирилмайди.)
085_00	Сенга Қуръонни фарз қилган зот, албатта, сени қайтар жойга қайтаргувчидир. Сен: «Роббим ҳидоят келтирган шахсни ҳам ва очиқ-ойдин гумроҳликдаги шахсни ҳам яхши билгувчидир», деб айт. (Сен она юртингдан ҳижрат қилиб кетишга мажбур бўлаётганингдан ўкинма. Сенга Қуръон тиловати ва унга амал қилишни фарз қилган зот–Аллоҳ, албатта, сени қайтар жойга–Маккага яна қайтаргувчидир.)
086_00	Сен ўзингга китоб туширилишидан умидвор ҳам эмас эдинг. Илло, Роббинг раҳмати бўлиб (тушди). Бас, ҳаргиз кофирларга ёрдамчи бўлма.
087_00	Ва сени улар ҳаргиз сенга туширилган Аллоҳнинг оятларидан тўсмасинлар. Роббингга даъват қил. Асло мушриклардан бўлма.
088_00	Аллоҳдан ўзга ҳеч бир илоҳга илтижо қилма. Ундан ўзга ибодатга сазовор зот йўқ. Ундан ўзга ҳар бир нарса ҳалок бўлгувчидир. Ҳукм Унинг Ўзигагинадир ва фақат Унгагина қайтарилурсиз. (Сен уларнинг гап-сўзларига, хоҳиш-истакларига қараб ўтирма. Аллоҳнинг оятларига амал қилишда давом этавер.)
