001_00	Alef, Lam, Mim, Sad.
169_01	Acaso, não lhes havia sidoimposta a obrigação, estipulada no Livro, de não dizer de Deus mais que a verdade? Não obstante, haviam estudado nele!
169_02	Sabei que a morada da outra vida é preferível, para os tementes. Não raciocinais?
170_00	Quanto àqueles que se apegam ao Livro e observam a oração, saibam que não frustraremos a recompensa dosconciliadores.
171_00	E (recorda-te) de quando arrancamos o monte (Sinai), elevando-o sobre eles como se fosse um teto! Creram que lhesfosse desmoronar em cima, e então lhes dissemos: Observai fervorosamente o que vos temos concedido e recordai o seuconteúdo, para que Me temais.
172_00	E de quando o teu Senhor extraiu das entranhas do filhos de Adão os seus descendentes e os fez testemunhar contra sipróprios, dizendo: Não é verdade que sou o vosso Senhor? Disseram: Sim!
172_01	Testemunhamo-lo! Fizemos isto com o fim deque no Dia da Ressurreição não dissésseis: Não estávamos cientes.
173_00	Ou não dissésseis: Anteriormente nossos pais idolatravam, e nós, sua descendência, seguimo-los. Exterminar-nos-ias, acaso pelo que cometeram frívolos?
174_00	Assim elucidamos os versículos, a fim de que desistam.
175_00	Repete-lhes (ó Mensageiro) a história daquele ao qual agraciamos com os Nossos versículos e que os desdenhou; assim, Satanás o seguiu e ele se contou entre os seduzidos.
176_00	Mas, se quiséssemos, tê-lo-íamos dignificado; porém, ele se inclinou para o mundo e se entregou à sua luxúria.
176_01	O seuexemplo é semelhante ao do cão que, se o acossas, arqueja; se o deixas, assim mesmo arqueja.
176_02	Tal é o exemplo daqueles quedesmentem os Nossos versículos. Refere-lhes estes relatos, a fim de que meditem.
177_00	Que péssimo é o exemplo daqueles que desmentem os Nossos versículos! Em verdade, com isso se condenam.
178_00	Quem Deus encaminhar estará bem encaminhado; aqueles que desencaminhar serão desventurados.
179_00	Temos criado para o inferno numerosos gênios e humanos com corações com
179_01	os quais não compreendem, olhos com osquais não vêem, e ouvidos com
179_02	os quais não ouvem. São como as bestas, quiçá pior, porque são displicentes.
180_00	Os mais sublimes atributos pertencem a Deus; invocai-O, pois, e evitai aqueles que profanam os Seus atributos, porqueserão castigados pelo que tiverem cometido.
181_00	Entre os povos que temos criado, há um que se rege pela verdade, e com ela julga.
182_00	Quanto àqueles que desmentem os Nossos versículos, apresentar-lhes-emos gradativamente, o castigo, de modo que nãoo percebam.
183_00	E lhes concederemos folgança, porque o Meu plano é firme.
184_00	Não refletem no fato de que seu companheiro não padece de demência alguma? Que não é mais do que um elucidativoadmoestador?
185_00	Não reparam no reino dos céus e da terra e em tudo quando Deus criou e em que, quiçá, seu fim se aproxima?
185_01	E quemensagem, depois desta (Alcorão), crerão?
186_00	Aqueles a quem Deus desviar (por tal merecerem) ninguém poderá encaminhar, porque Ele os abandonará, vacilantes, em sua transgressão.
187_00	Perguntar-te-ão acerca da Hora (do Desfecho): Quando acontecerá? Responde-lhes: Seu conhecimento está só empoder do meu Senhor e ninguém, a não ser Ele, pode revelá-lo; (isso) a seu devido tempo.
187_01	Pesada será, nos céus e na terra, evirá inesperadamente. Perguntar-te-ão, como se tu tivesses pesquisado sobre ela (a Hora do Desfecho). Responde-lhes: Seuconhecimento só está em poder de Deus; porém, a maioria das pessoas o ignora.
188_00	Dize: Eu mesmo não posso lograr, para mim, mais benefício nem mais prejuízo do que o que for da vontade de Deus.
188_01	Ese estivesse de posse do incognoscível, aproveitar-me-ia de muitos bens, e o infortúnio jamais me açoitaria. Porém, não soumais do que um admoestador e alvissareiro para os crentes.
189_00	Ele foi Quem vos criou de um só ser e, do mesmo, plasmou a sua companheira, para que ele convivesse com ela e, quando se uniu a ela
189_01	(Eva), injetou-lhe uma leve carga que nela permaneceu; mas quando se sentiu pesada, ambos invocaramDeus, seu Senhor: Se nos agraciares com uma digna prole, contar-nos-emos entre os agradecidos.
190_00	Mas quando Ele os agraciou com uma prole digna, atribuíram-Lhe parceiros, no que lhes havia concedido. Exaltadoseja Deus de tudo quanto Lhe atribuíram!
191_00	Atribuíram-Lhe parceiros que nada podem criar, uma vez que eles mesmo são criados.
192_00	Nem tampouco poderão socorrê-los, nem poderão socorrer a si mesmos.
193_00	Se os convocardes para a Orientação, não vos ouvirão, pois tanto se lhes dará se os convocardes ou permanecerdesmudos.
194_00	Aqueles que invocais em vez de Deus são servos, como vós. Suplicai-lhes, pois, que vos atendam, se estiverdes certos!
195_00	Têm, acaso pés para andar, mão para castigar, olhos para ver, ou ouvidos para ouvir?
195_01	Dize: Invocai vossos parceiros, conspirai contra mim e não me concedais folgança!
196_00	Meu protetor é Deus, que (me) revelou o Livro, e é Ele Quem ampara os virtuosos.
197_00	Aqueles que invocais além d'Ele não podem socorrer-vos, nem socorrer a si mesmos.
198_00	Se os convocardes para a Orientação, não vos ouvirão; e tu (ó Mensageiro) verás que olham para ti, embora não tevejam.
199_00	Conserva-te indulgente, encomenda o bem e foge dos insipientes.
200_00	E quando alguma tentação de Satanás te assediar, ampara-te em Deus, porque Ele é Oniouvinte, Sapientíssimo.
201_00	Quanto aos tementes, quando alguma tentação satânica os acossa, recordam-se de Deus; ei-los iluminados.
202_00	Quanto aos irmãos (malignos) arremessam-nos mais e mais no erro, e dele não se retraem.
203_00	E se não lhes apresentas um sinal, dizem-te: Porque não o inventas?
203_01	Dize: Eu não faço mais do que seguir o que merevela o meu Senhor. Este (Alcorão) encerra discernimentos do vosso Senhor e é, por isso, orientação e misericórdia paraos que crêem.
204_00	E quando for lido o Alcorão, escutai-o e calai, para que sejais compadecidos.
205_00	E recorda-te do teu Senhor intimamente, com humildade e temor, sem manifestação de palavras, ao amanhecer e aoentardecer, e não sejas um dos tantos negligentes.
206_00	Porque aqueles que estão próximos do teu Senhor não se ensoberbecem em adorá-Lo, e O glorificam, prostrando-seante Ele.
