001_00	Алиф. Лам. Мим. Сад.
177_00	Скверна притча о тех, которые считают ложью Наши знамения и поступают несправедливо по отношению к себе.
178_00	Кого Аллах наставляет на прямой путь, тот идет им. А кого Аллах вводит в заблуждение, те становятся потерпевшими убыток.
179_00	Мы сотворили для Геенны много джиннов и людей.
179_01	У них есть сердца, которые не разумеют, и глаза, которые не видят, и уши, которые не слышат.
179_02	Они подобны скотине, но являются еще более заблудшими. Именно они являются беспечными невеждами.
180_00	У Аллаха - самые прекрасные имена. Посему взывайте к Нему посредством их и оставьте тех, которые уклоняются от истины в отношении Его имен. Они непременно получат воздаяние за то, что совершали.
181_00	Среди Наших творений есть община, которая истинно указывает путь и устанавливает справедливость.
182_00	А тех, которые считают ложью Наши знамения, Мы завлечем так, что они даже не узнают этого.
183_00	Я дам им отсрочку, ведь хитрость Моя несокрушима.
184_00	Неужели они не размышляют? Их товарищ не является бесноватым. Он не кто иной, как разъясняющий и предостерегающий увещеватель.
185_00	Неужели они не вглядываются в царствие небес и земли, а также всего, что сотворил Аллах?
185_01	Быть может, их срок уже близок. В какой же рассказ после этого они уверуют?
186_00	Кого Аллах ввел в заблуждение, того никто не наставит на прямой путь. Он бросает их скитаться вслепую в их собственном беззаконии.
187_00	Они спрашивают тебя о Часе: «Когда он наступит?». Скажи: «Воистину, знание об этом принадлежит только моему Господу. Никто, кроме Него, не способен открыть время его наступления.
187_01	Это знание тяжко для небес и земли. Он настанет внезапно». Они спрашивают тебя, словно тебе известно об этом. Скажи: «Воистину, знание об этом принадлежит одному Аллаху, но большая часть людей не знает этого».
188_00	Скажи: «Я не властен принести себе пользу или причинить себе вред, если того не пожелает Аллах.
188_01	Если бы я знал сокровенное, то приумножил бы для себя добро, и зло не коснулось бы меня. Однако я - всего лишь предостерегающий увещеватель и добрый вестник для верующих людей».
189_00	Он - Тот, Кто сотворил вас из одного человека. Он создал из него супругу, чтобы он нашел в ней покой.
189_01	Когда же он вступил с ней в близость, она понесла легкое бремя и ходила с ним. Когда же она отяжелела от бремени, они вдвоем воззвали к Аллаху, своему Господу: «Если Ты даруешь нам праведного ребенка, то мы непременно будем в числе благодарных».
190_00	Когда же Он даровал им обоим праведного ребенка, они стали приобщать к Нему сотоварищей в том, чем Он одарил их. Аллах превыше того, что они приобщают в сотоварищи.
191_00	Неужели они приобщают в сотоварищи к Аллаху тех, которые ничего не творят, тогда как сами были сотворены,
192_00	которые не способны оказать им поддержку и не способны помочь даже самим себе?
193_00	Если вы призовете их на прямой путь, они не последуют за вами. Для вас все равно, будете вы их призывать или будете молчать.
194_00	Те, к кому вы взываете наряду с Аллахом, являются рабами, подобными вам самим. Взывайте к ним, и пусть они ответят вам, если вы говорите правду.
195_00	Есть ли у них ноги, на которых они ходят? Или у них есть руки, которыми они хватают?
195_01	Или у них есть глаза, которыми они видят? Или у них есть уши, которыми они слышат? Скажи: «Призовите этих сотоварищей, а затем ухитритесь против меня и не предоставляйте мне отсрочки.
196_00	Воистину, моим Покровителем является Аллах, Который ниспослал Писание. Он покровительствует праведникам.
197_00	А те, к кому вы взываете вместо Него, не способны оказать вам поддержку и не способны помочь даже самим себе».
198_00	Если ты призовешь их на прямой путь, они не услышат этого. Ты видишь, как они смотрят на тебя, но они ничего не видят.
199_00	Будь снисходителен (или отдавай излишек; или принимай пожертвования, которые приносят тебе), вели творить добро и отвернись от невежд.
200_00	А если дьявол станет наущать тебя, то прибеги к защите Аллаха, ведь Он - Слышащий, Знающий.
201_00	Воистину, если богобоязненных людей коснется наваждение от дьявола, то они поминают назидание и прозревают.
202_00	А в своих братьях они (дьяволы) усиливают заблуждение, после чего они не останавливаются.
203_00	Если ты не явишь им знамения, они скажут: «Почему ты не выбрал (не показал) его?».
203_01	Скажи: «Я следую только за тем, что внушается мне в откровении от моего Господа. Это - очевидное знамение от Господа вашего, верное руководство и милость для верующих».
204_00	Когда читается Коран, то слушайте его и храните молчание, - быть может, вас помилуют.
205_00	Поминай Аллаха с покорностью и страхом про себя и не громко по утрам и перед закатом и не будь одним из беспечных невежд.
206_00	Те, которые находятся возле твоего Господа, не превозносятся над поклонением Ему, славословят Ему и падают перед Ним ниц.
