001_00	Алиф. Лам. Мим.
170_00	радуясь тому, что Аллах даровал им по Своей милости, и ликуя от того, что их последователи, которые еще не присоединились к ним, не познают страха и не будут опечалены.
171_00	Они радуются милости Аллаха и щедрости и тому, что Аллах не теряет награды верующих,
172_00	которые ответили Аллаху и Посланнику после того, как им нанесли ранение. Тем из них, которые вершили добро и были богобоязненны, уготована великая награда.
173_00	Люди сказали им: «Народ собрался против вас. Побойтесь же их». Однако это лишь приумножило их веру, и они сказали: «Нам достаточно Аллаха, и как прекрасен этот Попечитель и Хранитель!».
174_00	Они вернулись с милостью от Аллаха и щедротами. Зло не коснулось их, и они последовали за довольством Аллаха. Воистину, Аллах обладает великой милостью.
175_00	Это всего лишь дьявол пугает вас своими помощниками. Не бойтесь их, а бойтесь Меня, если вы являетесь верующими.
176_00	Пусть не печалят тебя те, которые спешат к неверию.
176_01	Они ничем не навредят Аллаху. Аллах желает лишить их доли в Последней жизни, и им уготованы великие мучения.
177_00	Те, которые купили неверие за веру, не причинят никакого вреда Аллаху, и им уготованы мучительные страдания.
178_00	Пусть неверующие не думают, что предоставленная Нами отсрочка является благом для них. Мы предоставляем им отсрочку для того, чтобы они приумножили свои грехи. Им уготованы унизительные мучения.
179_00	Аллах не оставит верующих в том положении, в котором вы находитесь, пока не отличит скверного от благого.
179_01	Аллах не откроет вам сокровенное знание, однако Аллах избирает среди Своих посланников того, кого пожелает.
179_02	Уверуйте же в Аллаха и Его посланников, ведь если вы уверуете и будете богобоязненны, то получите великую награду.
180_00	Пусть не думают те, которые скупятся расходовать то, что Аллах даровал им по Своей милости, что поступать так лучше для них. Напротив, это хуже для них.
180_01	В День воскресения их шеи будут обернуты тем, что они жалели. Аллаху принадлежит наследие небес и земли, и Аллах ведает о том, что вы совершаете.
181_00	Аллах услышал слова тех, которые сказали: «Аллах беден, а мы богаты».
181_01	Мы запишем то, что они сказали, и то, как несправедливо они убивали пророков, и скажем: «Вкусите мучения от обжигающего Огня.
182_00	Это - за то, что приготовили ваши руки, ведь Аллах не поступает несправедливо с рабами».
183_00	Они сказали: «Аллах взял с нас обещание не верить ни одному посланнику, пока он не явится к нам с жертвой, которую будет пожирать огонь».
183_01	Скажи: «До меня к вам приходили посланники с ясными знамениями и с тем, о чем вы говорите. Почему же вы убили их, если вы говорите правду?».
184_00	Если они сочтут тебя лжецом, то ведь лжецами считали многих посланников до тебя, которые принесли ясные знамения, книги и озаряющее Писание.
185_00	Каждая душа вкусит смерть, но только в День воскресения вы получите вашу плату сполна.
185_01	Кто будет удален от Огня и введен в Рай, тот обретет успех, а земная жизнь - всего лишь наслаждение обольщением.
186_00	Вы непременно будете испытаны своим имуществом и самими собой, и вы непременно услышите от тех, кому было даровано Писание до вас, и от многобожников много неприятных слов.
186_01	Но если вы будете терпеливы и богобоязненны, то ведь в этих делах надлежит проявлять решимость.
187_00	Вот Аллах взял завет с тех, кому было даровано Писание: «Вы обязательно будете разъяснять его людям и не будете скрывать его».
187_01	Но они бросили его за спины и продали его за ничтожную цену. Как же скверно то, что они приобретают!
188_00	Не думай же, что те, которые радуются своим поступкам и любят, чтобы их хвалили за то, чего они не совершали, спасутся от мучений.
188_01	Им уготованы мучительные страдания.
189_00	Аллаху принадлежит власть над небесами и землей, и Аллах способен на всякую вещь.
190_00	Воистину, в сотворении небес и земли, а также в смене ночи и дня заключены знамения для обладающих разумом,
191_00	которые поминают Аллаха стоя, сидя и на боку и размышляют о сотворении небес и земли: «Господь наш! Ты не сотворил это понапрасну.
191_01	Пречист Ты! Защити же нас от мучений в Огне.
192_00	Господь наш! Тот, кого Ты ввергнешь в Огонь, будет опозорен, и не будет у беззаконников помощников.
193_00	Господь наш! Мы услышали глашатая (Мухаммада), который призывал к вере: «Уверуйте в вашего Господа», - и мы уверовали.
193_01	Господь наш! Прости нам наши грехи, отпусти нам наши прегрешения и умертви нас вместе с благочестивыми.
194_00	Господь наш! Даруй нам то, что Ты обещал нам через Своих посланников, и не позорь нас в День воскресения, ведь Ты не нарушаешь обещаний».
195_00	Господь их ответил им: «Я не погублю деяния, совершенные любым из вас, будь то мужчина или женщина.
195_01	Одни из вас произошли от других.
195_02	А тем, которые переселились или были изгнаны из своих жилищ, были подвергнуты мучениям на Моем пути, сражались и были убиты, Я непременно прощу их злодеяния и введу их в Райские сады, в которых текут реки. Такой будет награда от Аллаха, а ведь у Аллаха - наилучшая награда».
196_00	Пусть не обольщает тебя свобода действий на земле тех, кто не уверовал.
197_00	Это - всего лишь недолгое (или небольшое) удовольствие, а затем их пристанищем будет Геенна. Как же скверно это ложе!
198_00	Но для тех, которые боятся своего Господа, уготованы Райские сады, в которых текут реки.
198_01	Они пребудут там вечно. Таково угощение от Аллаха, и то, что у Аллаха, будет лучше для благочестивых.
199_00	Воистину, среди людей Писания есть такие, которые веруют в Аллаха и в то, что было ниспослано вам и что было ниспослано им, будучи смиренными перед Аллахом и не продавая знамения Аллаха за ничтожную цену.
199_01	Их награда ожидает их у их Господа. Воистину, Аллах скор в расчете.
200_00	О те, которые уверовали! Будьте терпеливы, запасайтесь терпением, несите службу на заставах и бойтесь Аллаха, - быть может, вы преуспеете.
