001_00	อะลิฟ ลาม มีม
071_00	โอ้บรรดาผู้ได้รับคัมภีร์ทั้งหลาย ! เพราะเหตุใดพวกเจ้าจึงสวมความจริงไว้ด้วยความเท็จ และปกปิดความจริงไว้ ทั้งๆ ที่พวกเจ้าก็รู้ดีอยู่
072_00	และกลุ่มหนึ่งจากหมู่ผู้ได้รับคัมภีร์กล่าวว่า ท่านทั้งหลายจงศรัทธาต่อสิ่งที่ถูกให้ลงมาแก่บรรดาผู้ที่ศรัทธา ในตอนเริ่มแรกของกลางวัน(เช้า) และจงปฏิเสธศรัทธาในตอนสุท้ายของมัน (เย็น) เพื่อว่าพวกเขาจะได้กลับใจ
073_00	และพวกท่านจงอย่าเชื่อ นอกจากแก่ผู้ที่ปฏิบัติตามศาสนาของพวกท่านเท่านั้น จงกล่าวเถิด (มุฮัมมัด) ว่า คำแนะนำนั้นคือคำแนะนำของอัลลอฮ์เท่านั้น (คือจงอย่าเชื่อว่า) จะมีผู้ใดได้รับ เยี่ยงที่พวกท่านจะได้รับ หรือ
073_01	(อย่าเชื่อว่า) เขาเหล่านั้น จะโต้แย้งพวกท่าน ณ พระเจ้าของพวกทานเลย จงกล่าวเถิด (มุฮัมมัด) ว่า แท้จริงความโปรดปรานนั้นอยู่ ณพระหัตถ์ของอัลลอฮ์ซึ่งพระองค์ก็จะทรงประทานมันให้แก่ผู้ที่พระองค์ทรงประสงค์ และอัลลอฮ์นั้นเป็นผู้ทรงไพศาลผู้ทรงรอบรู้
074_00	พระองค์จะทรงเจาะจงความเอ็นดูเมตตาของพระองค์แก่ผู้ที่พระองค์ทรงประสงค์และอัลลอฮ์นั้นเป็นผู้ทรงโปรดปรานที่ยิ่งใหญ่
075_00	และจากหมู่ผู้ที่ได้รับคัมภีร์นั้น มีผู้ที่หากเจ้าฝากเขาไว้ซึ่งทรัพย์สมบัติอันมากมาย เขาก็จะคืนมันแก่เขจ้า
075_01	และจากหมู่พวกเขานั้นมีผู้ที่หากเจ้าฝากเขาไว้สักเหรียญทองหนึ่ง เขาก็จะไม่คืนมันแก่เจ้า นอกจากเจ้าจะยืนเผ้าทวงเขาอยู่เท่านั้น
075_02	นั่นก็เพราะว่าพวกเขากล่าวว่า ในหมู่ผู้ที่อ่านเขียนไม่เป็นนั้น ไม่มีทางใดที่เป็นโทษแก่เราได้ และพวกเขากล่าวความเท็จให้แก่อัลลอฮ์ทั้ง ๆ ที่พวกเขารู้กันดีอยู่
076_00	มิใช่นั้นดอก ผู้ใดที่รักษาสัญญาของเขาโดยครบถ้วน และยำเกรง(อัลลอฮ์) แล้วแน่นอนอัลลอฮ์ทรงชอบผู้ที่ยำเกรงทั้งหลาย
077_00	แท้จริงบรรดาผุ้ที่นำสัญญาของอัลลอฮ์และการสาบานของพวกเขาไปขายด้วยราคาอันเล็กน้อยนั้น ชนเหล่านี้แหละไม่มีส่วนได้ใด ๆ แก่พวกเขาในปรโลก
077_01	และอัลลอฮ์จะไม่ทรงพูดแก่พวกเขา และจะไม่ทรงมองดูพวกเขาในวันกิยามะฮ์ และทั้งจะไม่ทำให้พวกเขาสะอาดด้วย และพวกเขาจะได้รับโทษอันเจ็บแสบ
078_00	และแท้จริงจากหมู่พวกเขานั้น มีกลุ่มหนึ่งบิดลิ้น ของพวกเขา ในการอ่านคัมภีร์ ทั้งๆ ที่มันมิได้มาจากคัมภีร์
078_01	และพวกเขากล่าวว่า มันมาจากที่อัลลอฮ์ทั้งๆ ที่มันมิใช่มาจากอัลลอฮ์ และพวกเขากล่าวความเท็จให้แก่อัลลอฮ์ ทั้งๆ ที่พวกเขาก็รู้กันดีอยู่
079_00	ไม่เคยปรากฏแก่บุคคลใดที่อัลลอฮ์ทรงประทานคัมภีร์และข้อตัดสิน และการเป็นนะบีแก่เขา แล้วเขากล่าวแก่ผู้คนว่า ท่านทั้งหลายจงเป็นบ่าวของฉัน
079_01	อื่นจากอัลลอฮ์ หากแต่(ขาจะกล่าวว่า) ท่านทั้งหลายจงเป็นผู้ที่ผูกพันธ์กับพระเจ้าเถิด เนื่องจากการที่พวกท่านเคยสอนคัมภีร์ และเคยศึกษาคัมภีร์มา
080_00	และเขาจะไม่ใช้พวกเจ้าให้ยึดเอามะลาอิกะฮ์และบรรดานะบีเป็นพระเจ้า เขาจะใช้พวกเจ้าให้ปฏิเสธศรัทธา หลังจากที่พวกเจ้าเป็นผู้นอบน้อม แล้วกระนั้นหรือ?
081_00	และจงรำลึกถึงขณะที่อัลลอฮ์ได้ทรงเอาข้อสัญญาแก่นะบีทั้งหลายว่า สิ่งที่ข้าได้ให้แก่พวกเจ้านั้นไม่ว่าจะเป็นคัมภีร์ก็ดี และความรู้เกี่ยวกับข้อปฏิบัติในบัญญัติศาสนาก็ดี ภายหลังได้มีร่อซูลคนใดมายังพวกเจ้าซึ่งเป็นผู้นยืนยันในสิ่งที่มีอยู่กับพวกเจ้าแล้ว แน่นอนพวกเจ้าจะต้องศรัทธาต่อเขา และช่วยเหลือเขา พระองค์ตรัสว่า พวกเจ้ายอมรับและเอาข้อสัญญาของข้าดังกล่าวนั้นแล้วใช่ไหม?
081_01	พวกเขากล่าวว่า พวกข้าพระองค์ยอมรับแล้ว พระองค์ตรัสว่า พวกเจ้าจงเป้นพยานเถิด และข้าก็อยู่ในหมู่เป็นพยานร่วมกับพวกเจ้าด้วย
082_00	แล้วผู้ใดที่ผินหลังให้หลังจากนั้น ชนเหล่านั้นและพวกเขาคือผู้ละเมิด
083_00	อื่นจากศาสนาของอัลลอฮ์กระนั้นหรือที่พวกเขาแสวงหา? และแด่พระองค์นั้น ผู้ที่อยู่ในชั้นฟ้าทั้งหลาย และแผ่นดินได้นอบน้อมกัน ทั้งด้วยการสมัครใจ และฝืนใจ และยังพระองค์นั้นพวกเขาจะถูกนำกลับไป
084_00	จงกล่าวเถิด (มุฮัมมัด) ว่า เราได้ศรัทธาต่ออัลลอฮ์แล้วและได้ศรัทธาต่อสิ่งที่ถูกประทานแก่เรา และสิ่งที่ถูกประทานแก่อิบรอฮีมและอิสมาอีล
084_01	และอิสฮาก และยะกูบและบรรดาผู้สืบเชื้อสาย(จากยะอ์กูบ) และศรัทธาต่อสิ่งที่มูซาและอีซา และนะบีทั้งหลายได้รับจากพระเจ้าของพวกเขา โดยที่เราจะไม่แยกระหว่างคนหนึ่งคนใดในหมู่พวกเขา และพวกเรานั้นเป็นผู้ที่นอบน้อมต่อพระองค์.
085_00	และผู้ใดแสวงหาศาสนาหนึ่งศาสนาใดอื่นจากอิสลามแล้ว ศาสนานั้นก็จะไม่ถูกรับจากเขาเป็นอันขาด และในปรโลกเขาจะอยู่ในหมู่ผู้ขาดทุน
086_00	อย่างไรเล่าที่อัลลอฮ์จะทรงแนะนำพวกใดพวกหนึ่งที่ปฏิเสธศรัทธาหลังจากที่พวกเขาศรัทธาแล้ว และทั้งยังได้ยืนยันด้วยว่าแท้จริงร่อซูล นั้นเป้นความจริง และได้มีหลักฐานต่างๆ อันชัดแจ้งมายังพวกเขาด้วย และอัลลอฮ์นั้นจะไม่ทรงแนะนำพวกที่อธรรม
087_00	ชนเหล่านี้แหละการตอบแทนแก่พวกเขาก็คือ การละอ์นัต จากอัลลอฮ์ จากมะลาอิกะฮ์ และจากมนุษย์ทั้งมวลนั้นจะตกอยู่แก่พวกเขา
088_00	โดยที่พวกเขาจะอยู่ในการละอ์นัตนั้นตลอดกาล ซึ่งการลงโทษนั้นจะไม่ถูกผ่อนเบาแก่พวกเขา และทั้งพวกเขาจะไม่ถูกประวิง อีกด้วย
089_00	นอกจากบรรดาผู้ที่สำนึกผิดกลับเนื้อกลับตัวหลังจากนั้น และได้ปรับปรุงแก้ไข แท้จริงอัลลอฮ์นั้นเป็นผู้ทรงอภัยโทษ ผู้ทรงเมตตาเสมอ
090_00	แท้จริงบรรดาผู้ที่ปฏิเสธศรัทธาหลังจากที่พวกเขาได้ศรัทธากัน แล้วยังได้ทวีการปฏิเสธศรัทธาขึ้นอีกนั้น การสำนึกผิดกลับเนื้อกลับตัวของพวกเขาจะไม่ถูกรับเป็นอันขาด และชนเหล่านี้แหละคือผู้ที่หลงทาง
091_00	แท้จริงบรรดาผู้ที่ปฏิเสธศรัทธาและพวกเขาได้ตายไปในขณะที่พวกเขาเป็นผู้ปฏิเสธศรัทธานั้น ทองเต็มแผ่นดินก็จะไม่ถูกรับจากคนใดในพวกเขาเป็นอันขาด และแม้ว่าเขาจะใช้ทองนั้นไถ่ตัวเขาก็ตาม
091_01	ชนเหล่านี้แหละสำหรับพวกเขานั้น คือการลงโทษอันเจ็บแสบและทั้งไม่มีบรรดาผู้ช่วยเหลือใด ๆ สำหรับพวกเขาด้วย
092_00	พวกเจ้าจะไม่ได้คุณธรรมเลยจนกว่าพวกเจ้าจะบริจาคจากสิ่งที่พวกเจ้าชอบ และสิ่งใดที่พวกเจ้าบริจาคไป แท้จริงอัลลอฮฺทรงรู้ในสิ่งนั้นดี
093_00	อาหารทุกชนิดนั้นเคยเป็นที่อนุมัติแก่วงศ์วานอิสรออีลมาแล้ว นอกจากที่อิสรออีลได้ให้เป็นที่ต้องห้ามแก่ตัวเขาเอง ก่อนจากที่อัตเตารอตจะถูกประทานลงมาเท่านั้น
093_01	จงกล่าวเถิด(มุฮัมมัด) ว่าพวกเจ้าจงนำเอาอัตเตารอตมาแล้วจงอ่านมันดู หากพวกเจ้าเป็นผู้พูดจริง
094_00	แล้วผู้ใดที่อุปโลกน์ความเท็จให้อัลลอฮ์หลังจากนั้นชนเหล่านี้แหละ พวกเขาคือผู้อธรรม
095_00	จงกล่าวเถิด(มุฮัมมัด) ว่าอัลลอฮ์นั้นตรัสจริงแล้ว ดังนั้นพวกเจ้าจงปฏิบัติตามแนวทางของอิบรอฮีมผู้หันออกจากความเท็จสู่ความจริงเถิด และเขาไม่เคยอยู่ในหมู่ผู้ให้มีภาค(แก่อัลลอฮ์)เลย
096_00	แท้จริงบ้านหลักแรกที่ถูกตั้งขึ้นสำหรับมนุษย์(เพื่อการอิบาดะฮ์) นั้นคือบ้านที่มักกะฮ์ โดยเป็นที่ที่ถูกให้มีความจำเริญ และเป็นที่แนะนำแก่ประชาชาติทั้งหลาย
097_00	ในบ้านนั้น มีหลายสัญญาณที่ชัดแจ้ง(ส่วนหนึ่งนั้น)คือมะกอมอิบรอฮีม และผู้ใดได้เข้าไปในบ้านนั้น
097_01	เขาก็เป็นผู้ปลอดภัยและสิทธิของอัลลอฮ์ที่มีแก่มนุษย์นั้น คือการมุ่งสู่บ้านหลังนั้น อันได้แก่ผู้ที่สามารถหาทางไปยังบ้านหลังนั้นได้และผู้ใดปฏิเสธ แท้จริงอัลลอฮ์นั้นไม่ทรงพึ่งประชาชาติทั้งหลาย
098_00	จงกล่าวเถิด(มุฮัมมัด) ว่า โอ้ผู้ที่ได้รับคัมภีร์ทั้งหลาย! เพราะเหตุใดพวกท่านจึงปฏิเสธศรัทธาต่อบรรดาโองการของอัลลอฮ์และอัลลอฮ์นั้นจะทรงเป็นพยานยืนยันในสิ่งที่พวกท่านกระทำกัน
099_00	จงกล่าวเถิด(มุฮัมมัด) ว่าโอ้ผู้ที่ได้กรับคัมภีร์ทั้งหลาย! เพราะเหตุใดท่านจึงขัดขวางผ็ศรัทธาซึ่งทางของอัลลอฮ์โดยที่พวกท่านปรารถนาจะให้ทางของอัลลอฮ์คด ทั้ง ๆ ที่พวกท่านก็เป็นพยานยืนยันอยู่ และอัลลอฮ์นั้นมิใช่เป็นผู้ทรงเผลอในสิ่งที่พวกท่านกระทำกัน
100_00	โอ้ผู้ศรัทธาทั้งหลาย! หากพวกเจ้าเชื่อฟังกลุ่มหนึ่งกลุ่มใด ในหมู่ผู้ที่ได้รับคัมภีร์แล้ว พวกเขาก็จะให้พวกเจ้ากลับเป็นผู้ปฏิเสธศรัทธาอีก หลังจากที่พวกเจ้าศรัทธาแล้ว
101_00	และอย่างไรเล่าที่พวกเจ้าจะปฏิเสธศรัทธากัน ทั้งๆ ที่พวกเจ้านั้น มีบรรดาโองการของอัลลอฮ์ถูกอ่านแก่พวกเจ้าอยู่ และยังมีร่อซูลของพระองค์อยู่ในหมู่พวกเจ้าด้วย และผู้ใดยืดมั่นต่ออัลลอฮ์ แน่นอนเขาก็ได้รับคำแนะนำไปสู่ทางอันเที่ยงตรง
102_00	โอ้ผู้ศรัทธาทั้งหลาย! จงยำเกรงอัลลอฮ์อย่างแท้จริงเถิด และพวกเจ้าจงอย่าตาย เป็นอันขาดนอกจากในฐานะที่พวกเจ้าเป็นผู้นอบน้อมเท่านั้น
103_00	และพวกเจ้าจงยึดสายเชือก ของอัลลอฮ์โดยพร้อมกันทั้งหมดและจงอย่าแตกแยกกัน
103_01	และจำรำลึกถึงความเมตตาของอัลลอฮ์ที่มีแต่พวกเจ้า ขณะที่พวกเจ้าเป็นศัตรูกัน แล้วพระองค์ได้ทรงให้สนิทสนมกันระหว่างหัวใจของพวกเจ้า
103_02	แล้วพวกเจ้าก็กลายเป็นพี่น้องกันด้วย ความเมตตาของพระองค์ และพวกเจ้าเคยปรากฏอยู่บนปากหลุมแห่งไฟนรก แล้วพระองค์ก็ทรงช่วยพวกเจ้าให้พ้นจากปากหลุมแห่งนรกนั้น ในทำนองนั้นแหละ อัลลอฮ์จะทรงแจกแจงแก่พวกเจ้าซึ่งบรรดาโองการของพระอง๕เพื่อว่าเพวกเจ้าจะได้รับแนวทางอันถูกต้อง
104_00	และจงให้มีขึ้นจากพวกเจ้า ซึ่งคณะหนึ่งที่จะเชิญชวนไปสู่ความดีและใช้ให้กระทำสิ่งที่ชอบ และห้ามมิให้กระทำสิ่งที่มิชอบและชนเหล่านี้แหละพวกเขาคือผู้ได้รับความสำเร็จ
105_00	และพวกเจ้าจงอย่าเป็นเช่นบรรดาผู้ที่แตกแยกกัน และขัดแย้งกันหลังจากที่บรรดาหลักฐานอันชัดแจ้งได้มายังพวกเขาแล้วและชนเหล่านี้แหละสำหรับพวกเขา คือการลงโทษอันใหญ่หลวง
106_00	วันซึ่งบรรดาใบหน้าจะขาวผ่อง และบรรดาใบหน้าจะดำคล้ำ ส่วนผู้ที่ใบหน้าของพวกเขาดำคล้ำนั้น (พวกเขาจะถูกถามว่า) พวกเจ้าได้ปฏิเสธศรัทธา หลังจากที่พวกเจ้าศรัทธาแล้วกระนั้นหรือ? พวกเจ้าจงชิมการลงโทษเถิด เนื่องจากการที่พวกเจ้าปฏิเสธศรัทธา
107_00	และส่วนบรรดาผู้ที่ใบหน้าของพวกเขาขาวผ่องนั้น เขาจะอยู่ในความเมตตา ของอัลลอฮ์ โดยที่พวกเขาจะอยู่ในความเมตตานั้นตลอดกาล
108_00	นั่นคือบรรดาโองการของอัลลอฮ์โดยที่เรา อ่านโองการเหล่านั้นแก่เจ้าด้วยความจริง และอัลลอฮ์นั้นไม่ทรงประสงค์ซึ่งการอธรรมใด ๆ แก่ประชาชาติทั้งหลาย
109_00	และสิ่งที่อยู่ในบรรดาชั้นฟ้า และสิ่งที่อยู่ในแผ่นดินนั้นเป็นสิทธิของอัลลอฮ์เท่านั้น และยังอัลลอฮ์นั้นกิจการทั้งหลายจะถูกนำกลับไป
110_00	พวกเจ้านั้น เป็นประชาชาติที่ดียิ่งซึ่งถูกให้อุบัติขึ้นสำหรับมนุษย์ชาติ โดยที่พวกเจ้าใช้ให้ปฏิบัติสิ่งที่ชอบ และห้ามมิให้ปฏิบัติสิ่งที่มิชอบ และศรัทธาต่ออัลลอฮ์
110_01	และถ้าหากว่าบรรดาผู้ที่ได้รับคัมภีร์ ศรัทธากันแล้ว แน่นอนมันก็เป็นการดีแก่พวกเขา จากพวกเขานั้นมีบรรดาผู้ที่ศรัทธา และส่วนมากของพวกเขานั้นเป็นผู้ละเมิด
111_00	พวกเขา จะไม่ทำอันตรายแก่พวกเจ้าได้เลย นอกจากการก่อความเดือดร้อนเล็ก ๆ น้อยๆ เท่านั้น และหากพวกเขาต่อสู้พวกเจ้า พวกเขาก็จะหันหลังหนีพวกเจ้า แล้วพวกเขาก็จะไม่ได้กรับความช่วยเหลือ
112_00	ความต่ำช้าได้ถูกฟาดลงบนพวกเขา ณ ที่ใดก็ตามที่พวกเขาถูกพบ นอกจากด้วยสายเชือกจากอัลลอฮ์ และสายเชือกจากมนุษย์
112_01	และพวกเขาจะนำความกริ้วโกรธจากอัลลอฮ์กลับไป และความขัดสนก็จะถูกฟาดลงบนพวกเขา นั่นก็เพราะว่าพวกเขาเคยปฏิเสธบรรดาโองการของอัลลอ์ และฆ่าบรรดานะบีโดยปราศจากความเป็นธรรม นั่นก็เนื่องจากการที่พวกเขาดื้อดึง และเคยทำการละเมิด
113_00	พวกเขาหาใช่เหมือนกันไม่ จากบรรดาผู้ที่ได้รับคัมภีร์นั้นมีกลุ่มชนหนึ่งที่เที่ยงธรรม ซึ่งพวกเขาอ่านบรรดาโองการของอัลลอฮ์ในยามค่ำคืน และพร้อมกันนั้น พวกเขาก็สุยูดกัน
114_00	พวกเขาศรัทธาต่ออัลลอฮ์ และวันปรโลก และใช้ให้ปฏิบัติสิ่งที่ชอบ และห้ามมิให้ปฏิบัติสิ่งที่ไม่ชอบ และต่างรีบเร่งกันในบรรดาสิ่งดีงาม และชนเหล่านี้และอยู่ในหมู่ที่ประพฤติดี
115_00	และความดีใด ๆ ที่พวกเขากระทำพวกเขาจะไม่ถูกปฏิเสธในความดีนั้น เป็นอันขาดและอัลลอฮ์ทรงรู้ดีต่อบรรดาผู้ที่ยำเกรง
116_00	แท้จริงบรรดาผู้ปฏิเสธศรัทธานั้นทรัพย์สินของพวกเขา และลูก ๆ ของพสกเขาจะไม่อำนวยประฌยชน์ให้พวกเขาพ้นจากการลงโทษของอัลลอฮ์ได้อย่างใดเลย และชนเหล่านี้แหละคือชาวนรก โดยที่พวกเขาจะอยู่ในนรกนั้นตลอดกาล
117_00	อุปมาสิ่งที่พวกเขาบริจาคไปในชีวิตความเป้นอยู่แห่งโลกนี้นั้นอุปมัยลมซึ่งมีความเย็นจัด ได้ประสบแก่พืชผลของพวกกหนึ่งที่อธรรมแก่ตัวเองแล้วได้ทำลายพืชผลนั้น
117_01	อัลลอฮ์นั้นมิได้ทรงอธรรมแก่พวกเขา แต่ทว่าพวกเขาอธรรมแก่ตัวของพวกเขาเอง
118_00	โอ้ผู้ศรัทธาทั้งหลาย!
118_01	จงอย่าได้ยึดเอาเพื่อสนิทที่รู้เห็นกิจการภายใน อื่นจากพวกของเจ้าเอง ซึ่งเขาเหล่านั้นจะไม่ลดลบะแก่พวกเจ้าในการก่อความเสียหายให้เกิดขึ้น พวกเขาชอบกสรที่พวกเจ้าลำบาก แท้จริงความเกลียดชังต่างๆ ได้เผยออกมาแล้วจากปากของพวกเขา และสิ่งที่หัวอกของพสกเขาซ่อนไว้นั้นใหญ่ยิ่งกว่า แน่นอนเราได้แจกแจงบรรดาโองการไว้แก่พวกเจ้าแล้ว หากพวกเจ้าใช้ปัญญากัน
119_00	ถึงรู้เถิดว่า พวกเจ้านี้แหละรักใคร่พวกเขาทั้งๆ ที่พวกเขาไม่รักใคร่พวกเจ้า และพวกเจ้าศรัทธาต่อคัมภีร์ทุกเล่ม และเมื่อพวกเขาพบพวกเจ้าพวกเขาก็กล่าวว่า พวกเราศรัทธากันแล้ว
119_01	และเมื่อพวกเขาอยู่แต่ลำพัง พวกเขาก็กัดนิ้วมือ เนื่องจากความเคียดแค้นแก่พวกเจ้าจงกล่าเถิด(มุฮัมมัด) ว่า พวกเจ้าจงตายด้วยความเคียดแค้นของพสกเจ้าเถิด แท้จริงอัลลอฮ์เป็นผู้ทรงรอบรู้สิ่งที่อยู่ในหัวอกทั้งหลาย
120_00	หากมีความดีใดๆ ประสบแก่พวกเจ้า ก็ทำให้พวกเขาเศร้าใจและถ้าหากความชั่วใด ๆ ประสบแก่พวกเจ้า พวกเขาก็ดีใจเนื่องด้วยความชั่วนั้น และถ้าพวกเจ้าอดทน และยำเกรงแล้วไซร้ อุบายของพวกเขาก็ย่อมไม่เป็นอันตรายแก่พวกเจ้าแต่อย่างใด
120_01	แท้จริงอัลลอฮ์นั้นทรงล้อม ซึ่งสิ่งที่พวกเขากระทำกัน
121_00	และจงรำลึกถึงขณะที่เจ้าจากครอบครัวของเจ้าไปแต่เช้าตรู่ โดยที่เจ้าจะได้จัดให้บรรดามุมินประจำที่มั่นต่างๆ เพื่อการสู้รบ และอัลลอฮ์นั้นเป็นผู้ทรงได้ยิน ผู้ทรงรอบรู้
122_00	จงรำลึกขณะที่สองกลุ่ม ในหมู่พวกเจ้ารู้สึกอ่อนแอและขลาด และอัลลอฮ์เป็รนผู้ทรงคุ้มครองทั้งสองกลุ่มนั้นไว้ และแด่อัลลอฮ์นั้นมุมินทั้งหลายจงมอบหมายเถิด
123_00	และแน่นอน อัลลอฮ์ได้ทรงช่วยเหลือพวกเจ้าที่บะดัร มาแล้วทั้งๆ ที่พวกเข้าเป็นพวกด้อยกว่า ดังนั้นพวกเจ้าพึงยำเกรงอัลลอ์เถิด หวังว่าพวกเจ้าจักขอบคุณ
124_00	จงรำลึกถึงขณะที่เจ้า (มุฮัมมัด)กล่าวแก่บรรดามุมินว่า ไม่เพียงกอแก่พวกเจ้าเลยหรือ การที่พระเจ้าของพวกท่านจะหนุนกำลังแก่พวกท่าน ด้วยมะลาอิกะฮ์จำนวนสามพันโดยถูกส่งลงมา
125_00	เพียงพอแน่นอน หากพวกเจ้าอดทนและยำเกรง และพวกเขาจะ มายังพวกเจ้าทันทีทันใดขณะนี้ แล้วพระเจ้าของพวกเจ้าก็จะหนุนกำลังแก่พวกเจ้าอีก ด้วยจำนวนมะลาอิกะฮ์ห้าพัน โดยมีเครื่องหมาย
126_00	และอัลลอฮ์มิได้ทรงให้กำลังหนุนนั้นมีขึ้น นอกจากเพื่อเป็นข่าวดีแก่พวกเจ้า และเพื่อที่หัวใจของพวกเจ้าจะได้สงบด้วยกำลังหนุนนั้นและความช่วยเหลือทั้งหลายนั้นไม่มี(จากที่อื่นใด) นอกจากที่อัลลอฮ์ ผู้ทรงเดชานุภาพ ผู้ทรงปรีชาญาณเท่านั้น
127_00	เพื่อพระองค์จะทรงบั่นทองส่วนหนึ่ง ออกจากบรรดาผู้ปฏิเสธศรัทธาหรือทรงให้พวกเขาได้รับความอัปยศ แล้วพวกเขาก็จะถอยกลับไปในฐานะผู้ผิดหวัง
128_00	ไม่มีสิ่งใดเป็นสิทธิของเจ้า(มุฮัมมัด) จากกิจการเหล่านั้น หรือไม่ก็พระองค์จะทรงอภัยโทษให้แก่พวกเขา หรือลงโทษพวกเขาเพราะพวกเขานั้นคือผู้อธรรม
129_00	และสิ่งที่อยู่ในบรรดาชั้ยนฟ้าและสิ่งที่อยู่ในแผ่นดินนั้นเป็นสิทธิของอัลลอฮ์เท่านั้นพระองค์จะทรงอภัยดทษให้แก่พผู้ที่พระองค์ทรงประสงค์ และจะทรงลงโทษแก่ผู้ที่พระองค์ทรงประสงค์ และอัลลอฮ์นั้นคือผู้ทรงอภัยโทษ ผู้ทรงเมตตาเสมอ
130_00	โอ้ ผู้ศรัทธาทั้งหลาย! จงอย่ากินดอกเบี้ยหลายเท่าที่ถูกทบทวีและพวกเขาพึงยำเกรงอัลลอฮ์เถิด เพื่อว่าพวกเจ้าจะได้รับความสำเร็จ
131_00	และพวกเจ้าจงเกรงกลัวไฟนรกที่ถูกเตรียมไว้สำหรับบรรดาผู้ปฏิเสธศรัทธาเถิด
132_00	และพวกเจ้าจงเชื่อฟังอัลลอฮ์และร่อซูลของพระองค์ เพื่อว่าพวกเจ้าจะได้รับความเมตตา
133_00	และพวกเจ้าจงรีบเร่งกันไปสู่การอภัยโทษจากพระเจ้าของพวกเจ้า และไปสู่สวรรค์ซึ่งความกว้างของมันนั้น คือบรรดาชั้นฟ้าและแผ่นดิน โดยที่มันถูกเตรียมไว้สำหรับบรรดาผู้ที่ยำเกรง
134_00	คือบรรดาผู้ที่บริจาคทั้งในยามสุขสบาย และในยามเดือดร้อน และบรรดาผู้ข่มโทษและบรรดาผู้ให้อภัยแก่เพื่อนมนุษย์และอัลลอฮ์นั้นทรงรักผู้กระทำดีทั้งหลาย
135_00	บรรดาผู้ที่เมื่อพวกเขากระทำสิ่งชั่วใด ๆ หรือ อยุติธรรมแก่ตัวเองแล้ว พวกเขาก็รำลึกถึงอัลลอฮ์
135_01	แล้วขออภัยโทษในบรรดาความผิดของพวกเขา และใครเล่าที่จะอภัยโทษบรรดาความผิดทั้งหลายให้ได้ นอกจากอัลลอฮ์แล้ว และพวกเขามิได้ดื้อรั้นปฏิบัติในสิ่ง ที่เขาเคยปฏิบัติมาโดยที่พวกเขารู้กันอยู่
136_00	ชนเหล่านี้แหละการตอบแทนแก่พวกเขาคือการอภัยโทษจากพระเจ้าของพวกเขาและบรรดาสวนสวรรค์ ซึ่งมีแม่น้ำหลายสายไหลอยู่ภายในสวนเหล่านั้น โดยที่พวกเขาจะพำนักอยู่ในสวนเหล่านั้นตลอดกาล และรางวัลของผู้ทำงาน นั้นช่างเลิศจริงๆ
137_00	แน่นอนได้ผ่านพ้นมาแล้วก่อนพวกเจ้า ซึ่งแนวทางต่างๆ ดังนั้นพวกเจ้าจงท่องเที่ยวไปในแผ่นดิน แล้วจงดูว่าบั้นปลายของบรรดาผู้ปฏิเสธเป็นอย่างไร?
138_00	นี่คือข้อชี้แจงอันชัดเจสำหรับมนุษย์และเป็นคำแนะนำที่ถูกต้อง และเป็นคำตักเตือนสำหรับผู้ยำเกรงทั้งหลาย
139_00	และพวกเจ้าจงอย่าท้อแท้ และจงอย่าเสียใจ แลบพวกเจ้านั้นคือผู้ที่สูงส่งยิ่ง หากพวกเจ้าเป็นผู้ศรัทธา
140_00	หากประสบแก่พวกเจ้า ซึ่งบาดแผลหนึ่งบาดแผลใด แน่นอนก็ย่อมประสบแก่พวกนั้น ซึ่งบาดแผลเยี่ยงเดียวกัน
140_01	และบรรดาวันเหล่านั้นเราได้ให้มันหมุนเวียนไประหว่างมนุษย์ และเพื่ออัลลอฮ์จะได้ทรงรับรู้บรรดาผู้ที่ศรัทธา แลเพื่อเอาบรรดาผู้เสียชีวิตในสงคราม จากพวกเจ้าและอัลลอฮ์นั้นไม่ทรงรักใคร่ผู้อธรรมทั้งหลาย
141_00	เพื่อที่อัลลอฮ์จะทรงขัดเกลาบรรดาผู้ศรัทธาให้บริสุทธิ์ และทรงขจัดบรรดาผู้ปฏิเสธศรัทธาให้หมดไป
142_00	หรือว่าพวกเจ้าคิดว่า พวกเจ้าจะได้เข้าสวนสวรรค์ ทั้งๆ ที่อัลลอฮ์ยังมิได้ทรงรู้ บรรดาผู้ที่ต่อสู้(ญิฮาด) ในหมู่พวกเจ้าพร้อมกันนั้น พระองค์ก็จะทรงรู้บรรดาผู้ที่อดทนด้วย
143_00	และแน่นอนพวกเจ้า เคยปรารถนาความตาย ก่อนจากที่พวกเจ้าจะได้พบมัน แล้วแน่นอนพวกเจ้าก็ได้เห็นมันแล้ว ขณะที่พวกเจ้ามองดูกันอยู่
144_00	และมุฮัมมัดนั้นหาใช่อื่นมดไม่นอกจากเป็นร่อซูลผู้หนึ่งเท่านั้น ซึ่งบรรดาร่อซูลก่อนจากเขาก็ได้ล่วงลับไปแล้ว แล้วหากเขาตายไปหรือเขาถูกฆ่าก็ตาม พวกเจ้าก็หันสันเท้าของพวกเจ้ากลับกระนั้นหรือ?
144_01	และผู้ใดที่หันสันเท้าทั้งสองของเขากลับแล้วไซร้ มันก็จะไม่ก่อให้เกิดอันตรายแก่อัลลอฮ์แต่อย่างใดเลย และอัลลอฮ์นั้นจะทรงตอบแทนแก่ผู้กตัญญูทั้งหลาย
