001_00	ฏอ ซีน มีม
217_00	และจงมอบหมายต่อพระผู้ทรงเดชานุภาพผู้ทรงเมตตาเสมอ
218_00	ผู้ทรงเห็นเจ้าขณะที่เจ้ายืนอยู่
219_00	และการเคลื่อนไหวของเจ้าในหมู่ผู้สุญูด
220_00	แท้จริงพระองค์คือผู้ทรงได้ยิน ผู้ทรงรอบรู้เสมอ
221_00	ฉันจะบอกแก่พวกท่านไหมว่า? พวกมารชัยฏอนลงมาบนผู้ใด?
222_00	พวกมันลงมาบนทุกคนที่เป็นผู้โกหกผู้ทำบาปมาก
223_00	พวกมันจะเงี่ยหูฟัง และส่วนมากพวกมันเป็นผู้โกหก
224_00	และพวกกวีนั้น พวกหลงผิดจะปฏิบัติตามพวกเขา
225_00	เจ้าไม่เห็นดอกหรือว่า แท้จริงพวกเขานั้นเร่ร่อนไปในทุกหนแห่ง
226_00	และแท้จริงพวกเขานั้นพูดในสิ่งที่พวกเขาไม่ทำกระ
227_00	นอกจากบรรดาผู้ศรัทธาและปฏิบัติความดีทั้งหลายและรำลึกถึงอัลลอฮ์อย่างมาก และตอบโต้ป้องกัน
227_01	หลังจากที่พวกเขาถูกข่มเหง และบรรดาผู้อธรรมจะได้รู้ว่า ทางกลับอันใดที่พวกเขาจะกลับคืนสู่
