001_00	Alif, Lâm, Mìm.
165_01	Ma coloro che credono hanno per Allah un amore ben più grande. Se gli empi potessero vedere, quando vedranno il castigo, che tutta la forza è di Allah, e che Allah è implacabile nel castigo.
166_00	Quando, alla vista del castigo, i seguiti sconfesseranno i loro seguaci , quando ogni legame sarà spezzato.
167_00	diranno i seguaci: «Ah, se avessimo la possibilità di tornare indietro! Li abbandoneremmo come ci hanno abbandonati!».
167_01	Così Allah li metterà di fronte alle loro azioni affinché si rammarichino. Non usciranno dal Fuoco.
168_00	O uomini, mangiate ciò che è lecito e puro di quel che è sulla terra, e non seguite le orme di Satana. In verità egli è un vostro nemico dichiarato.
169_00	Certamente vi ordina il male e la turpitudine e di dire, a proposito di Allah, cose che non sapete.
170_00	E quando si dice loro: «Seguite quello che Allah ha fatto scendere», essi dicono: «Seguiremo piuttosto quello che seguivano i nostri antenati!».
170_01	E ciò anche se i loro antenati non comprendevano e non erano ben guidati.
171_00	I miscredenti sono come bestiame di fronte al quale si urla, ma che non ode che un indistinto richiamo. Sordi, muti, ciechi, non comprendono nulla.
172_00	O voi che credete, mangiate le buone cose di cui vi abbiamo provvisto e ringraziate Allah, se è Lui che adorate.
173_00	In verità vi sono state vietate le bestie morte, il sangue, la carne di porco e quello su cui sia stato invocato altro nome che quello di Allah.
173_01	E chi vi sarà costretto, senza desiderio o intenzione, non farà peccato. Allah è perdonatore, misericordioso.
174_00	Coloro che nascondono parti del Libro che Allah ha fatto scendere e lo svendono a vii prezzo , si riempiranno il ventre solo di fuoco.
174_01	Allah non rivolgerà loro la parola nel Giorno della Resurrezione e non li purificherà. Avranno un castigo doloroso.
175_00	Hanno scambiato la retta via con la perdizione e l'assoluzione con il castigo. Come sopporteranno il Fuoco.
176_00	Questo perché Allah ha fatto scendere il Libro con la Verità e coloro che dissentono a proposito del Libro si allontanano nello scisma.
177_00	La carità non consiste nel volgere i volti verso l'Oriente e l'Occidente, ma nel credere in Allah e nell'Ultimo Giorno, negli Angeli,
177_01	nel Libro e nei Profeti e nel dare, dei propri beni, per amore Suo,
177_02	ai parenti, agli orfani, ai poveri,
177_03	ai viandanti diseredati, ai mendicanti e per liberare gli schiavi; assolvere l'orazione e pagare la decima.
177_04	Coloro che mantengono fede agli impegni presi, coloro che sono pazienti nelle avversità e nelle ristrettezze, e nella guerra, ecco coloro che sono veritieri, ecco i timorati.
178_00	O voi che credete, in materia di omicidio vi è stato prescritto il contrappasso : libero per libero, schiavo per schiavo, donna per donna.
178_01	E colui che sarà stato perdonato da suo fratello, venga perseguito nella maniera più dolce e paghi un indennizzo : questa è una facilitazione da parte del vostro Signore, e una misericordia.
178_02	Ebbene, chi di voi, dopo di ciò, trasgredisce la legge, avrà un doloroso castigo.
179_00	Nel contrappasso c'è una possibilità di vita, per voi che avete intelletto. Forse diventerete timorati.
180_00	Quando la morte si avvicina a uno di voi, se lascia dei beni, gli è prescritto il testamento in favore dei genitori e dei parenti, secondo il buon uso. Questo è un dovere per i timorati.
181_00	E chi lo altererà dopo averlo ascoltato , ebbene il peccato grava su coloro che l'hanno alterato. Allah è audiente, sapiente.
182_00	Ma chi teme un'ingiustizia o un peccato da parte di un testatore, e ristabilisce la concordia , non avrà commesso peccato. Allah è perdonatore, misericordioso.
183_00	O voi che credete, vi è prescritto il digiuno come era stato prescritto a coloro che vi hanno preceduto. Forse diverrete timorati.
184_00	per un determinato numero di giorni. Chi però è malato o è in viaggio, digiuni in seguito altrettanti giorni.
184_01	Ma per coloro che potrebbero sopportarlo , c'è un'espiazione: il nutrimento di un povero. E se qualcuno dà di più, è un bene per lui. Ma è meglio per voi digiunare, se lo sapeste.
185_00	È nel mese di Ramadàn che abbiamo fatto scendere il Corano, guida per gli uomini e prova di retta direzione e distinzione.
185_01	Chi di voi ne testimoni digiuni.
185_02	E chiunque è malato o in viaggio assolva altrettanti giorni. Allah vi vuole facilitare e non procurarvi disagio, affinché completiate il numero dei giorni e proclamiate la grandezza di Allah Che vi ha guidato. Forse sarete riconoscenti.
186_00	Quando i Miei servi ti chiedono di Me, ebbene Io sono vicino! Rispondo all'appello di chi Mi chiama quando Mi invoca. Procurino quindi di rispondere al Mio richiamo e credano in Me, sì che possano essere ben guidati.
187_00	Nelle notti del digiuno vi è stato permesso di accostarvi alle vostre donne; esse sono una veste per voi e voi siete una veste per loro.
187_01	Allah sa come ingannavate voi stessi.
187_02	Ha accettato il vostro pentimento e vi ha perdonati.
187_03	Frequentatele dunque e cercate quello che Allah vi ha concesso.
187_04	Mangiate e bevete finché, all'alba, possiate distinguere il filo bianco dal filo nero; quindi digiunate fino a sera. Ma non frequentatele se siete in ritiro nelle moschee. Ecco i limiti di Allah, non li sfiorate! Così Allah spiega agli uomini i Suoi segni, affinché siano timorati.
188_00	Non divoratevi l'un l'altro i vostri beni, e non datene ai giudici affinché vi permettano di appropriarvi di una parte dei beni altrui, iniquamente e consapevolmente.
189_00	Quando ti interrogano sui noviluni rispondi: «Servono alle genti per il computo del tempo e per il Pellegrinaggio.
189_01	Non è una azione pia entrare in casa dalla parte posteriore , la pietà è nel timore di Allah. Entrate pure nelle case passando per le porte e temete Allah, affinché possiate essere tra coloro che prospereranno.
190_00	Combattete per la causa di Allah contro coloro che vi combattono, ma senza eccessi, ché Allah non ama coloro che eccedono.
191_00	Uccideteli ovunque li incontriate, e scacciateli da dove vi hanno scacciati: la persecuzione è peggiore dell'omicidio. Ma non attaccateli vicino alla Santa Moschea, fino a che essi non vi abbiano aggredito.
191_01	Se vi assalgono, uccideteli. Questa è la ricompensa dei miscredenti.
192_00	Se però cessano, allora Allah è perdonatore, misericordioso.
193_00	Combatteteli finché non ci sia più persecuzione e il culto sia ad Allah. Se desistono, non ci sia ostilità , a parte contro coloro che prevaricano.
194_00	Mese sacro per mese sacro e per ogni cosa proibita un contrappasso.
194_01	Aggredite coloro che vi aggrediscono. Temete Allah e sappiate che Allah è con coloro che Lo temono.
195_00	Siate generosi sul sentiero di Allah, non gettatevi da soli nella perdizione, e fate il bene, Allah ama coloro che compiono il bene.
196_00	E assolvete, per Allah, al Pellegrinaggio e alla Visita.
196_01	Se siete impediti a ciò, un'offerta di quel che potete e non rasatevi le teste prima che l'offerta sia giunta al luogo del sacrificio.
196_02	Se però siete malati o avete un morbo alla testa, vi riscatterete con il digiuno, con un'elemosina o con offerta sacrificale.
196_03	Quando poi sarete al sicuro, colui che si è desacralizzato tra la Visita e il Pellegrinaggio deve fare un sacrificio a seconda delle sue possibilità.
196_04	E chi non ne ha i mezzi digiuni per tre giorni durante il Pellegrinaggio e altri sette una volta tornato a casa sua, quindi in tutto dieci giorni. Questo per chi non ha famiglia nei pressi della Santa Moschea. Temete Allah e sappiate che Allah è severo nel castigo.
197_00	Il Pellegrinaggio avviene nei mesi ben noti. Chi decide di assolverlo, si astenga dai rapporti sessuali, dalla perversità e dai litigi durante il Pellegrinaggio.
197_01	Allah conosce il bene che fate. Fate provviste , ma la provvista migliore è il timor di Allah, e temete Me, voi che siete dotati di intelletto.
198_00	Non sarà per nulla peccato se cercherete di guadagnarvi la Grazia del vostro Signore.
198_01	Poi quando lasciate 'Arafa ricordatevi di Allah presso il Sacro Monumento. E ricordatevi di Lui, di come vi ha mostrato la Via, nonostante foste fra gli sviati.
199_00	Fate la marcia da dove la fanno tutti gli altri e chiedete perdono ad Allah. Allah è perdonatore misericordioso.
200_00	E quando avrete terminato i riti, ricordate Allah come ricordate i vostri padri e con maggior venerazione.
200_01	Ci sono persone che dicono: «Signore dacci le cose buone di questo mondo!». Questi non avranno parte nell'altra vita.
201_00	E ci sono persone che dicono: «Signor nostro! Dacci le cose buone di questo mondo e le cose buone dell'altra vita e allontanaci dal Fuoco!».
202_00	Questi avranno la parte che si saranno meritati. Allah è rapido al conto.
203_00	E ricordatevi di Allah nei giorni contati.
203_01	Ma non ci sarà peccato per chi affretta il ritorno dopo due giorni, e neppure per chi si attarda se teme Allah. Temete Allah e sappiate che sarete tutti ricondotti a Lui.
204_00	Tra gli uomini c'è qualcuno di cui ti piacerà l'eloquio a proposito della vita mondana; chiama Allah a testimone di quello che ha nel cuore, quando invece è un polemico inveterato.
205_00	quando ti volge le spalle, percorre la terra spargendovi la corruzione e saccheggiando le colture e il bestiame. E Allah non ama la corruzione.
206_00	E quando gli si dice: «Temi Allah», un orgoglio criminale lo agita. L'Inferno gli basterà, che tristo giaciglio.
207_00	Ma tra gli uomini ce n'è qualcuno che ha dato tutto se stesso alla ricerca del compiacimento di Allah. Allah è dolce con i Suoi servi.
208_00	O voi che credete! Entrate tutti nella Pace. Non seguite le tracce di Satana. In verità egli è il vostro dichiarato nemico.
209_00	Ma se cadete ancora, dopo che avete ricevuto le prove, sappiate allora che Allah è eccelso, saggio.
210_00	Forse aspettano che Allah venga, avvolto in ombre di nuvole e con gli angeli ? Ma tutto è ormai deciso ed è ad Allah che ritorna ogni cosa.
211_00	Chiedi ai figli di Israele quanti segni evidenti abbiamo inviato loro. Ebbene, chi altera il favore di Allah, dopo che esso gli è giunto, allora veramente Allah è violento nel castigo.
212_00	Ai miscredenti abbiamo reso piacevole la vita terrena ed essi scherniscono i credenti.
212_01	Ma coloro che saranno stati timorati saranno superiori a loro nel Giorno della Resurrezione. Allah dà a chi vuole, senza contare.
213_00	Gli uomini formavano un'unica comunità.
213_01	Allah poi inviò loro i profeti in qualità di nunzi e ammonitori; fece scendere su di loro la Scrittura con la verità, affinché si ponesse come criterio tra le genti a proposito di ciò su cui divergevano.
213_02	E disputarono, ribelli gli uni contro gli altri, proprio coloro che lo avevano.
213_03	Eppure erano giunte loro le prove! Allah, con la Sua volontà, guidò coloro che credettero a quella parte di Verità sulla quale gli altri litigavano. Allah guida chi vuole sulla retta Via.
214_00	Credete forse che entrerete nel Paradiso senza provare quello che provarono coloro che furono prima di voi?
214_01	Furono toccati da disgrazie e calamità e furono talmente scossi, che il Messaggero e coloro che erano con lui gridarono: «Quando verrà il soccorso di Allah?». Non è forse vicino il soccorso di Allah.
215_00	Ti chiederanno: «Cosa dobbiamo dare in elemosina?».
215_01	Di': «I beni che erogate siano destinati ai genitori, ai parenti, agli orfani, ai poveri e ai viandanti diseredati. E Allah conosce tutto il bene che fate».
216_00	Vi è stato ordinato di combattere, anche se non lo gradite.
216_01	Ebbene, è possibile che abbiate avversione per qualcosa che invece è un bene per voi, e può darsi che amiate una cosa che invece vi è nociva. Allah sa e voi non sapete.
217_00	Ti chiedono del combattimento nel mese sacro.
217_01	Di': «Combattere in questo tempo è un grande peccato, ma più grave è frapporre ostacoli sul sentiero di Allah e distogliere da Lui e dalla Santa Moschea.
217_02	Ma, di fronte ad Allah, peggio ancora scacciarne gli abitanti.
217_03	L'oppressione è peggiore dell'omicidio.
217_04	Ebbene, essi non smetteranno di combattervi fino a farvi allontanare dalla vostra religione, se lo potessero. E chi di voi rinnegherà la fede e morirà nella miscredenza, ecco chi avrà fallito in questa vita e nell'altra. Ecco i compagni del Fuoco: vi rimarranno in perpetuo».
218_00	In verità, coloro che hanno creduto, sono emigrati e hanno combattuto sulla via di Allah, questi sperano nella misericordia di Allah. Allah è perdonatore, misericordioso.
219_00	Ti chiedono del vino e del gioco d'azzardo. Di': «In entrambi c'è un grande peccato e qualche vantaggio per gli uomini, ma in entrambi il peccato è maggiore del beneficio!».
219_01	E ti chiedono: «Cosa dobbiamo dare in elemosina?». Di': «Il sovrappiù». Così Allah vi espone i Suoi segni, affinché meditiate
220_00	su questa vita e sull'altra. E ti interrogano a proposito degli orfani. Di': «Far loro del bene è l'azione migliore.
220_01	E se vi occupate dei loro affari, considerate che sono vostri fratelli!». Allah sa distinguere chi semina il disordine da chi fa il bene. Se Allah avesse voluto, vi avrebbe afflitti. Egli è potente e saggio.
221_00	Non sposate le associatrici finché non avranno creduto, ché certamente una schiava credente è meglio di una associatrice, anche se questa vi piace.
221_01	E non date spose agli associatori finché non avranno creduto, ché, certamente, uno schiavo credente è meglio di un associatore, anche se questi vi piace.
221_02	Costoro vi invitano al Fuoco, mentre Allah, per Sua grazia, vi invita al Paradiso e al perdono. E manifesta ai popoli i segni Suoi affinché essi li ricordino.
222_00	Ti chiederanno dei mestrui. Di': «Sono un danno.
222_01	Non accostatevi alle vostre spose durante i mestrui e non avvicinatele prima che si siano purificate. Quando poi si saranno purificate, avvicinatele nel modo che Allah vi ha comandato». In verità Allah ama coloro che si pentono e coloro che si purificano.
223_00	Le vostre spose per voi sono come un campo Venite pure al vostro campo come volete , ma predisponetevi ; temete Allah e sappiate che Lo incontrerete.
223_01	Danne la lieta novella ai credenti.
224_00	Con i vostri giuramenti non fate di Allah un ostacolo all'essere caritatevoli, devoti e riconciliatori fra gli uomini. Allah è Colui che tutto ascolta e conosce.
225_00	Allah non vi punirà per la leggerezza nei vostri giuramenti, vi punirà per ciò che i vostri cuori avranno espresso. Allah è perdonatore paziente.
226_00	Per coloro che giurano di astenersi dalle loro donne, è fissato il termine di quattro mesi. Se recedono, Allah è perdonatore, misericordioso.
227_00	Ma se poi decidono il divorzio, in verità Allah ascolta e conosce.
228_00	Le donne divorziate osservino un ritiro della durata di tre cicli , e non è loro permesso nascondere quello che Allah ha creato nei loro ventri, se credono in Allah e nell'Ultimo Giorno.
228_01	E i loro sposi avranno priorità se, volendosi riconciliare, le riprenderanno durante questo periodo.
228_02	Esse hanno diritti equivalenti ai loro doveri, in base alle buone consuetudini, ma gli uomini hanno maggior responsabilità.
228_03	Allah è potente, è saggio.
229_00	Si può divorziare due volte.
229_01	Dopo di che, trattenetele convenientemente o rimandatele con bontà; e non vi è permesso riprendervi nulla di quello che avevate donato loro , a meno che entrambi non temano di trasgredire i limiti di Allah.
229_02	Se temete di non poter osservare i limiti di Allah, allora non ci sarà colpa se la donna si riscatta.
229_03	Ecco i limiti di Allah, non li sfiorate. E coloro che trasgrediscono i termini di Allah, quelli sono i prevaricatori.
230_00	Se divorzia da lei non sarà più lecita per lui finché non abbia sposato un altro.
230_01	E se questi divorzia da lei, allora non ci sarà peccato per nessuno dei due se si riprendono, purché pensino di poter osservare i limiti di Allah. Ecco i limiti di Allah, che Egli manifesta alle genti che comprendono.
231_00	Quando divorziate dalle vostre spose, e sia trascorso il ritiro, riprendetele secondo le buone consuetudini o rimandatele secondo le buone consuetudini.
231_01	Ma non trattenetele con la forza, sarebbe una trasgressione e chi lo facesse mancherebbe contro se stesso.
231_02	Non burlatevi dei segni di Allah.
231_03	Ricordate i benefici che Allah vi ha concesso e ciò che ha fatto scendere della Scrittura e della Saggezza, con i quali vi ammonisce. Temete Allah e sappiate che in verità Allah conosce tutte le cose.
232_00	Quando divorziate dalle vostre spose, e sia trascorso il termine, non impedite loro di risposarsi con i loro ex mariti , se si accordano secondo le buone consuetudini. Questa è l'ammonizione per coloro di voi che credono in Allah e nell'Ultimo giorno.
232_01	Ciò è più decente per voi, e più puro. Allah sa e voi non sapete.
233_00	Per coloro che vogliono completare l'allattamento, le madri allatteranno per due anni completi.
233_01	Il padre del bambino ha il dovere di nutrirle e vestirle in base alla consuetudine.
233_02	Nessuno è tenuto a fare oltre i propri mezzi.
233_03	La madre non deve essere danneggiata a causa del figlio e il padre neppure.
233_04	Lo stesso obbligo per l'erede. E se, dopo che si siano consultati, entrambi sono d'accordo per svezzarlo, non ci sarà colpa alcuna. E se volete dare i vostri figli a balia, non ci sarà nessun peccato, a condizione che versiate realmente il salario pattuito, secondo la buona consuetudine. Temete Allah e sappiate che in verità Egli osserva quello che fate.
234_00	E coloro di voi che muoiono lasciando delle spose, queste devono osservare un ritiro di quattro mesi e dieci.
234_01	Passato questo termine non sarete responsabili del modo in cui dispongono di loro stesse, secondo la buona consuetudine. Allah è ben informato di quello che fate.
235_00	Non sarete rimproverati se accennerete a una proposta di matrimonio, o se ne coltiverete segretamente l'intenzione.
235_01	Allah sa che ben presto vi ricorderete di loro.
235_02	Ma non proponete loro il libertinaggio : dite solo parole oneste.
235_03	Ma non risolvetevi al contratto di matrimonio prima che sia trascorso il termine prescritto. Sappiate che Allah conosce quello che c'è nelle anime vostre e quindi state in guardia. Sappiate che in verità Allah è perdonatore, magnanimo.
236_00	Non ci sarà colpa se divorzierete dalle spose che non avete ancora toccato e alle quali non avete stabilito la dote.
236_01	Fate loro comunque, il ricco secondo le sue possibilità e il povero secondo le sue possibilità, un dono di cui possano essere liete, secondo la buona consuetudine. Questo è un dovere per chi vuol fare il bene.
237_00	Se divorzierete da loro prima di averle toccate ma dopo che abbiate fissato la dote, versate loro la metà di quello che avevate stabilito, a meno che esse non vi rinuncino o vi rinunci colui che ha in mano il contratto di matrimonio.
237_01	Se rinunciate voi, è comunque più vicino alla pietà.
237_02	Non dimenticate la generosità tra voi. In verità Allah osserva quello che fate.
238_00	Siate assidui alle orazioni e all'orazione mediana e, devotamente, state ritti davanti ad Allah.
239_00	Ma se siete in pericolo, in piedi o a cavallo. Poi, quando sarete al sicuro, ricordatevi di Allah, nel modo che vi ha insegnato quando ancora non sapevate.
240_00	Quelli di voi che moriranno lasciando delle mogli, un testamento a loro favore, assegnando loro un anno di mantenimento e di residenza.
240_01	Se esse vorranno andarsene, non sarete rimproverati per quello che faranno di sé in conformità alle buone consuetudini. Allah è potente e saggio.
241_00	Le divorziate hanno il diritto al mantenimento, in conformità alle buone consuetudini. Un dovere per i timorati.
242_00	Così Allah manifesta i Suoi segni affinché possiate capire.
243_00	Non hai forse visto coloro che uscirono dalle loro case a migliaia per timore della morte? Poi Allah disse: «Morite!».
243_01	E poi rese loro la vita. Allah è veramente pieno di grazia verso gli uomini, ma la maggior parte di loro non sono riconoscenti.
244_00	Combattete sulla via di Allah e sappiate che Allah è audiente, sapiente.
245_00	Chi fa ad Allah un prestito bello, Egli glielo raddoppia molte volte. È Allah che stringe apre. A Lui sarete ricondotti.
246_00	Non hai visto i notabili dei Figli di Israele quando, dopo Mosè, dissero al loro profeta : «Suscita tra noi un re, affinché possiamo combattere sul sentiero di Allah».
246_01	Disse: «E se non combatterete quando vi sarà ordinato di farlo?».
246_02	Dissero: «Come potremmo non combattere sulla via di Allah, quando ci hanno scacciato dalle nostre case, noi e i nostri figli?».
246_03	Ma quando fu loro ordinato di combattere, tutti voltarono le spalle, tranne un piccolo gruppo. Allah ben conosce gli iniqui.
247_00	E disse il loro profeta: «Ecco che Allah vi ha dato per re Saul».
247_01	Dissero: «Come potrà regnare su di noi?
247_02	Noi abbiamo più diritto di lui a regnare, e a lui non sono state concesse ricchezze!». Disse: «In verità Allah lo ha scelto tra voi e lo ha dotato di scienza e di prestanza». Allah dà il regno a chi vuole, Egli è immenso, sapiente.
248_00	E disse il loro profeta: «Il segno della sovranità sarà che verrà con l'Arca. Conterrà una presenza di pace da parte del vostro Signore, nonché quel che resta di ciò che lasciarono la famiglia di Mosè e la famiglia di Aronne.
248_01	Saranno gli angeli a portarla. Ecco un segno per voi, se siete credenti».
249_00	Mettendosi in marcia con le sue truppe Saul disse: «Ecco che Allah vi metterà alla prova per mezzo di un fiume: chi ne berrà non sarà dei miei, eccetto chi ne prenderà un sorso con il palmo della mano».
249_01	Tutti bevvero, eccetto un piccolo gruppo.
249_02	Poi, dopo che lui e coloro che erano credenti ebbero attraversato il fiume, gli altri dissero: «Oggi non abbiamo forza contro Golia e le sue truppe!».
249_03	Quelli che pensavano che avrebbero incontrato Allah dissero: «Quante volte, con il permesso di Allah, un piccolo gruppo ha battuto un grande esercito!». Allah è con coloro che perseverano.
250_00	E quando affrontarono Golia e le sue truppe dissero: «Signore, infondi in noi la perseveranza, fai saldi i nostri passi e dacci la vittoria sul popolo dei miscredenti».
251_00	E li misero in fuga con il permesso di Allah.
251_01	Davide uccise Golia e Allah gli diede la sovranità e la saggezza e gli insegnò quello che volle. Se Allah non respingesse alcuni per mezzo di altri, la terra sarebbe certamente corrotta, ma Allah è pieno di grazia per le creature.
252_00	Questi sono i Segni di Allah che ti recitiamo secondo verità. Invero tu sei uno degli inviati.
253_00	Tra i messaggeri, a taluni abbiamo dato eccellenza sugli altri.
253_01	A qualcuno Allah ha parlato, e altri li ha elevati a gradi superiori.
253_02	A Gesù, figlio di Maria, abbiamo dato prove chiare e lo abbiamo coadiuvato con lo Spirito puro.
253_03	E se Allah avesse voluto, quelli che vennero dopo di loro non si sarebbero uccisi tra loro, dopo aver ricevuto le prove. Ma caddero nel disaccordo: alcuni credettero e altri negarono. Se Allah avesse voluto, non si sarebbero uccisi tra loro; ma Allah fa quello che vuole.
254_00	O voi che credete, elargite di quello che vi abbiamo concesso, prima che venga il Giorno in cui non ci saranno più commerci, amicizie e intercessioni.
254_01	I negatori sono coloro che prevaricano.
255_00	Allah! Non c'è altro dio che Lui, il Vivente, l'Assoluto.
255_01	Non Lo prendon mai sopore né sonno. A Lui appartiene tutto quello che è nei cieli e sulla terra.
255_02	Chi può intercedere presso di Lui senza il Suo permesso? Egli conosce quello che è davanti a loro e quello che è dietro di loro e, della Sua scienza, essi apprendono solo ciò che Egli vuole. Il Suo Trono è più vasto dei cieli e della terra, e custodirli non Gli costa sforzo alcuno. Egli è l'Altissimo, l'Immenso.
256_00	Non c'è costrizione nella religione. La retta via ben si distingue dall'errore.
256_01	Chi dunque rifiuta l'idolo e crede in Allah, si aggrappa all'impugnatura più salda senza rischio di cedimenti. Allah è audiente, sapiente.
257_00	Allah è il patrono di coloro che credono, li trae dalle tenebre verso la luce.
257_01	Coloro che non credono hanno per patroni gli idoli che dalla luce li traggono alle tenebre. Ecco i compagni del Fuoco in cui rimarranno in eterno.
258_00	Non hai visto colui che per il fatto che Allah lo aveva fatto re, discuteva con Abramo a proposito del suo Signore ?
258_01	Quando Abramo disse: «Il mio Signore è Colui che dà la vita e la morte», rispose: «Sono io che do la vita e la morte!».
258_02	E Abramo: «Allah fa sorgere il sole da Oriente, fallo nascere da Occidente». Restò confuso il miscredente: Allah non guida i popoli che prevaricano.
259_00	O colui che passando presso una città in completa rovina: «Come potrà Allah ridarle la vita dopo che è morta?».
259_01	Allah allora lo fece morire per cento anni, poi lo resuscitò e gli chiese: «Quanto sei rimasto?».
259_02	Rispose: «Rimasi un giorno o una parte di esso».
259_03	«No, disse Allah, sei rimasto cento anni. Guarda il tuo cibo e la tua acqua, sono intatti; poi guarda il tuo asino, affinché tu divenga un segno per gli uomini. Guarda come riuniamo le ossa e come le rivestiamo di carne.» Davanti all'evidenza disse: «So che Allah è onnipotente».
260_00	E quando Abramo disse: «Signore, mostrami come resusciti i morti», Allah disse: «Ancora non credi?».
260_01	«Sì, disse Abramo, ma che il mio cuore si acquieti.»
260_02	Disse Allah: «Prendi quattro uccelli e falli a pezzi, poi mettine una parte su ogni monte e chiamali: verranno da te con volo veloce. Sappi che Allah è eccelso e saggio».
261_00	Quelli che con i loro beni sono generosi per la causa di Allah, sono come un seme da cui nascono sette spighe e in ogni spiga ci sono cento chicchi.
261_01	Allah moltiplica il merito di chi vuole Lui. Allah è immenso, sapiente.
262_00	Quelli che con i loro beni sono generosi per la causa di Allah senza far seguire il bene da rimproveri e vessazioni,
262_01	avranno la loro ricompensa presso il loro Signore, non avranno nulla da temere e non saranno afflitti.
263_00	Le buone parole e il perdono sono migliori deirelemosina seguita da vessazioni. Allah è Colui che non ha bisogno di nulla, è indulgente.
264_00	O voi che credete, non vanificate le vostre elemosine con rimproveri e vessazioni, come quello che dà per mostrarsi alla gente e non crede in Allah e nell'Ultimo Giorno.
264_01	Egli è come una roccia ricoperta di polvere sulla quale si rovescia un acquazzone e la lascia nuda.
264_02	Essi non avranno nessun vantaggio dalle loro azioni. Allah non guida il popolo dei miscredenti.
265_00	Coloro che invece elargiscono i loro averi per la soddisfazione di Allah e per rafforzarsi, saranno come un giardino su di un colle: quando l'acquazzone vi si rovescia raddoppierà i suoi frutti.
265_01	E se l'acquazzone non lo raggiunge, sarà allora la rugiada. Allah osserva quello che fate.
266_00	Chi di voi vorrebbe possedere un giardino di palme e vigne, dove scorrono i ruscelli e dove crescono per lui ogni specie di frutti e, colto dalla vecchiaia con i figli ancora piccoli, un uragano di fuoco investirlo e bruciarlo ?
266_01	Così Allah vi dichiara i Suoi segni, affinché meditiate.
267_00	O voi che credete, elargite le cose migliori che vi siete guadagnati e di ciò che Noi abbiamo fatto spuntare per voi dalla terra.
267_01	Non scegliete appositamente il peggio, ciò che accettereste soltanto chiudendo gli occhi Sappiate che Allah è Colui che non ha bisogno di nulla, il Degno di lode.
268_00	Satana vi minaccia di povertà e vi ordina l'avarizia, mentre Allah vi promette il perdono e la grazia, Allah è immenso, sapiente.
269_00	Egli dà la saggezza a chi vuole. E chi riceve la saggezza, ha ricevuto un bene enorme. Ma si ricordano di ciò solo coloro che sono dotati di intelletto.
270_00	Quali che siano i beni che darete in elemosina, o i voti che avete fatto, Allah li conosce. E per gli iniqui non ci saranno soccorritori.
271_00	Se lasciate vedere le vostre elargizioni, è un bene; ma è ancora meglio per voi, se segretamente date ai bisognosi; espierà una parte dei vostri peccati.
271_01	Allah è ben informato su quello che fate.
272_00	Non sta a te guidarli, ma è Allah che guida chi vuole.
272_01	E tutto quello che darete nel bene sarà a vostro vantaggio, se darete solo per tendere al Volto di Allah. E tutto quello che darete nel bene vi sarà restituito e non subirete alcun torto.
273_00	ai poveri che sono assediati per la causa di Allah, che non possono andare per il mondo a loro piacere. L'ignorante li crede agiati perché si astengono dalla mendicità.
273_01	Li riconoscerai per questo segno, che non chiedono alla gente importunandola. E tutto ciò che elargirete nel bene, Allah lo conosce.
274_00	Quelli che di giorno o di notte, in segreto o apertamente, danno dei loro beni, avranno la ricompensa presso il loro Signore, non avranno nulla da temere e non saranno afflitti.
275_00	Coloro invece che si nutrono di usura resusciteranno come chi sia stato toccato da Satana. E questo perché dicono: «Il commercio è come la usura!».
275_01	Ma Allah ha permesso il commercio e ha proibito l'usura. Chi desiste dopo che gli è giunto il monito del suo Signore, tenga per sé quello che ha e il suo caso dipende da Allah.
275_02	Quanto a chi persiste, ecco i compagni del Fuoco. Vi rimarranno in perpetuo.
276_00	Allah vanifica l'usura e fa decuplicare l'elemosina. Allah non ama nessun ingrato peccatore.
277_00	In verità coloro che avranno creduto e avranno compiuto il bene, avranno assolto l'orazione e versato la decima, avranno la loro ricompensa presso il loro Signore.
277_01	Non avranno nulla da temere e non saranno afflitti.
278_00	O voi che credete, temete Allah e rinunciate ai profitti dell'usura se siete credenti.
279_00	Se non lo farete vi è dichiarata guerra da parte di Allah e del Suo Messaggero; se vi pentirete, conserverete il vostro patrimonio. Non fate torto e non subirete torto.
280_00	Chi è nelle difficoltà, abbia una dilazione fino a che si risollevi. Ma è meglio per voi se rimetterete il debito, se solo lo sapeste.
281_00	E temete il giorno in cui sarete ricondotti verso Allah. Allora ogni anima avrà quello che si sarà guadagnato. Nessuno subirà un torto.
282_00	O voi che credete, quando contraete un debito con scadenza precisa, mettetelo per iscritto; che uno scriba tra di voi lo metta per iscritto, secondo giustizia.
282_01	Lo scriba non si rifiuti di scrivere secondo quel che Allah gli ha insegnato; che scriva dunque e sia il contraente a dettare, temendo il suo Signore Allah e badi a non diminuire in nulla.
282_02	Se il debitore è deficiente, o minorato o incapace di dettare lui stesso, detti il suo procuratore secondo giustizia.
282_03	Chiamate a testimoni due dei vostri uomini o in mancanza di due uomini, un uomo e due donne, tra coloro di cui accettate la testimonianza, in maniera che, se una sbagliasse l'altra possa rammentarle.
282_04	E i testimoni non rifiutino quando sono chiamati.
282_05	Non fatevi prendere da pigrizia nello scrivere il debito e il termine suo, sia piccolo o grande.
282_06	Questo è più giusto verso Allah, più corretto nella testimonianza e atto ad evitarvi ogni dubbio; a meno che non sia una transazione che definite immediatamente tra voi: in tal caso non ci sarà colpa se non lo scriverete.
