001_00	Yã kũ waɗanda suka yi ĩmãni! ku cika alkawurra.
089_00	Allah bã Ya kãmã ku sabõda yãsassa a cikin rantsuwõyinku, kuma amma Yanã kãmã ku da abin da kuka ƙudurta rantsuwõyi (a kansa).
089_01	To, kaffãrarsa ita ce ciyar da miskĩni gõma daga matsakaicin abin da kuke ciyar da iyãlanku, kõ kuwa tufãtar da su, kõ kuwa 'yantãwar wuya.
089_02	Sa'an nan wanda bai sãmu ba, sai azumin kwãna uku.
089_03	wannan ne kaffãrar rantsuwõyinku, idan kun rantse. Kuma ku kiyãye rantsuwoyinku. Kamar wannan ne Allah Yake bayyana muku ãyoyinsa, tsammãninku kunã gõdewa.
090_00	Ya ku waɗanda suka yi ĩmãni! Abin sani kawai, giya da cãca da refu da kiban ƙuri'a, ƙazanta ne daga aikin shaiɗan, sai ku nĩsance shi, wa la'alla ku ci nasara.
091_00	Abin sani kawaĩ Shaiɗan yanã nufin ya aukar da adãwa da ƙeta a tsakãninku, a cikin giya da cãca, kuma ya kange ku daga ambaton Allah, kuma daga sallah.
091_01	To, shin, ku mãsu hanuwa ne?
092_00	Ku yi ɗã'a ga Allah, kuma ku yi ɗã'a ga Manzo, kuma ku kiyãye. To, idan kun jũya, to, ku sani abin da kawai yake kan ManzonMu, iyarwa bayyananniya.
093_00	Bãbu laifi a kan waɗanda suka yi ĩmãni, kuma suka aikata ayyukan ƙwarai, a cikin abin da suka ci, idan sun yi taƙawa kuma suka yi ĩmãni, kuma suka aikata ayyukan ƙwarai,
093_01	sa'an nan suka yi taƙawa kuma suka yi ĩmãni, sa'an nan kuma suka yi taƙawa kuma suka kyautata. Kuma Allah Yana son mãsu kyautatãwa.
094_00	Yã ku waɗanda suka yi ĩmãni! Lalle ne, Allah zai jarraba ku da wani abu, daga farauta, hannuwanku da mãsunku sunã sãmun sa dõmin Allah Ya san wanda yake tsoron Sa a fake.
094_01	To, wanda ya yi ta'addi a bãyan wannan, to, yanã da azãba mai raɗaɗi.
095_00	Yã ku waɗanda suka yi ĩmãni! Kada ku kashe farauta alhãli kunã mãsu harama.
095_01	Kuma wanda ya kashe shi daga gare ku, yanã mai ganganci, sai sakamako misãlin abin da ya kashe, daga dabbõbin ni'ima, ma'abuta ãdalci biyu daga cikinku sunã yin hukunci da shi.
095_02	Ya zama hadaya mai isa ga Ka'aba ko kuwa kaffãra da abincin miskĩnai ko kuwa a matsayinsa ya yi azumi dõmin ya ɗanɗani masifar al'amarinsa.
095_03	Allah Yã yafe laifi daga abin da ya gabãta. Kuma wanda ya kõma, to, Allah zai yi azãbar rãmuwa daga gare shi, kuma Allah Mabuwãyi ne, ma'abũcin azabãr rãmuwa.
096_00	An halatta muku farautar ruwa da abincinsa dõmin jin dãɗi a gare ku, kuma dõmin matafiya.
096_01	Kuma an haramta farautar tudu a kanku, matuƙar kun dawwama mãsu harama. Kuma ku bi Allah da taƙawa, wanda yake zuwa gare Shi ne ake tãra ku.
097_00	Allah Ya sanya Ka'aba ¦aki Tsararre, ma'aunin addini ga mutane, kuma Yã sanya watã Mai alfarma da hadaya da rãtayõyin A
097_01	llah Yã san abin da yake a cikin sammai da abin da yake a cikin ƙasa, kuma cewa lalle Allah, ga dukkan, kõme, Masani ne.
098_00	Ku sani cewa lalle Allah Mai tsananin uƙuba ne, kuma lalle Allah Mai gãfara ne, Mai jin ƙai.
099_00	Bãbu abin da yake a kan Manzo, sai iyarwa, kuma Allah Yanã sanin abin da kuke bayyanãwa da abin da kuke ɓõyewa.
100_00	Ka ce: "Mummuna da mai kyau bã su daidaita, kuma kõ dã yawan mummuan yã bã ka sha'awa. Sabõda haka ku bi Allah da taƙawa, yã ma'abuta hankula ko la'alla zã ku ci nasara."
101_00	Yã ku waɗanda suka yi ĩmãni! Kada ku yi tambaya ga abubuwa, idan an bayyana muku (hukuncinsu) su ɓãta muku rai.
101_01	Kuma idan kuka yi tambaya a gare su a lõkacin da ake saukar da Alƙur'ãni, zã a bayyana maku. Allah Yã yãfe laifi daga gare su, Allah Mai gãfara ne, Mai haƙuri.
102_00	Lalle ne wasu mutãne sun tambaye su daga gabãninku, sa'an nan kuma suka wãyi gari da su sanã kãfirai.
103_00	Kuma Allah bai sanya wata bahĩra ba, kuma haka sã'iba, kuma haka wasĩla, kuma haka hãmi, a
103_01	mma waɗanda suka kãfirta, su suke ƙirƙira ƙarya ga Allah, kuma mafi yawansu bã su hankalta.
104_00	Kuma idan aka ce musu: "Ku zo zuwa ga abin da Allah Ya saukar, kuma zuwa ga Manzo,"
104_01	sai su ce: "Mai isarmu shi ne abin da muka iske ubanninmu a kansa." Shin, kuma kõ dã ubanninsu sun kasance bã su sanin kõme kuma bã su shiryuwa?
105_00	Yã ku waɗanda suka yi ĩmãni! Ku lazimci rãyukanku, wanda ya ɓace bã zai cuce ku ba idan kun shiryu,
105_01	zuwa ga Allah makõmarku take gabã ɗaya. Sa'an nan Ya bã ku lãbari ga abin da kuka kasance kunã aikatãwa.
106_00	Yã ku waɗanda suka yi ĩmãni!
106_01	Shaidar tsakãninku, idan mutuwa ta halarci ɗayanku, a lõkacin wasiyya, maza biyu ne ma'abuta ãdalci daga gare ku, kõ kuwa wasu biyu daga wasunku idan kun tafi a cikin ƙasa sa'an nan masĩfarmutuwa ta sãme ku.
106_02	Kunã tsare su daga bãyan salla har su yi rantsuwa da Allah; idan kun yi shakka: "Bã mu sayen kuɗi da shi, kõ dã ya kasance ma'abucin zumunta kuma bã mu ɓõye shaidar Allah.
106_03	Lalle ne mu, a lõkacin, haƙĩƙa, munã daga mãsu zunubi."
107_00	To, idan aka gane cewa lalle sũ, sun cancanci zunubi to sai wasu biyu su tsayu matsayibsu daga waɗanda suka karɓa daga gare su, mutãne biyu mafiya cancanta,
107_01	sa'an nan su yi rantsuwa da Allah: "Lalle ne shaidarmu ce mafi gaskiya daga shaidarsu, kuma ba mu yi zãlunci ba. Lalle mu, a lõkacin haƙĩƙa, munã daga azzãlumai."
108_00	Wannan ne mafi kusantar su zo da shaida a kan fuskarta kõ kuwa su yi tsõron a tũre rantsuwõyi a bãyan rantsuwõyinsu.
108_01	Kuma ku bi Allah da taƙawa kuma ku saurara, kuma Allah bã Ya shiryar da mutãne fãsiƙai.
109_00	A ranar da Allah Yake tãra manzanni sa'an nan Ya ce: "Mene ne aka karɓa muku?" (zã) su ce: "Bãbu ilmi a gare mu. Lalle ne Kai, Kai ne Masanin abubuwan fake."
110_00	A lõkacin da Allah Ya ce: "Yã Ĩsã ɗan Maryama! Ka tuna ni'ima Ta a kanka, kuma a kan mahaifiyarka, a lõkacin da Na ƙarfafa ka da Rũhul ¡udusi,
110_01	kan ã yiwa mutãne magana a cikin shimfiɗar jariri, da kuma kanã dattijo.
110_02	Kuma a lõkacin da Na sanar da kai rubutu da hikima da Attaura da Injĩla, kuma
110_03	a lõkacin da kake yin halitta daga lãkã kamar surar tsuntsu da izinĩNa, sa'an nan ka hura a cikinta sai ta zama tsuntsu da izinĩNa, kuma kanã war kar da haifaffen makaho da kuturu, da izinĩNa,
110_04	kuma a lõkacin da kake fitar da matattu da izinĩNa, kuma a lõkacin da Na kange Banĩ Isrã'ĩla daga g are ka, a lõkacin da ka je musu da hujjõji bayyanannu, sai waɗanda suka kãfirta daga cikinsu suka ce: 'Wannan bã kõme ba ne, fãce sihiri bayyananne.'
111_00	"Kuma a lõkacin da Na yi wahayi zuwa ga Hawãriyãwa cewa ku yi ĩmãni da Ni, kuma da ManzoNa. Suka ce: "Mun yi ĩmãni, kuma ka shaida da cewa lalle mu, mãsu sallamãwa ne."
112_00	A lõkacin da Hawarãyãwa suka ce: "Ya Ĩsa ɗan Maryam! shin, Ubangijinka Yanã iyãwa Ya saukar da kaɓaki a kanmu daga samã?"
112_01	(Ĩsã) Ya ce: "Ku bi Allah da taƙawa idan kun kasance muminai."
113_00	Suka ce: "Munã nufin mu ci daga gare shi ne, kuma zukãtanmu su natsu kuma mu san cewa lalle ne, kã yi mana gaskiya, kuma mu kasance daga mãsu shaida a kansa."
114_00	Ĩsã ɗan Maryam ya ce: "Yã Allah. Ubangijinmu! Ka saukar da kaɓaki a kanmu daga sama dõmin ya zama ĩdi ga na farkonmu da na ƙarshenmu,
114_01	kuma ya zama ãyã daga gare Ka. Ka azurta mu, kuma Kai ne Mafĩfĩcin mãsu azurtawa."
115_00	Allah Ya ce: "Lalle ne Nĩ mai saukar da shi ne a kanku sa'an nan wanda ya kãfirta daga gare ku, to, lalle ne Nĩ, Inã azabta shi, da wata azãba wadda bã Ni azabta ta ga kõwa daga tãlikai."
116_00	Kuma a lõkacin da Allah Ya ce: "Yã Ĩsã ɗan Maryama! Shin, kai ne ka ce wa mutãne, 'Ku riƙe ni, ni da uwata, abubuwan bautãwa biyu, baicin Allah?" (Ĩsã) Ya ce: "Tsarkinka yã tabbata!
116_01	Bã ya kasancewa a gare ni, in faɗi abin da bãbu wani hakki a gare ni. Idan nã kasance nã faɗe shi, to lalle Ka san shi, Kanã sanin abin da ke a cikin raina, kuma bã ni sanin abin da ke a cikin nufinKa.
116_02	Lalle ne Kai Masanin abubuwan fake ne."
117_00	"Ban faɗa musu ba fãce abin da Ka umurce ni da shi; watau: 'Ku bauta wa Allah Ubangijina kuma Ubangijinku;' kuma nã kasance mai shaida a kansu ma
117_01	tuƙar nã dawwama a cikinsu, sa'an nan a lõkacin da Ka karɓi raina Kã kasance Kai ne mai tsaro a kansu, kuma Kai, a kan dukkan kõme, Halartacce ne.
118_00	"Idan Ka azabta su, to lalle ne su, bãyinKa ne, kuma idan Ka gãfarta musu, to, lalle ne Kai ne Mabuwayi Mai hikima."
119_00	Allah Ya ce: "Wannan ce rãnar da mãsu gaskiya, gaskiyarsu take amfãninsu. Sunã da gidãjen Aljanna, ƙõramu sunã gudãna daga ƙarƙashinsu, sunã madawwama a cikinsu har abada.
119_01	Allah Yã yarda da su, kuma sun yarda da Shi. wannan ne babban rabo mai girma."
120_00	Allah ne da mallakar sammai da ƙasa da abin da ke a cikinsu kuma shi, a kan dukkan kõme Mai ĩkon yi ne.
