001_00	Alif-Lam-Mim
139_00	Und werdet nicht schwach noch seid traurig, wo ihr doch die Oberhand haben werdet, wenn ihr gläubig seid.
140_00	Wenn euch eine Wunde zugefügt worden ist, so ist dem (ungläubigen) Volk schon eine gleiche Wunde zugefügt worden.
140_01	Und diese Tage (des Kriegsglücks) lassen Wir unter den Menschen wechseln, - damit Allah diejenigen, die glauben, kennt und (damit) Er Sich von euch (Blut)zeugen nimmt. Und Allah liebt nicht die Ungerechten.
141_00	Und damit Allah diejenigen, die glauben, herausstellt und die Ungläubigen dahinschwinden läßt.
142_00	Oder meint ihr etwa, daß ihr in den (Paradies)garten eingehen werdet, noch ehe Allah diejenigen von euch kennt, die unter euch sich (für Seine Sache) abmühen, und die Standhaften kennt?
143_00	Und ihr habt euch ja wiederholt den Tod gewünscht, bevor ihr ihm begegnet seid. Nun habt ihr ihn mit eigenen Augen geschaut.
144_00	Und Muhammad ist doch nur ein Gesandter, vor dem schon Gesandte vorübergegangen sind. Wenn er nun stirbt oder getötet wird, werdet ihr euch (dann) auf den Fersen umkehren?
144_01	Und wer sich auf den Fersen umkehrt, wird Allah keinerlei Schaden zufügen. Aber Allah wird (es) den Dankbaren vergelten.
145_00	Keiner Seele ist es möglich zu sterben, außer mit Allahs Erlaubnis (und) nach einer befristeten Vorbestimmung.
145_01	Wer die Belohnung des Diesseits will, dem geben Wir (etwas) von ihm; und wer die Belohnung des Jenseits will, dem geben Wir (etwas) von ihm. Und Wir werden (es) den Dankbaren vergelten.
146_00	Und mit wie vielen Propheten zusammen kämpften zahlreiche Bekenner des Herrn! Doch sie gaben nicht auf ob dessen, was sie auf Allahs Weg traf, noch wurden sie schwach, noch unterwarfen sie sich.
146_01	Und Allah liebt die Standhaften.
147_00	Ihre Worte waren nichts anderes, als daß sie sagten: "Unser Herr, vergib uns unsere Sünden und die Maßlosigkeit in unserer Angelegenheit, festige unsere Füße und hilf uns gegen das ungläubige Volk!"
148_00	Da gab Allah ihnen die Belohnung des Diesseits und die schöne Belohnung des Jenseits. Und Allah liebt die Gutes Tuenden.
149_00	O die ihr glaubt, wenn ihr denen, die ungläubig sind, gehorcht, lassen sie euch auf den Fersen kehrtmachen, und dann werdet ihr als Verlierer zurückkehren.
150_00	Nein! Vielmehr ist Allah euer Schutzherr; und Er ist der beste Helfer.
151_00	Wir werden in die Herzen derjenigen, die ungläubig sind, Schrecken einjagen dafür, daß sie Allah (andere Götter) beigesellt haben, wozu Er keine Ermächtigung offenbart hat. Ihr Zufluchtsort wird das (Höllen)feuer sein - ein schlimmer Aufenthaltsort für die Ungerechten!
152_00	Allah hat ja Sein Versprechen euch gegenüber gehalten, als ihr sie mit Seiner Erlaubnis vernichtetet, bis daß ihr den Mut verlort und über die Angelegenheit miteinander strittet und euch widersetztet, nachdem Er euch gezeigt hatte, was euch lieb ist. - Unter euch gibt es manche, die das Diesseits wollen; unter euch gibt es aber auch manche, die das Jenseits wollen.
152_01	- Hierauf wandte Er euch von ihnen ab, um euch zu prüfen.
152_02	Nun hat Er euch wahrlich schon verziehen, denn Allah ist voll Huld gegen die Gläubigen.
153_00	Als ihr fortlieft und euch nach niemandem umdrehtet, während der Gesandte euch von hinten her rief.
153_01	Da belohnte Er euch mit Kummer für (den) Kummer (des Propheten), damit ihr weder traurig wäret über das, was euch entgangen war, noch über das, was euch getroffen hatte. Und Allah ist Kundig dessen, was ihr tut.
154_00	Dann sandte Er nach dem Kummer Sicherheit auf euch herab, Schläfrigkeit, die einen Teil von euch überkam, während ein (anderer) Teil um sich selbst besorgt war, indem sie von Allah in Gedanken der Unwissenheit dachte, was dem Wahren nicht entspricht.
154_01	Sie sagten: "Haben wir denn irgend etwas in der Angelegenheit (zu entscheiden gehabt)?" Sag: Die Angelegenheit ist ganz und gar (in) Allahs (Entscheidung).
154_02	Sie halten in ihrem Innersten verborgen, was sie dir nicht offenlegen; sie sagen: "Wenn wir etwas von der Angelegenheit (zu entscheiden) hätten, würden wir hier nicht getötet."
154_03	Sag: Wenn ihr auch in euren Häusern gewesen wäret, wären diejenigen, denen der Tod vorgezeichnet war, an den Stellen erschienen, wo sie (als Gefallene) liegen sollten, - damit Allah prüfe, was in euren Brüsten und herausstellt, was in euren Herzen ist.
154_04	Und Allah weiß über das Innerste der Brüste Bescheid.
155_00	Gewiß, diejenigen von euch, die sich an dem Tag, da die beiden Heere aufeinandertrafen, abkehrten, ließ nur der Satan straucheln durch etwas von dem, was sie begangen hatten.
155_01	Aber wahrlich, nun hat Allah ihnen verziehen. Allah ist Allvergebend und Nachsichtig.
156_00	O die ihr glaubt, seid nicht wie diejenigen, die ungläubig sind und von ihren Brüdern, wenn sie im Lande umhergereist sind oder sich auf einem Kriegszug befunden haben, sagen: "Wenn sie bei uns geblieben wären, wären sie nicht gestorben und nicht getötet worden",
156_01	damit Allah dies zu einer gramvollen Reue in ihren Herzen mache. Allah macht lebendig und läßt sterben. Und was ihr tut, sieht Allah wohl.
157_00	Und wenn ihr auf Allahs Weg getötet werdet oder sterbt, so sind Vergebung von Allah und Erbarmen fürwahr besser als (all) das, was sie zusammentragen.
158_00	Und wenn ihr sterbt oder getötet werdet, so werdet ihr fürwahr zu Allah versammelt werden.
159_00	Durch Erbarmen von Allah bist du mild zu ihnen gewesen; wärst du aber schroff und hartherzig, so würden sie wahrlich rings um dich auseinandergelaufen. So verzeihe ihnen, bitte für sie um Vergebung und ziehe sie in den Angelegenheiten zu Rate.
159_01	Und wenn du dich entschlossen hast, dann verlasse dich auf Allah! Gewiß, Allah liebt die sich (auf Ihn) Verlassenden.
160_00	Wenn Allah euch zum Sieg verhilft, so kann euch keiner besiegen. Doch wenn Er euch im Stich läßt, wer ist es denn, der euch dann, nach Ihm, noch helfen könnte? Und auf Allah sollen sich die Gläubigen verlassen.
161_00	Es steht keinem Propheten zu, (etwas) zu veruntreuen. Und wer (etwas) veruntreut, wird das, was er veruntreut hat, am Tag der Auferstehung bringen. Dann wird jeder Seele in vollem Maß zukommen, was sie verdient hat, und es wird ihnen kein Unrecht zugefügt.
162_00	Ist denn jemand, der Allahs Wohlgefallen folgt, wie einer, der sich Allahs Mißfallen zuzieht und dessen Zufluchtsort die Hölle ist? - Ein schlimmer Ausgang!
163_00	Sie nehmen (unterschiedliche) Rangstufen bei Allah ein. Und Allah sieht wohl, was sie tun.
164_00	Allah hat den Gläubigen wirklich eine Wohltat erwiesen, als Er unter ihnen einen Gesandten von ihnen selbst geschickt hat, der ihnen Seine Zeichen verliest, und sie läutert und sie das Buch und die Weisheit lehrt,
164_01	obgleich sie sich zuvor wahrlich in deutlichem Irrtum befanden.
165_00	Ist es nicht (so), daß, als euch ein Unglück traf, obwohl ihr (den Feind) mit einem zweimal so großen getroffen hattet, ihr sagtet: "Woher kommt das?" Sag: Es kommt von euch selbst. Gewiß, Allah hat zu allem die Macht.
166_00	Und was euch an dem Tag traf, da die beiden Heere aufeinandertrafen, so (geschah) das mit Allahs Erlaubnis, - damit Er die Gläubigen kennt
167_00	und damit Er diejenigen kennt, die heucheln, zu denen gesagt wurde: "Kommt her und kämpft auf Allahs Weg oder wehrt ab", worauf sie sagten: "Wenn wir zu kämpfen wüßten, würden wir euch wahrlich folgen."
167_01	Sie waren an jenem Tag dem Unglauben näher als dem Glauben. Sie sagen mit ihren Mündern, was nicht in ihren Herzen ist. Doch Allah weiß sehr wohl, was sie verbergen.
168_00	Diejenigen, die von ihren Brüdern sagten, während sie (selbst daheim) sitzen blieben: "Wenn sie uns gehorcht hätten, wären sie nicht getötet worden". Sag: So wehrt den Tod von euch selbst ab, wenn ihr wahrhaftig seid!
169_00	Und meine ja nicht, diejenigen, die auf Allahs Weg getötet worden sind, seien (wirklich) tot. Nein! Vielmehr sind sie lebendig bei ihrem Herrn und werden versorgt
170_00	und sind froh über das, was Allah ihnen von Seiner Huld gewährt hat, und sind glückselig über diejenigen, die sich nach ihnen noch nicht angeschlossen haben, daß keine Furcht über sie kommen soll, noch sie traurig sein sollen.
171_00	Sie sind glückselig über eine Gunst von Allah und eine Huld und (darüber), daß Allah den Lohn der Gläubigen nicht verlorengehen läßt.
172_00	Diejenigen, die auf Allah und den Gesandten hörten, nachdem ihnen eine Wunde zugefügt worden war - für diejenigen unter ihnen, die Gutes tun und gottesfürchtig sind, wird es großartigen Lohn geben.
173_00	Diejenigen, zu denen die Menschen sagten: "Die Menschen haben (sich) bereits gegen euch versammelt; darum fürchtet sie!" - Doch da mehrte das (nur) ihren Glauben, und sie sagten: "Unsere Genüge ist Allah, und wie trefflich ist der Sachwalter!"
174_00	So kehrten sie mit einer Gunst von Allah und einer Huld zurück, ohne daß ihnen etwas Böses widerfahren war. Sie folgten Allahs Wohlgefallen, und Allah ist voll großer Huld.
175_00	Dies ist nur der Satan, der (euch) mit seinen Gefolgsleuten Furcht einzuflößen sucht. Fürchtet sie aber nicht, sondern fürchtet Mich, wenn ihr gläubig seid!
176_00	Und lasse dich nicht durch jene traurig machen, die im Unglauben dahineilen! Sie werden Allah gewiß keinerlei Schaden zufügen. Allah will, daß ihnen im Jenseits kein Anteil zugewiesen wird.
176_01	Für sie wird es gewaltige Strafe geben.
177_00	Diejenigen, die den Unglauben für den Glauben erkauft haben, werden Allah keinerlei Schaden zufügen, und für sie wird es schmerzhafte Strafe geben.
178_00	Und diejenigen, die ungläubig sind, sollen ja nicht meinen, daß das, was Wir ihnen an Aufschub gewähren, gut für sich selbst sei. Wir gewähren ihnen nur Aufschub, damit sie an Sünde zunehmen, und für sie gibt es schmachvolle Strafe.
179_00	Nimmer wird Allah die Gläubigen in dem (Zustand) belassen, in dem ihr euch befindet, bis Er das Schlechte vom Guten gesondert hat.
179_01	Und nimmer wird Allah euch Einblick in das Verborgene gewähren, doch Allah erwählt von Seinen Gesandten, wen Er will.
179_02	So glaubt an Allah und Seine Gesandten! Und wenn ihr glaubt und gottesfürchtig seid, dann wird es für euch großartigen Lohn geben.
180_00	Und diejenigen, die mit dem geizen, was Allah ihnen von Seiner Huld gewährt hat, sollen ja nicht meinen, das sei (so) besser für sie. Nein! Vielmehr ist es schlecht für sie.
180_01	Mit dem, womit sie gegeizt haben, werden sie am Tag der Auferstehung umschlungen werden. Und Allah gehört das Erbe der Himmel und der Erde, und Allah ist dessen, was ihr tut, Kundig.
181_00	Allah hat ja die Worte derjenigen gehört, die sagten: "Allah ist gewiß arm, und wir sind reich." Wir werden aufschreiben, was sie sagten,
181_01	und daß sie die Propheten zu Unrecht töteten; und Wir werden zu ihnen sagen "Kostet die Strafe des Brennens!
182_00	Dies (geschieht) wegen dessen, was eure Hände vorausgeschickt haben, und deshalb, weil Allah keiner ist, der den Menschen Unrecht zufügt."
183_00	(Es sind) diejenigen, die sagten: "Allah hat uns verpflichtet, keinem Gesandten zu glauben, bis er uns ein Opfer bringt, das vom Feuer verzehrt wird." Sag: Schon vor mir sind Gesandte mit klaren Beweisen zu euch gekommen und mit dem, wovon ihr spracht.
183_01	Warum habt ihr sie dann getötet, wenn ihr wahrhaftig seid?"
184_00	Wenn sie dich der Lüge bezichtigen, so sind bereits Gesandte vor dir der Lüge bezichtigt worden, die mit den klaren Beweisen, den Büchern der Weisheit und den erleuchtenden Büchern kamen.
185_00	Jede Seele wird den Tod kosten. Und erst am Tag der Auferstehung wird euch euer Lohn in vollem Maß zukommen.
185_01	Wer dann dem (Höllen)feuer entrückt und in den (Paradies)garten eingelassen wird, der hat fürwahr einen Erfolg erzielt. Und das diesseitige Leben ist nur trügerischer Genuß.
186_00	Ihr werdet ganz gewiß in eurem Besitz und in eurer eigenen Person geprüft werden, und ihr werdet ganz gewiß von denjenigen, denen die Schrift vor euch gegeben wurde, und denen, die (Allah etwas) beigesellen, viel Beleidigendes zu hören bekommen.
186_01	Doch wenn ihr standhaft und gottesfürchtig seid, so gehört dies gewiß zur Entschlossenheit (in der Handhabung) der Angelegenheiten.
187_00	Und (gedenkt,) als Allah mit denjenigen, denen die Schrift gegeben worden war, ein Abkommen traf: "Ihr sollt sie den Menschen ganz gewiß klar machen und sie nicht verborgen halten!"
187_01	Da warfen sie sie hinter ihren Rücken und verkauften sie für einen geringen Preis; wie schlimm ist das, was sie erkaufen!
188_00	Und meine ja nicht, daß diejenigen, die froh sind über das, was sie begangen haben, und denen es lieb ist, für etwas gelobt zu werden, was sie nicht getan haben, - meine ja nicht, sie seien der Strafe entronnen!
188_01	Für sie wird es schmerzhafte Strafe geben.
189_00	Allah gehört die Herrschaft der Himmel und der Erde. Allah hat zu allem die Macht.
190_00	In der Schöpfung der Himmel und der Erde und in dem Unterschied von Nacht und Tag liegen wahrlich Zeichen für diejenigen, die Verstand besitzen,
191_00	die Allahs stehend, sitzend und auf der Seite (liegend) gedenken und über die Schöpfung der Himmel und der Erde nachdenken: "Unser Herr, Du hast (all) dies nicht umsonst erschaffen. Preis sei Dir!
191_01	Bewahre uns vor der Strafe des (Höllen)feuers.
192_00	Unser Herr, gewiß, wen Du ins (Höllen)feuer eingehen läßt, den hast Du (damit) in Schande gestürzt. Und die Ungerechten werden keine Helfer haben.
193_00	Unser Herr, gewiß, wir hörten einen Rufer, der zum Glauben aufrief: .Glaubt an euren Herrn. Da glaubten wir.
193_01	Unser Herr, vergib uns unsere Sünden, tilge unsere bösen Taten und berufe uns ab unter den Gütigen.
194_00	Unser Herr, und gib uns, was Du uns durch Deine Gesandten versprochen hast, und stürze uns nicht in Schande am Tag der Auferstehung. Gewiß, Du brichst nicht, was Du versprochen hast."
195_00	Da erhörte sie ihr Herr: "Ich lasse kein Werk eines (Gutes) Tuenden von euch verlorengehen, sei es von Mann oder Frau; die einen von euch sind von den anderen. Denen also, d
195_01	ie ausgewandert und aus ihren Wohnstätten vertrieben worden sind und denen auf Meinem Weg Leid zugefügt worden ist, und die gekämpft haben und getötet worden sind, werde Ich
195_02	ganz gewiß ihre bösen Taten tilgen und sie ganz gewiß in Gärten eingehen lassen, durcheilt von Bächen, als Belohnung von Allah." Und Allah - bei Ihm ist die schöne Belohnung.
196_00	Lasse dich ja nicht durch den Wandel derer in den Landstrichen täuschen, die ungläubig sind.
197_00	(Es ist nur) ein geringer Genuß, daraufhin wird die Hölle ihr Zufluchtsort sein. Und wie schlimm ist die Lagerstatt!
198_00	Aber für diejenigen, die ihren Herrn fürchten, sind Gärten, durcheilt von Bächen, ewig darin zu bleiben; eine gastliche Aufnahme von Allah.
198_01	Was bei Allah ist, ist besser für die Gütigen.
199_00	Und unter den Leuten der Schrift gibt es wahrlich manche, die an Allah glauben und (an) das, was zu euch (als Offenbarung) herabgesandt worden ist, und was zu ihnen (selbst) herabgesandt worden ist. Dabei sind sie demütig vor Allah und verkaufen nicht die Zeichen Allahs für einen geringen Preis.
199_01	Jene haben ihren Lohn bei ihrem Herrn. Gewiß, Allah ist schnell im Abrechnen.
200_00	O die ihr glaubt, geduldet euch, haltet standhaft aus, seid kampfbereit und fürchtet Allah, auf daß es euch wohl ergehen möge!
