001_00	¡Hombres!
141_00	Esos que están al acecho de lo que os pasa y cuando obtenéis una victoria procedente de Allah, dicen: ¿Acaso no
141_01	estábamos con vosotros?Pero si los incrédulos logran algún triunfo parcial, les dicen: ¿Acaso no estabais a nuestra merced y os hemos
141_02	defendido contra los creyentes?Allah juzgará entre ellos el Día del Levantamiento.Allah no dará a los incrédulos ninguna posibilidad contra los creyentes.
142_00	Los hipócritas pretenden engañar a Allah, pero es Él quien los engaña.
142_01	Cuando se disponen a hacer el salat, se levantan perezosos y lo hacen para que los demás los vean. Apenas si se acuerdan de Allah.
143_00	Vacilantes entre una cosa y otra, no están ni con unos ni con otros. A quien Allah extravía no encontrarás manera de encaminarlo.
144_00	¡Vosotros que creéis! No toméis por aliados a los incrédulos en vez de a los creyentes.¿Es que queréis dar a Allah una prueba clara contra vosotros?
145_00	Verdaderamente los hipócritas estarán en el nivel más bajo del Fuego y no encontrarán quien los defienda.
146_00	Excepto los que se vuelvan atrás arrepentidos, rectifiquen, se aferren a Allah y dediquen sinceramente a Allah
146_01	su práctica de Adoración...Esos están con los creyentes y Allah dará a los creyentes una gran recompensa.
147_00	¿Qué ganaría Allah con castigaros si sois agradecidos y creéis? Allah es Agradecido y Conocedor.
148_00	Allah no ama que se refiera ningún mal en público, a no ser que lo haga alguien que haya sido objeto de injusticia.Allah es Quien oye y Quien sabe.
149_00	Pero una buena acción, tanto si la ponéis de manifiesto como si la ocultáis, o un mal que perdonéis...Allah es Indulgente y Poderoso.
150_00	Aquéllos que niegan a Allah y a Sus mensajeros y quieren hacer distinción entre Allah y
150_01	Sus mensajeros; y dicen: Creemos en unos pero no creemos en otros; queriendo tomar un camino intermedio.
151_00	Esos son los verdaderos incrédulos. Y hemos preparado para los incrédulos un castigo denigrante.
152_00	Y a los que creen en Allah y en Sus mensajeros sin hacer distinciones entre ellos, a ésos se les dará su recompensa.Allah es Perdonador y Compasivo.
153_00	La gente del Libro te pedirá que hagas descender para ellos un libro del cielo.Ya le pidieron a Musa
153_01	cosas mayores; le dijeron: Haz que veamos a Allah directamente, y el rayo los fulminó por su injusticia. Luego
153_02	tomaron el becerro* a pesar de haberles llegado las evidencias.Se lo perdonamos y le dimos a Musa una autoridad clara.
154_00	Y les pusimos el monte por encima para hacerles aceptar la Alianza* y les dijimos: Entrad por la puerta* con la cabeza inclinada.
154_01	Y les dijimos: No dejéis de cumplir con el sábado.Y les hicimos aceptar un firme compromiso.
155_00	Por haber roto su compromiso, por haber negado los signos de Allah, por haber matado a profetas sin derecho alguno y por haber dicho: Nuestros
155_01	corazones están cerrados.Pero no es así; sino que Allah les ha sellado el corazón a causa de su incredulidad y son pocos los que creen.
156_00	Y por su incredulidad* y haber dicho contra Maryam una calumnia enorme.
157_00	Y por haber dicho: Nosotros matamos al Ungido*, hijo de Maryam, mensajero de Allah.Pero, aunque así lo creyeron, no lo mataron ni lo crucificaron.Y los
157_01	que discrepan sobre él, tienen dudas y no tienen ningún conocimiento de lo que pasó, sólo siguen conjeturas.Pues con toda certeza que no lo mataron.
158_00	Sino que Allah lo elevó hacia Sí, Allah es Poderoso y Sabio.
159_00	Y entre la gente del Libro no hay nadie que, antes de su muerte*, no vaya a creer en él. Y el Día del Levantamiento él dará testimonio de ellos.
160_00	Y a los judíos, por su propia injusticia y por lo mucho que se desviaron* del camino de Allah, les prohibimos cosas buenas que antes les estaban permitidas.
161_00	Y por haber adoptado la usura que ya les estaba prohibida, y haber usurpado los bienes de los hombres con falsedad.Hemos preparado para los que de ellos hayan caído en la incredulidad un castigo doloroso.
162_00	No obstante a los que de ellos están afianzados en el conocimiento, a los que creen en lo que te ha descendido a ti y en lo que
162_01	descendió antes de ti, a los que establecen el salat, dan el zakat y creen en Allah y en el Último Día; a ésos les daremos una gran recompensa.
163_00	Es verdad que te hemos inspirado al igual que inspiramos a Nuh y los profetas posteriores a él.
163_01	Y también le inspiramos a Ibrahim, Ismail, Ishaq, Yaqub, las Tribus, Isa, Ayyub, Yunus , Harún y Sulayman.
163_02	Y a Daud, al que le dimos los Salmos.
164_00	Hay mensajeros de los que te hemos referido y mensajeros de los que no te hemos contado nada.Y a Musa le habló Allah directamente.
165_00	Mensajeros portadores de buenas noticias y de advertencias, para que así los hombres, después de su venida, no tuvieran ningún argumento frente Allah. Allah es Poderoso y Sabio.
166_00	Sin embargo, Allah atestigua que lo que te ha hecho descender, ha sido con Su conocimiento y los ángeles dan testimonio de ello.Y Allah basta como testigo.
167_00	Es cierto que los que se niegan a creer y desvían del camino de Allah, se han alejado en un profundo extravío*.
168_00	A los que se niegan a creer y son injustos, Allah no los perdonará ni los guiará a ningún camino,
169_00	Que no sea el camino de Yahannam, donde serán inmortales para siempre.Y eso es simple para Allah.
170_00	¡Hombres! Ha llegado a vosotros el Mensajero con la verdad de vuestro Señor, así pues, es mejor para vosotros que creáis.
170_01	Pero si no lo hacéis... Lo cierto es que de Allah es cuanto hay en los cielos y en la tierra. Y Allah es Conocedor, Sabio.
171_00	¡Gente del Libro!
171_01	No saquéis las cosas de quicio en vuestra Práctica de Adoración ni digáis sobre Allah nada que no sea la verdad.Ciertamente el Ungido, hijo de Maryam, es el mensajero de Allah, Su palabra depositada en Maryam y un espíritu procedente de Él.
171_02	Creed, pues, en Allah y en Su Mensajero y no digáis tres; es mejor para vosotros que desistáis.
171_03	La verdad es que Allah es un Dios Único. ¡Está muy por encima en Su gloria de tener un hijo!Suyo es cuanto hay en los cielos y cuanto hay en la tierra.Y Allah basta como Guardián.
172_00	El Ungido no desprecia ser un siervo de Allah ni los ángeles que están cerca (de Él).Pero
172_01	aquel que desprecie adorarle y se llene de soberbia...Todos van a ser reunidos para volver a Él.
173_00	En cuanto a los que creen y practican las acciones de bien, se les pagará debidamente su recompensa y Él les aumentará Su favor.Pero a
173_01	los que desprecien y sean soberbios, los castigará con un doloroso castigo y no encontrarán, fuera de Allah, ni quien los proteja ni quien los defienda.
174_00	¡Hombres! Os ha llegado una prueba de vuestro Señor y hemos hecho que descendiera para vosotros una luz clara.
175_00	Los que crean en Allah y se aferren a Él. entrarán bajo Su benevolencia y favor y les mostrará la guía de un camino recto.
176_00	Te piden que dictamines.
176_01	Di: Allah os da un juicio sobre el caso en que no se tengan ni padres ni hijos.Si alguien muere sin dejar hijos, pero tiene una hermana, a ella le corresponderá la mitad de lo que deje.
176_02	Y él la heredará a ella si ella no tiene ningún hijo. Y si son dos, les corresponderán dos tercios de lo que deje; y si hay hermanos, varones y hembras, entonces a cada varón le corresponderá la parte de dos hembras.Allah os aclara para que no os extraviéis.Allah es Conocedor de todas las cosas.
