001_00	Alif, Lam, Mim, Sad.
172_01	Contestaron: Sí, lo atestiguamos. Para que el Día del Levantamiento no pudierais decir: Nadie nos había advertido de esto.
173_00	Ni pudierais decir: Nuestros padres eran ya asociadores idólatras y nosotros hemos sido una generación consecuente. ¿Vas a castigarnos por lo que hicieron los falsos?
174_00	Así es como explicamos los signos por si se vuelven atrás.
175_00	Cuéntales el caso de aquel a quien habíamos dado Nuestros signos y se despojó de ellos, entonces el Shaytán fue tras él y estuvo entre los desviados.*
176_00	Si hubiéramos querido, habríamos hecho que éstos le sirvieran para elevarle de rango, pero él se inclinó hacia lo terrenal y siguió su deseo.
176_01	Es como el perro, que si lo ahuyentas jadea y si lo dejas también;
176_02	así es como son los que niegan la verdad de Nuestros signos. Cuéntales la historia por si acaso reflexionan.
177_00	¡Qué mal ejemplo el de los que niegan la verdad de Nuestros signos! Ellos mismos son los perjudicados.
178_00	A quien Allah guía es el que está guiado y a quien extravía... Esos son los perdidos.
179_00	Hemos creado para Yahannam muchos genios y hombres. Tienen corazones con los que no comprenden, ojos con los que no ven y oídos con los que no oyen.
179_01	Son como animales de rebaño o peor aún en su extravío.
179_02	Esos son los indiferentes.
180_00	Y Allah posee los nombres más hermosos. Llamadlo con ellos y dejad a los que cometen aberraciones con Sus nombres. Se les pagará por lo que hicieron.
181_00	Entre quienes hemos creado hay una comunidad que guía por medio de la verdad y con ella hace justicia.
182_00	Y a los que niegan la verdad de Nuestros signos los llevaremos a la perdición gradualmente, de una manera que no adviertan.
183_00	Les daré un tiempo de plazo. Es cierto que Mi estratagema es sólida.
184_00	¿Es que no van a reflexionar? Vuestro compañero no está poseído por ningún genio. Él no es sino un advertidor.
185_00	¿Es que no se paran a considerar el dominio de los cielos y la tierra y las cosas que Allah creó, así como el hecho de que tal vez su plazo de vida esté próximo a cumplirse?
185_01	¿En qué otro relato pueden creer?
186_00	A quien Allah extravía no hay quien lo guíe. Y los deja vagando errantes, fuera de los límites.
187_00	Te preguntan acerca de la Hora, de cuando llegará.
187_01	Di: La verdad es que el conocimiento sobre ello está junto a mi Señor y sólo Él; en su momento, la hará aparecer. Pesa en los cielos y en la tierra y no os llegará sino de repente. Te preguntan como si estuvieras al tanto de ella; di: Sólo Allah sabe de ella, sin embargo la mayor parte de los hombres no saben.
188_00	Di: No soy dueño de beneficiarme o de perjudicarme más de lo que Allah quiera.
188_01	Si yo conociera el No-Visto habría tenido mucho bien y el mal nunca me habría tocado. Pero no soy mas que un advertidor y alguien que anuncia buenas noticias a la gente que cree.
189_00	Él es Quien os creó a partir de un sólo ser del que hizo a su pareja para que encontrara sosiego e intimidad en ella.
189_01	Y después de cubrirla, quedó embarazada de una carga ligera que llevó adelante hasta que se hizo pesada y entonces ambos pidieron a Allah, su Señor: Si nos das un hijo recto estaremos siempre agradecidos.
190_00	Pero cuando les dio uno recto, Le atribuyeron copartícipes (a Allah) en lo que les había dado.¡Sea ensalzado Allah por encima de lo que Le asocian!*
191_00	¿Le asocian a aquellos que no han creado nada sino que han sido creados?
192_00	¿Y que no pueden dar ayuda ni ayudarse a sí mismos?
193_00	Si los invitáis a la guía no os seguirán. Es igual para ellos que los llaméis o que os quedéis callados.
194_00	Realmente aquellos a los que invocáis fuera de Allah son siervos como vosotros. ¡Llamadlos y esperad que os respondan si sois sinceros!
195_00	¿Tienen acaso piernas con las que caminan?, ¿o manos con las que toman?, ¿u ojos con los que ven?, ¿u oídos con los que oyen?
195_01	Di: Llamad a los que asociáis y luego tramad contra mí sin más demora.
196_00	En verdad mi Protector es Allah, Quien hizo que descendiera el Libro.Y Él es Quien se cuida de los justos.
197_00	Y ésos que invocáis fuera de Él no pueden auxiliaros a vosotros ni pueden auxiliarse a sí mismos.
198_00	Y si los llamáis a la guía no escuchan. Y los ves que te miran, pero no ven.
199_00	¡Adopta la indulgencia como conducta, ordena lo reconocido y apártate de los ignorantes!
200_00	Y si te solivianta una incitación del Shaytán, busca refugio en Allah, es cierto que Él es Quien oye y Quien sabe.
201_00	En verdad los que tienen temor (de Allah), cuando una instigación del Shaytán los tienta, recuerdan y entonces ven con claridad.
202_00	Pero a sus hermanos los mantienen* en el error sin descuido.
203_00	Y cuando no les traes ningún signo dicen: ¿Por qué no se te ha ocurrido ninguno? Di: Sólo sigo lo que procedente de mi Señor se me inspira.
203_01	Estas son evidencias de vuestro Señor, guía y misericordia para gente que cree.
204_00	Y mientras el Corán se esté recitando, prestad atención y callad, tal vez obtengáis misericordia.
205_00	Y recuerda a tu Señor en ti mismo, humilde, con temor de Él y sin subir la voz, al comenzar y al terminar el día. Y no seas de los negligentes.
206_00	Es verdad que los que están junto a tu Señor no sienten ninguna soberbia que les impida adorarle; Le glorifican y se postran ante Él.
