001_00	(اعلام) بیزاری از سوی خدا وپیامبرش, به کسانی از مشرکان است که (با آنها) پیمان بسته اید.
110_00	آن بنای که آنها نهاده اند، پیوسته در دلهایشان مایه ی شک (ونفاق ) خواهد بود ، مگر اینکه دلهایشان پاره پاره شود (وبمیرند) و خداوند دانای حکیم است.
111_00	بی گمان خداوند از مؤمنان جانهايشان و اموالشان را خريده است ، به (بهاى) اينكه بهشت برای آنها باشد.(بدین صورت که): در ر
111_01	اه خدا جنگ می کنند، پس می کشند، و کشته می شوند، (این) وعده ی حقی است بر او، (که) در تورات و انجیل و قرآن (آمده است) و
111_02	چه کسی از خدا به عهدش وفا دارتر است ؟! پس شاد باشید، به داد وستدی که شما با او کرده اید، و این همان کامیابی بزرگ است.
112_00	(آنها) توبه کنندگان ،عابدان،سپاسگزاران ، روزه داران ، رکوع کنندگان، سجده کنندگان،فرمان دهندگان به معروف و بازدارندگان از
112_01	منکر، و حافظان (و نگه دارندگان ) حدود (و احکام )الهی هستند، و مؤمنان را بشارت ده .
113_00	برای پیامبر وکسانی که ایمان آوردند (شایسته) نبود که برای مشرکان طلب آمرزش کنند ، - هر چند از نزدیکانشان باشند- بعد از آنکه برای آنها روشن شد که آنها اهل دوزخند .
114_00	و آمرزش خواستن ابراهیم برای پدرش نبود؛ مگر به خاطر وعده ای که به او داده بود، پس چون برای
114_01	او آشکار شد که او دشمن خداست؛ از او بیزاری جست ، بی گمان ابراهیم لابه کننده ی برد بار بود .
115_00	و هرگز خداوند قومی را ، بعد ازآنکه آنها را هدایت کرد گمراه نمی کند ، تا آنکه چیزهای را که باید از آن بپرهیزند ،برای آنها بیان کند ، بی گمان خداوند به هر چیزی داناست .
116_00	یقیناً فرمانروایی آسمانها وزمین از آن خداست ، زنده می کند و می میراند ، وشما را جز خدا کارساز و یاوری نیست .
117_00	قطعاً خداوند رحمت خود را شامل حال پیامبر و مهاجران وانصار ، آنان که در زمان سختی (وتنگدستی ) از او پیروی کردند ؛ نمود ، بعد ازآ
117_01	نکه نزدیک بود ، دلهای گروهی از آنها (از حق) منحرف شود ، سپس توبه ی آنها را پذیرفت ، بی گمان او(نسبت ) به آنها رؤوف مهربان است .
118_00	و(همچنین) بر آن سه نفری که موقوف گذاشته شدند ، تا آنگاه که زمین با همۀ فراخی اش بر آنها تنگ شد ، و از خود به تنگ آمدند ، و دانستند که پناهگاهی از خدا جز به سوی او نیست ،
118_01	سپس رحمت خود را شامل حال آنها نمود ، تا توبه کنند (وتوبه ی آنان را پذیرفت) بی گمان خداوند است که توبه پذیر مهربان است.
119_00	ای کسانی که ایمان آورده اید از خدا بترسید،وبا راستگویان باشید .
120_00	سزاوار نیست که اهل مدینه،و اعراب (بادیه نشین) که اطراف آنها هستند ، از(همراهی) رسول خدا باز پس مانند ، و نه برای (حفظ) جان خود ، از جان او چشم بپوش
120_01	ند،این بدان سبب است که هیچ تشنگی و خستگی و گرسنگی در راه خدا به آنها نمی رسد، و هیچ (جا منزل نمی کنند و) گامی که موجب خشم کافران شود؛ بر نمی دارند
120_02	، وهیچ (دستبرد و) و گزندی به دشمن نمی رسانند ، مگر اینکه به (سبب) آن ،عمل صالحی برای شان نوشته شود ، بی گمان خداوند پاداش نیکوکاران را ضایع نمی کند .
121_00	و هیچ مال کوچک یا بزرگی را (در راه خدا) انفاق نمی کنند، و هیچ وادی (و سرزمینی) نمی پیمایند ، مگر اینکه برای آنها نوشته می شود ، تا خداوند پاداش نیکوترین کردارشان را به آنها بدهد .
122_00	و(ممکن) نیست که مؤمنان همگی(برای جهاد) کوچک کنند ، پس چرا از هر گروهی از آنان ، دسته ای کوچ نمی کنند ، ت
122_01	ا در دین دانش بیاموزند، وقوم خود را هشدار دهند ، هنگامی که به سوی آنها باز گشتند ، باشد که آنها بترسند .
123_00	ای کسانی که ایمان آورده اید ! با کسانی که از کافران که نزدیک شمایند، جنگ کنید ، و باید آنها در شما شدت و درشتی بیابند، و بدانید که خداوند با پرهیزگاران است.
124_00	و هنگامی که سوره ای نازل شود، پس بعضی از آنها (به دیگری) می گوید : «این سوره ، ایمان کدام یک از شما را افزود ؟!» (به آنها بگو:) اما کسانی که ایمان آوده اند ، پس به ایمانشان افزوده ، و آنها شادمانی می کنند .
125_00	و اما کسانی که در دلهایشان بیماری است ، پس پلیدی به پلیدیشان افزوده ، و در حالی که کافر بودند ؛ مردند .
126_00	آیا آنها نمی بینند که در هر سال ، یک یا دوبار آزمایش می شوند ؟! باز توبه نمی کنند، و نه آنها پند می گیرند .
127_00	و هنگامی که سوره ای نازل شود، بعضی از آنها به بعضی دیگر نگاه می کنند (گویند:) « آیا کسی شما را می بیند ؟!» سپس باز می گردند ، خداوند دلهای آنها را از (از حق) باز گردانید ، زیرا که آنها گروهی اند که نمی فهمند.
128_00	یقیناً پیامبری از (میان) خودتان به سویتان آمد که رنجهای شما بر او دشوار (و گران) است، و بر (هدایت) شما سخت اصرار دارد، و(نسبت) به مؤمنان روؤف ( و) مهربان است .
129_00	پس اگر روی بر گردانند ، بگو :« خدا برای من کافی است ، هیچ معبودی (به حق) جز او نیست ،براو توکل کردم، و او پروردگار عرش عظیم است »
