001_00	المص (الف . لام . ميم. صاد).
133_00	پس (عذاب و بلاهای آشکار از قبیل: ) طوفان, وملخ, وشپش, و قورباغه ها, وخون را (که هر کدام معجزه و) نشانه هایی روشن وجدا جدا بود, بر آنها فرستادیم, باز سرکشی کردند, وگروهی گناهکار (ومجرم) بودند.
134_00	وهنگامی که عذاب بر آنها واقع می شد, می گفتند: «ای موسی! پروردگارت را برای ما بخوان, به آنچه به تو وحی (وعهد) کرده است,
134_01	اگر این عذاب را از ما بر طرف کنی, قطعاً به تو ایمان می آوریم, وبنی اسرائیل را با تو خواهیم فرستاد».
135_00	پس هنگامی که عذاب را, تا مدت معینی که آنان به آن می رسیدند, از آنها بر طرف کردیم, ناگهان پیمان شکنی کردند.
136_00	پس از آنها انتقام گرفتیم, وآنها را در دریا غرق کردیم, زیرا که آیات ما را تکذیب کردند, واز آن غافل بودند.
137_00	و شرق وغرب زمین را که در آن برکت داده بودیم؛ به گروهی که ناتوان (ومستضعف) شمرده می شدند, به میراث دادیم,
137_01	و وعدۀ نیک پروردگارت بر بنی اسرائیل, بخاطر صبر (واستقامتی) که کردند, تحقق یافت, وآنچه فرعون وقوم او می ساختند, وآنچه را که بر می افراشتند در هم کوبیدیم (و ویران کردیم).
138_00	وما بنی اسرائیل را از دریا گذراندیم, آنگاه بر گروهی گذشتند که اطراف بتهای خود با تواضع وفروتنی گرد آمده بودند.
138_01	گفتند: «ای موسی برای ما (نیز) معبودی قرار ده, همانگونه که آنها معبودهای دارند». (موسی) گفت: «حقا, شما گروهی نادان وجاهل هستید (وعظمت خدا را نمی دانید).
139_00	بی گمان اینها عاقبت کارشان نا بودی است وآنچه انجام می دادند (نیز) باطل است».
140_00	(سپس) گفت: «آیا غیر از خداوند, معبودی برای شما بجویم؟! در حالی که او شما را بر جهانیان (= مردم عصرتان) برتری داد».
141_00	و(به یاد آورید) زمانی را که شما را از (فرعون و) فرعونیان نجات دادیم, آنها پیوسته شما را به بدترین صورت شکنجه
141_01	می دادند, پسرانتان را می کشتند وزنانتان را زنده نگه می داشتند, ودراین, (برای) شما آز مایش بزرگی از جانب پروردگارتان بود.
142_00	وبا موسی, سی شب وعده نهادیم, وآن را با ده شب (دیگر) کامل کردیم, پس میعاد پروردگارش (با او) چهل شب تمام شد.
142_01	وموسی به برادرش هارون گفت: «جانشین من در میان قوم من باش, و(آنها را) اصلاح کن, واز راه مفسدان پیروی نکن».
143_00	وهنگامی که موسی به میعاد ما آمد, وپروردگارش با او سخن گفت, عرض کرد: «پروردگارا! خودت را به من نشان بده, تا به تو بنگرم»
143_01	فرمود: «(در دنیا) هرگز مرا نخواهی دید, ولیکن به کوه بنگر, پس اگر در جایش ثابت ماند, تو (نیز) مرا خواهی دید».
143_02	پس چون پروردگارش بر (آن) کوه تجلی کرد, آن را متلاشی (وهموار) ساخت, وموسی بیهوش افتاد, پس هنگامی که به هوش آمد, عرض کرد: «تو پاک ومنزهی, من به سوی تو بازگشتم (و توبه کردم) ومن نخستین مؤمنانم».
144_00	(خداوند) فرمود: «ای موسی! من تو را با پیامهایم وبا سخن خود, بر مردم (برتری دادم و) برگزیدم, پس آنچه را به تو داده ام, بگیر, واز سپاسگزاران باش».
145_00	و برای او در لوح ها هرگونه پند, و تفصیل وبیان هر چیز را نوشتیم, (وبه موسی فرمودیم:) «پس آن را با نیرومندی (وجدیت) بگیر, وبه قومت فرمان ده تا به نیکوترین آن, عمل کنند,
145_01	وبه زودی (جایگاه و) سرای نا فرمانان را به شما نشان خواهم داد».
146_00	بزودی کسانی را که به نا حق در روی زمین تکبر می ورزند, از آیات خود باز می دارم,
146_01	واگر هر (معجزه و) نشانه ای را ببینند, به آن ایمان نمی آورند, واگر راه هدایت را ببینند, آن را در پیش نمی گیرند, واگر راه گمراهی را ببینند, آن را بر می گزینند,
146_02	این بدان (خاطر) است که آیات ما را تکذیب کردند واز آن غافل بودند.
147_00	وکسانی که آیات ما, ودیدار آخرت را تکذیب کردند, اعمالشان تباه (ونا بود) شد, آیا جز آنچه را عمل می کردند, کیفر داده می شوند؟!
148_00	وقوم موسی بعد از (رفتن) او (به میعادگاه) از زیورهایشان گوساله ای ساختند, جسد بی جانی که صدای گوساله داشت, آیا نمی دیدند که با آنها سخن نمی گوید, و به راهی هدایتشان نمی کند؟!
148_01	آن را (به خدایی) گرفتند وستمکار بودند.
149_00	وچون پشیمان شدند, ودیدند که به راستی گمراه شده اند, گفتند: «اگر پروردگارمان به رحم نکند و ما را نیامرزد, مسلّماً از زیانکاران خواهیم بود».
150_00	وچون موسی خشمگین واندوه ناک به سوی قومش بازگشت, گفت: « پس از من, چه بد جانشینانی برایم بودید, آیا از حکم پروردگارتان پیشی گرفتید؟!».
150_01	ولوح ها را انداخت, وسر برادر خود را گرفت وبه سوی خود كشید, (هارون) گفت: «ای پسر مادرم!
150_02	به راستی این قوم مرا (در تنگا قرار دادند و) ناتوان کردند, ونزدیک بود مرا بکشند, پس با (اهانت) من (کاری نکن که) دشمنان مرا شماتت کنند, ومرا با گروه ستمکاران قرار مده».
151_00	(موسی) گفت: «پروردگارا! من وبرادرم را بیامرز, وما را در رحمت خویش داخل کن, وتو مهربانترین مهربانان هستی».
152_00	به راستی کسانی که گوساله را (به خدایی) گرفتند, بزودی خشمی از پروردگارشان, وذلت (وخواری) در زندگی دنیا به آنها می رسد, واین چنین دروغ پردازان را کیفر می دهیم.
153_00	وکسانی كه مرتکب کارهای بد شدند, سپس بعد از آن توبه نمودند, وایمان آوردند, همانا پروردگار تو پس از آن, مسلّماً آمرزندۀ مهربان است.
154_00	وچون خشم از (خاطر) موسی فرو نشست, الواح (تورات) را بر گرفت ودر نوشته های آن, هدایت ورحمت برای کسانی بود که از پروردگارشان می ترسند.
155_00	وموسی از قومش, هفتاد مرد را برای میعاد ما برگزید, پس هنگامی که زلزله آنها را فرا گرفت, (وهمه مردند, موسی) گفت: « پروردگارا اگر می خواستی پیش از این آنها ومرا هلاک می کردی,
155_01	آیا ما را به آنچه نادانان انجام داده اند, هلاک می کنی؟! این جز آزمایش تو چیزی نیست, هر که را بخواهی به (وسیلۀ) آن گمراه می سازی, وهر که را بخواهی, هدایت می کنی,
155_02	تو یاور (وکارساز) مایی, پس ما را بیامرز, وبر ما رحم کن, وتو بهترین آمرزندگانی.
156_00	وبرای ما در این دنیا, ودر سرای آخرت, نیکی مقرر فرما, ما به سوی تو باز گشته ایم».
156_01	(خداوند) فرمود: «عذابم را به هرکس که بخواهم می رسانم, ورحمتم همه چیز را فرا گرفته است, پس آن را برای کسانی که تقوا پیشه می کنند, وزکات می دهند, وکسانی که به آیات ما ایمان می آورند, مقرر خواهم داشت.
157_00	آنان که از (این) رسول (خدا), پیامبر «أمی» (= درس ناخوانده) پیروی می کنند, که صفاتش را در تورات وانجیلی که نزدشان است, نوشته می یابند.
157_01	آنها را به (کارهای) خوب وپسندیده فرمان می دهد واز زشتی (وکارهای نا پسند) بازشان می دارد.
157_02	وپاکیزه ها را برایشان حلال می گرداند, وپلیدیها را بر آنان حرام می کند, وبارهای سنگین, وقید (وزنجیرهایی) را که بر آنها بود, از (دوش) آنها بر می دارد, پس کسانی که به او ایمان آوردند, و او را گرامی داشتند, و او را یاری دادند, واز نوری که با او نازل شده پیروی نمودند, آنانند که رستگا رند».
158_00	بگو: «ای مردم!
158_01	من فرستادۀ خدا به سوی همۀ شما هستم, آن خدایی که فرمانروایی آسمانها وزمین از آنٍ اوست, معبود (راستینی) جز او نیست, زنده می کند, ومی میراند, پس به خدا وفرستاده اش آن پیامبر «أمّی» (درس ناخوانده) که به خدا و کلماتش ایمان دارد،ایمان بیاورید, واز او پیروی کنید؛ باشد که هدایت شوید.
159_00	واز قوم موسی, گروهی هستند که (مردم را) به (سوی) حق هدایت می کنند, وبه آن (حق) عدالت (وحکم) می کنند.
160_00	و آنها را به دوازده قبیله, گروه گروه (که هریک شاخه ای از دود مان یعقوب بود) تقسیم کردیم, وبه موسی, آنگاه که قومش از او آب خواستند, وحی کردیم, که: «عصایت را بر سنگ بزن»
160_01	ناگهان دوازده چشمه از آن بیرون جست, هر گروهی آبشخور خود را دانست.
160_02	وابر را بر (سر) آنها سایبان ساختیم, وبر آنها «من» (= ترنجبین) و«سلوی» (= بلدر چین) فرو فرستادیم, (وبه آنان گفتیم:) از آنچه از پاکیزه ها روزیتان کرده ایم, بخورید, آنها (با نافرمانی شان) بر ما ستم نکردند؛ بلکه بر خویشتن ستم می نمودند.
161_00	و (به یاد آورید) هنگامی را که به آنها گفته شد: « در این شهر (بیت المقدس) ساکن شوید, واز هر جا که خواستید, از (نعمتهای) آن بخورید, وبگویید: «گناهان ما را بریز» و با خشوع وفروتنی به دروازه در آیید, (اگر چنین کنید) گناهان شما را می بخشم,
161_01	(و) نیکوکاران را (پاداش) افزونتری خواهیم داد».
162_00	آنگاه ستمگران آنها, این سخن را که به آنها گفته شده بود, تغییر دادند, (وبه جای آن کلمۀ مسخره آمیزی گفتند) پس به (کیفر) ستمی که می کردند, عذابی از آسمان بر آنها نازل کردیم.
163_00	واز آنها دربارۀ (اهل) قریه ای که نزدیک دریا (ی سرخ) بود بپرس, هنگامی که آنها در (روز) شنبه تجاوز می کردند, چون ماهیان آنها در (روز) شنبه شان (که روز
163_01	تعطیل وعبادت, بود روی آب) آشکار می شدند, وروزی که (تعظیم) شنبه نمی کردند, به (سراغ) آنها نمی آمدند, این چنین آنها را به (کیفر) آنکه نافرمانی می کردند, آزمایش کردیم.
164_00	و (به یاد آور) هنگامی را که گروهی از آنها (به گروه دیگر) گفتند: «چرا گروهی را اندرز می دهید که خداوند آنها را هلاک یا به عذاب شدیدی گرفتارشان خواهد کرد؟!»
164_01	گفتند: «تا ما را نزد پروردگارتان عذری باشد, وشاید آنها تقوا پیشه کنند».
165_00	پس چون آنچه را که به آن پند داده شدند, فراموش کردند, کسانی را که از بدی نهی می کردند, نجات دادیم, وکسانی را که ستم کردند, به (کیفر) آنکه نافرمان بودند, به عذابی سخت گرفتار ساختیم.
166_00	پس چون از (ترک) آنچه از آن نهی شده بودند, سرپیچی کردند, به آنها گفتیم: « به صورت بوزینه های (خوار و) مطرود در آیید».
167_00	و (نیز به یاد آور) هنگامی که پروردگارت اعلام کرد, مسلّماً تا روز قیامت, کسی را بر آنها مسلط خواهد کرد,
167_01	که همواه به آنها عذاب سختی بچشاند, بی گمان پروردگارت زود کیفر است, و(برای توبه کننده گان) همانا او آمرزندۀ مهربان است.
168_00	وآنها را در زمین, بصورت گروه گروه, پراکنده ساختیم, (گروهی) از آنها صالح, و(گروهی) غیر صالح اند, وآنها را با نیکیها وبدیها آزمودیم, شاید (توبه کرده ، به راه راست) باز گردند.
169_00	پس از آنها, گروهی (غیر صالح) جانشین آنها شدند, که کتاب (تورات) را به ارث بردند, متاع این (دنیای) پست را می گیرند, ومی گویند: «ب
169_01	ه زودی آمرزیده خواهیم شد». واگر متاع (دیگری) همانند آن برایشان بیاید, آن را (نیز) می گیرند، آیا پیمان کتاب (خدا) از آنها گرفته
169_02	نشده است که بر خدا جز حق نگویند؟ وآنچه در آن است خوانده اند؟ وسرای آخرت برای کسانی که تقوا پیشه کنند, بهتراست, آیا نمی اندیشید؟!
170_00	و کسانی که به کتاب (خدا) تمسک می جویند, ونماز را بر پا می دارند, (پاداش بزرگی خواهند داشت) به راستی ما پا داش درست کاران را ضایع نخواهیم کرد.
171_00	و (به یاد آورید) هنگامی که کوه را همچون سایبانی بر فرازشان برافراشتیم, وپنداشتد که بر آنان فرود می آید, (ودر چنین حالت از آنها عهد گرفتیم, وگفتیم:) آنچه را که به شما داده ایم, با نیرو (وجدیّت) بگیرید, وآنچه را که در آن است, یاد کنید, (وبه آن عمل نمائید) تا پرهیزگار شوید.
172_00	و (به یاد بیاور) هنگامی که پروردگارت از پشتهای فرزندان آدم, ذریۀ آنها را بر گرفت, وایشان را بر خودشان گواه ساخت, (وفرمود:) «آیا من پروردگار شما نیستم؟»
172_01	گفتند: «آری, (هستی) گواهی می دهیم». و(این گواهی بدین خاطر بود که مبادا) در روز قیامت بگویید: « ما ازاین, بی خبر بودیم».
173_00	یا (مبادا) بگویید: «پدرانمان, از پیش شرک آورده بودند, وما هم فرزندانی بعد از آنها بودیم, آیا ما را به آنچه باطل گرایان انجام دادند, نابود (ومجازات) می کنی؟».
174_00	و این چنین, آیات را بتفصیل بیان می کنیم, وشاید (به سوی حق) باز گردند.
175_00	و (ای پیامبر!) بر آنها بخوان سر گذشت کسی را که آیات خود را به او دادیم, آنگاه از آن جدا (وعاری) گشت, پس شیطان درپی او افتاد, واز گمراهان شد.
176_00	و اگر می خواستیم (مقام ومنزلت) او را با آن (آیات) بالا می بردیم, ولی او بسوی زمین (ودنیا) مایل شد (وبه پستی گرایید) واز هوای خویش پیروی کرد,
176_01	پس مثل او چون مثل سگ (هار) است که اگر به او حمله کنی, زبان از دهان بیرون می آورد, واگر اورا به حال خود واگذاری, (بازهم) زبانش را از دهان بیرون می آورد,
176_02	این مثل گروهی است که آیات ما را تکذیب کردند, پس (این) داستانها را (بر آنها) باز گوکن, شاید بیندیشند.
177_00	چه بد مثلی دارند, گروهی که آیات ما را تکذیب کردند, وآنها بر خویشتن ستم می کردند.
178_00	هرکس را که خدا هدایت کند, پس او هدایت یافته (واقعی) است, وهرکس را که گمراه سازد, پس آنها زیانکاران (واقعی) هستند.
179_00	بتحقیق, گروه بسیاری از جن وانس را برای جهنم آفریده ایم,
179_01	آنها دلهایی دارند که با آن نمی فهمند, وچشمانی دارند که با آن نمی بینند, وگوشهایی دارند که با آن نمی شنوند,
179_02	آنان مانند چهار پایانند, بلکه اینان گمراه ترند, اینان همان غافلاًنند.
180_00	وبرای خدا, نامهای نیک است, پس به آن (نامها) اورا بخوانید, وکسانی را که در نامهایش تحریف (وکجروی) می کنند, رها کنید, بزودی آنها کیفر آنچه را می کردند, خواهند دهد.
181_00	و از (میان) آنان که آفریده ایم, گروهی هستند که به حق هدایت می نمایند, وبه آن (حکم و) عدالت می کنند.
182_00	وکسانی که آیات ما را تکذیب کردند, به تدریج از جایی که نمی دانند, گرفتارشان خواهیم کرد.
183_00	و به آنها مهلت می دهم, بی گمان تدبیر من متین (واستوار) است.
184_00	آیا فکر نکرده اند که همنشین آنها (= رسول خدا) هیچ گونه (نشانی از) دیوانگی ندارد؟ او تنها بیم دهنده ی آشکار است.
185_00	آیا در ملکوت آسمانها وزمین, وآنچه خدا آفریده است, نمی نگرند؟! و(آیا فکر نمی کنند) شاید اجلشان نزدیک شده باشد؟!
185_01	پس بعد از این (قرآن), به کدام سخن, ایمان خواهند آورد؟!
186_00	هرکس را که خدا گمراه کند, پس هدایت کننده ای برایش نیست, وآنها را در سرکشی وطغیانشان سر گردان رها می کند.
187_00	(ای پیامبر) دربارۀ قیامت از تو سؤال می کنند, کی واقع می شود؟ بگو: «مسلماً علم آن فقط نزد پروردگار من است, وجز او کسی وقتش را (نمی داند و) آشکار نسازد , (دانستن آن) در آسمانها وزمین سنگین (و پوشیده) است, وجز بطور ناگهانی, به سوی شما نمی آید».
187_01	(چنان) از تو سؤال می کنند که گویی تو از وقوع آن خبر داری, بگو: «علم آن, فقط نزد خداست, ولی بیشتر مردم نمی دانند».
188_00	بگو: «من مالک سود وزیان خویشتن نیستم, مگر آنچه را خدا بخواهد, واگر غیب می دانستم, خیر (وسود) بسیاری (برای خود) فراهم می ساختم, وهیج بدی (وزیانی) به من نمی رسید,
188_01	من (کسی) نیستم, جز بیم دهنده, وبشارت دهنده ای برای گروهی که ایمان دارند.
189_00	اوست که شما را از یک تن آفرید, وهمسرش را (نیز) از خودش پدید آورد؛ تا در کناراو آرام بگیرد, پس چون (مرد باهمسرش) آمیزش کرد, حملی سبک بر داشت,
189_01	پس مدتی با آن (حمل) گذرانید, وچون سنگین شد, هر دو (زن وشوهر) به درگاه الله, پروردگارشان دعا کردند, که: «اگر (فرزندی) تندرست (وشایسته) به ما بدهی, مسلماً از سپاسگزاران خواهیم بود».
190_00	پس چون (خداوند, فرزندی) تندرست (وشایسته) به آنها داد, برای او در آنچه به آنان داده بود, شریکانی قرار دادند, پس خداوند برتراست از آنچه شریک (وهمتای) او قرار می دهند.
191_00	آیا چیزی را شریک می گیرند که چیزی را نمی آفریند وخودشان مخلوقند.
192_00	ونمی توانند آنها را یاری کنند, ونه خودشان را یاری می دهند.
193_00	واگر آنها را به سوی هدایت دعوت کنید, از شما پیروی نمی کنند, برای شما یکسان است, خواه آنها را دعوت کنید ویا خاموش باشید.
194_00	بی گمان آنهایی را که غیر از الله می خوانید, بندگانی همچون شما هستند, پس آنها را بخوانید, اگر راست می گویید (وآنها خدا هستند), پس باید (دعای) شما را اجابت کنند!
195_00	آیا پاهایی دارند که با آن راه بروند؟! یا دستهایی دارند, که با آن چیزی را بگیرند؟! یا چشمانی دارند, که با آن ببینند؟!
195_01	یا گوشهایی دارند, که با آن بشنوند؟! (ای پیامبر! به مشرکین) بگو: «شریکانتان را بخوانید, سپس (بر ضد من) تدبیر (ونیرنگ) کنید, ومرا مهلت ندهید.
196_00	همانا یاور (و سرپرست) من, خداوندی است که (این) کتاب را نازل کرده, واو یاور (وکارساز) صالحان است.
197_00	وکسانی را که به جای او می خوانید, نمی توانند شما را یاری کنند, و نه خودشان را یاری دهند.
198_00	واگر آنها را به سوی هدایت دعوت کنید, (سخنانتان را) نمی شنوند, وآنان را می بینی که به تو نگاه می کنند, در حالی که نمی بینند».
199_00	(ای پیامبر!) گذشت را پیشه کن, وبه نیکی فرمان ده, واز نادانان روی بگردان.
200_00	واگر از سوی شیطان وسوسه ای به تو رسد, به خدا پناه ببر, بی گمان او شنوای داناست.
201_00	همانا کسانی که پرهیزگاری می کنند, چون (خاطره و) وسوسه ای از شیطان به آنها برسد, به یاد (خدا) می افتند (وخدا را یاد می کنند) پس نا گهان بینا می گردند.
202_00	و برادرانشان (از شیطان) آنان را به گمراهی می کشانند, سپس (در این زمینه) کوتاهی نمی کنند.
203_00	وچون آیه (و معجزه) ای برای آنان نیاوری, گویند: «چرا خودت آن را بر نگزیدی؟!». بگو: «من فقط از چیزی پیروی می کنم که از پروردگارم به من وحی می شود,
203_01	این (قرآن) حجتها (وبینا)یی از طرف پروردگارتان, ومایۀ هدایت و رحمت است برای گروهی که ایمان می آورند».
204_00	وچون قرآن خوانده شود, پس به آن گوش فرا دهید, وخاموش باشید, تا مشمول رحمت شوید.
205_00	وپروردگارت را در دل خود, با تضرع وبیم, نه با صدای بلند, در صبحگاهان وشامگاهان, یادکن, واز غافلان مباش.
206_00	همانا کسانی که در نزد پروردگار تو هستند, از عبادتش تکبر نمی ورزند, واو را به پاکی یاد می کنند, وبرایش سجده می کنند.
