001_00	Alif Lâm Mîm Shâd.
145_00	En Wij schreven hem voor in de Tafelen over alle zaken, als een vermaning en als een uiteenzetting over alle zaken (en Wij zeiden:) "Grijpt dit
145_01	stevig vast en beveel jouw volk dat zij zich er op de beste manier aan houden, Ik zal jullie de woonplaatsen van de zwaar zondigen tonen."
146_00	Ik zal degenen die zich onterecht hoogmoedig op aarde gedragen van Mijn Tekeeien afwenden.
146_01	En al zagen zij ieder Teken, dan nog zouden zij er niet in geloven, en al zagen zij het juiste Pad, dan zouden zij het niet als hun (pad) nemen. Maar als zij het pad van de dwaling zien, dan nemen zij het als (hun) pad.
146_02	Dat is omdat zij Onze Tekenen loochenden en er geen acht op plachten te slaan.
147_00	En degenen die Onze Tekenen en de ontmoeting in het Hiernamaals loochenden: hun werken zijn vructhteloos. Zij worden niet vergolden, behalve voor wat zij plachten te doen.
148_00	En het volk van Môesa maakte, na zijn vertrek (naar de berg Thôer). van hun (gouden) sieraden (een afgodsbeeld met) het lichaam van een kalf dat een loeiend geluid maakte.
148_01	Beseften zij niet dat het in werkelijkheid niet tot hen kon spreken en hen geen weg kon wijzen? Zij namen het (ter aanbidding) en zij waren onrechtplegers.
149_00	En toen spijt hen van voor en van achter overviel, en zij zagen dat zij waarlijk gedwaald hadden, zeiden zij: "Als onze Heer ons niet begenadigt en ons niet vergeeft, dan zullen wij zeker tot de verliezers behoren."
150_00	En toen Môesa tot zijn volk terugkeerde, boos en bedroefd, zei hij: "Slecht is wat jullie in mijn plaat tijdens mijn afwezigheid hebben gedaan, wilden jullie het bevel (tot bestraffing) van jullie Heer verhaasten?"
150_01	En bij zette de Tafelen haastig neer en bij greep zijin broeder bij zijn baard en trok hem naar zich toe.
150_02	Hij (Hârôen) zei: "Zoon van mijn moeder, voorwaar, het volk heeft mij overweldigd en bijna hadden zij mij gedood. Laat de vijanden geen leedvermaak over mij hebben en stel mij niet gelijk aan het volk van onrechtplegers."
151_00	Hij (Môesa) zei: "Mijn Heer, vergeef mij en mijn broeder en doe ons Uw Barmhartigheid binnengaan. En U bent de Barmhartigste der Erbarmers."
152_00	Voorwaar, degenen die het kalf (tot hun god) hebben genomen: de toorn van hun Heer zal hen treffen, alsmede vernedering in het wereldse leven. En zo vergelden Wij degenen die leugens verzinnen.
153_00	En degenen die slechte werken verrichtten en die daarna berouw toonden en geloofden: voorwaar, jouw Heer is dan daarna zeker Vergevensgezind, Meest Barmhartig.
154_00	En toen de toorn van Môesa bedaard was, nam hij de Tafelen op. En daarin staat Leiding en Barmhartigheid beschreven voor degenen die kun Heer vrezen.
155_00	En Môesa koos uit zijn volk zeventig mannen op de door Ons bepaalde tijd (om Allah om vergiffenis te smeken). En toen de aardbeving hen greep, zei hij: "Mijn Heer, als U wilde, dan had U hen en mij eerder vernietigd.
155_01	Zult U ons vernietigen wegens wat de dwazen onder ons hebben gedaan? Dit is niets anders dan een beproeving van U.
155_02	U doet daarmee dwalen wie U wil en U leidt wie U wil, U bent onze Beschermer, vergeef ons daarom en begenadig ons, U bent de Beste der Vergevensgezinden.
156_00	En schrijf ons in deze wereld het goede voor en (ook) in het Hiernamaals. Voorwaar, wij wonden ons in berouw tot U." Hij (Allah) zei: "Met Mijn bestraffing tref Ik wie Ik wil en Mijn Barmhartigheid omvat alle dingen.
156_01	Ik zal haar voorschrijven aan degenen die (Mij) vrezen, die de zakât geven en die in Mijn Tekenen geloven."
157_00	(Zij zijn) degenen die de Boodschapper van Allah volgen, de ongeletterde Profeet waarover bij hen, in de Taurât en in de Indjîl, geschreven is. Hij beveelt hun het behoorlijke en hij verbiedt hun het verwerpelijke, en hij staat hun de goede dingen toe en bij verbiedt hun de slechte dingen.
157_01	En bij bevrijdt hun van kun lasten en van de boeien die op hen rustten.
157_02	Degenen die hem geloven, hem bijstaan en hem helpen en die het Licht (de Koran) volgen dat met hem is neergezonden, zij zijn degenen die welslagen.
158_00	Zeg: "O mensen, voorwaar, ik ben de Boodschapper van Allah voor jullie allen. (Allah is) Degene aan Wie het Koninkrijk over de hemelen en de aarde behoort, geen god is er dan Hij. Hij doet leven en Hij doet sterven.
158_01	Gelooft daarom in Allah en Zijn Boodschapper, de ongeletterde Profeet, die in Allah en Zijn Woorden gelooft, en volgt hem. Hopelijk zullen jullie Leiding volgen."
159_00	En onder het volk van Môesa, is er een gemeenschap die leiding geeft volgens de Waarheid, en die rechtvaardig handelen.
160_00	En Wij verdeelden hen in twaalf stammen als gemeenschappen en Wij openbaarden aan Môesa, toen zijn volk om water vroeg: Sla met jouw staf op de rots." Toen ontspro
160_01	ngen daaruit twaalf bronnen. Voorzeker, alle stammen kenden hun drinkplaatsen en Wij gaven hen schaduw met de wolk en Wij deden Manna en kwartels op ben neerdalen,
160_02	(zeggend:) "Eet van de goede dingen waarvan Wij jullie hebben voorzien, en zij waren niet onrechtvaardig jegens Ons, maar zij waren onrechtvaardig jegens zichzelf.
161_00	En (gedenkt) toen er tot hen werd gezegd: "Bewoont deze stad en eet van haar (opbrengsten) wat jullie willen en zegt: 'Vergeving!' En gaat de poorten binnen, jullie hoofden buigend, dat zullen Wij jullie je fouten vergeven.
161_01	Wij zullen (de beloningen) van de weldoeners vergroten."
162_00	Daarna verruilden degenen onder hen die onrecht pleegden (het Woord van Allah) voor een ander woord dat niet tot hen was gesproken, waarop Wij een plaag op hen neerzonden uit de hemel wegens het onrecht dat zi plachten te bedrijven.
163_00	En vraag hen over de stad die dicht bij de zee lag, toen zij de Sabbat overtraden, toen hun vissen voor hen boven water verschenen op hun Sabbat, terwijl zij op (andere) dagen dan de Sabbat niet verschenen.
163_01	Zo beprcoefden Wij hen wegens de zwam zonden die zij plachten te begaan.
164_00	En (gedenkt) toen eem gemeenschap onder hen zei: "Waarom vermanen jullie een volk dat Allah zal vernietigen of bestraffen met een
164_01	harde bestraffing?" Zij zeiden: "Opdat wij niet beschuldigd zullen worden bij jullie Heer en hopelijk zullen zij (Allah) vrezen."
165_00	En toen zij vergaten waarmee zij vermaand waren, toen redden Wij degenen die het kwade verboden, en Wij grepen degenen die onrecht pleegden met een harde bestraffing, wegens de zware zonden die zij plachten te bedrijven.
166_00	En toen zij opstandig werden met betrekking tot wat hun was verboden, zeiden Wij tot hen: "Weest verachte apen."
167_00	En (gedenkt) toen jouw Heer bekend maakte dat Hij zeker (mensen) tegen hen zou zenden, tot am de Dag van de Opstanding, die hen zouden treffen met deergsle bestraffing.
167_01	Voorwaar, jouw Heer is zeker snel in de bestraffing: en voorwaar, Hij is zeker Vergevensgezind, Meest Bannhartig.
168_00	En Wij verdeelden hen op aarde in gemeenschappen. Onder hen zijn rechtschapenen en onder hen zijn er die dat niet zijn, en Wij beproefden hen met de goede en de slechte dingen. Hopelijk zullen zij terugkeren.
169_00	En na hen kwamen er opvolgers die de Schrift (de Taurâh) erfden. Zij namen vergankelijke genietingen van dit (wereldse leven). En zij zeiden: "Wij zullen vergeven worden." En als dezelfde genie tingen tot hen komen, dan nemen zij die (weer) aan.
169_01	Is er geen verbond van de Schirift met hen aangegaan dat ze over Allah niets dan de Waarheid zouden zeggen? En zij bestudeerden wat er in is. En het Huis van het Hiernamaals is beter voor degenen die (Allah) vrezen.
169_02	Bwijpen jullie dan niet?
170_00	En degenen die zich vasthouden aan het Boek en de shalât onderhouden: voorwaar, de beloning van degenen die verbetering brengen zullen Wij niet verloren doen gaan.
171_00	En (gedenkt) toen Wij de berg boven hen verhieven alsof hij een gewelf van wolken was, en zij dachten dat hij op hen zou vallen, (en Wij zeiden:) "Houdt jullie stevig vast aan wat jullie is gegeven en gedenkt wat er in (de Schrift) staat. Hopelijk zullen jullie (Allah) vrezen."
172_00	En (gedenkt) toen jouw Heer het nageslacht van de Kinderen van Adam uit hun lendenen nam, en hen deed getuigen over zichzelf (en Hij zei:) "Ben Ik niet
172_01	jullie Heer?" Zij zeiden: "Jazeker, dat getuigen wij." Opdat jullie op de Dag van de Opstanding niet zullen zeggen: "Wij waren hieromtrent achtelozen."
173_00	Of dat jullie niet zullen zeggen: "Onze vaderen kenden vroeger al deelgenoten (ma Allah) toe en wij zijn nakomelingen na hen; zult U ons vernietigen voor wat de volgers van de valsheid deden?"
174_00	En zo leggen Wij de Verzen uit. Hopelijk zullen zij terugkeren.
175_00	En lees hen de geschiedenis voor van degene aan wie Wij Onze Verzen gaven. Vervolgens maakte hij zich daarvan los, waarop de Satan hem achtervolgde zodat bij één van de dwalenden werd.
176_00	En als Wij het hadden gewild, dan zouden Wij hem daarmee (met Onze Verzen) hebben verheven, maar hij neigde naw de aarde en volgde zijn hegeerte.
176_01	Zijn gelijkenis is als de gelijkenis van de hond; als je hem wegjaagt, dan hijgt bij, en als je hem met rust laat dan hijgt hij.
176_02	Dat is de gelijkenis van het volk dat Onze Verzen loochent, vertel daarom de geschiedenissen. Hopelijk zullen zij nadenken.
177_00	Slecht is de gelijkenis van het volk dat Onze Verzen loochent en zij plachten zichzelf onrecht aan te doen.
178_00	Wie door Allah geleid wordt; die volgt de ware Leiding, en wie Hij doet dwalen: zij zijn degenen die de verliezers zijn.
179_00	En voorzeker, Wij hebben velen van de Djinn's en de mensen voor de Hel geschapen.
179_01	Zij bezitten harten waarmee zij niet begrijpen en zij bezitten ogen waarmee zij niet zien en zij bezitten oren waarmee zij niet horen, zij zijn degenen die als het vee zijn.
179_02	Zij dwalen zelfs nog erger. Zij zijn degenen die de achtelozen zijn.
180_00	En aan Allah behoren de Schone Namen, roept Hem daarmee aan en verlaat degenen die misbruik van Zijn Namen maken; zij zullen worden vergolden vooir wat zij plachten te doen.
181_00	En onder hen die Wij hebben geschapen bevindt zich een gemeenschap die leidt volgens de Waarheid en daarmee handelen zij rechtvaardig.
182_00	En degenen die Onze Verzen loochenden, die zullen Wij geleidelijk naar de vernietiging voeren, ze dat zij het niet weten.
183_00	En Ik geef hen uitstel, Voorwaar, Mijn plan is sterk.
184_00	En denken zij niet na? Hun stamgenoot (Moehammad) is niet bezeten. Hij is slechts een duidelijke waarschuwer.
185_00	En kijken zij niet naar het Koninkrijk van de hemelen en de aarde en naar alle dingen die Allah heeft geschapen? En mogelijk is hun termijn waarlijk reeds nabij.
185_01	In welk woord buiten dit Woord zullen zij dan geloven?
186_00	En wie door Allah tot dwaling gebracht wordt: voor hem is er geen leider en Hij laat hen onrustig in hun overtreding verkeren.
187_00	Zij vragen jou (O Moehammad) over het Uur: "Wanneer zal het plaatsvinden?" zeg: "Voorwaar, de kennis daarover is slechts bij mijn Heer, niemand kan over de tijd ervan duidelijkheid geven dan Hij. Zwaar (is deze kwestie) in de hemelen en op de aarde.
187_01	Het zal slechts plotseling tot jullie komen." Zij vragen jou als of jij daarvan op de hoogte bent. Zeg: "Voorwaar, de kennis daarover is slechts bij Allah, maar de meeste mensen weten het niet.
188_00	Zeg: "Ik heb geen inacht om voor mijzelf iets van nut te verwerven of schade af te wenden, behalve wat Allah wil.
188_01	En als ik het onwaarneembare kende, dan zou ik het goede vermeerderd hebben en zou het kwade mij niet hebben getroffen. Ik ben niets dan een waarschuwer en een verkondiger van verheugende tijdingen voor een gelovig volk.
189_00	Hij is Degene Die jullie heeft geschapen uit één enkele ziel en Hij maakte daaruit zijn echtgenote, opdat bij bij haar rust zou vinden. En nadat hij bij haar gelegen had, droeg zij een lichte last waar zij toen met voortging.
189_01	En toen zij zwaar werd, riepen zij Allah, hun Heer aan: "Als U ons een rechtschapene schenkt, dan zullen wij tot de dankbaren horen."
190_00	Maar toen Hij hen een rechtschapene had geschonken, kenden zij naast Hem deelgenoten toe in wat Hij hun had geschonken. Verheven is dan Allah boven de deelgenoten die zij (aan Allah) toekennen.
191_00	Maken zij (beelden tot) deelgenoten die niets (kunnen) scheppen en die (zelf) geschapen zijn?
192_00	En die hen niet kunnen helpen en die zichzelf niet (kunnen) helpen?
193_00	En als jullie hen aanroepen om leiding (te verkrijgen), dan verhoren zij jullie niet. Het is voor jullie hetzelfde, of jullie hen aanroepen of dat jullie zwijgen.
194_00	Voorwaar, degenen die jullie buiten Allah aanroepen zijn schepselen zoals jullie zelf. Roept hen dan aan en laten zij jullie dan verhoren, als jullie waarachtigen zijn.
195_00	Hebben zij voeten waarmee zij lopen? Of hebben zij handen waarmee zij grijpen?
195_01	Of hebben zij ogen waarmee zij zien? Of hebben zij oren waarmee zij horen? Zeg: "Roept jullie afgoden aan en laat hen een list tegen mij uitvoeren, en geeft mij geen uitstel.
196_00	Voorwaar, mijn Beschermer is Allah, Die het Boek heeft neergezonden, en Hij beschermt de oprechten.
197_00	En zij (de afgoden) die zij buiten Hem aanroepen, zijn niet in staat jullie te helpen, noch (kunnen) zij zichzelf helpen."
198_00	En wanneer jullie ben aanroepen om leiding (te verkrijgen) dan horen zij niet. En jij ziet hen naar jou kijken, terwijl zij niet zien.
199_00	Aanvaard de verontschuldiging en roep op tot het behoorlijke en wend je af van de onwetenden.
200_00	En wanneer een influistering van de Satan jou ingefluisterd wordt, zoek dan je toevlucht bij Allah. Voorwaar, Hij is Alhorend, Alwetend.
201_00	Voorwaar, wanneer degenen die (Allah) vrezen door een influiskring van de Satan getroffen worden, gedenken zij (Allah). En dan zien zij (de Waarheid) in.
202_00	En hun (slechte) broeders doen hen nog verder afdwalen en zij houden daama niet op (te dwalen).
203_00	En wanneer jij niet met een Vers tot hen komt, dan zeggen zij: "Had je er zelf niet een kunnen maken?" Zeg: "Ik volg alleen dat wat aan Mij is geopenbaard van mijn Heer.
203_01	Dit zijn de heldere bewijzen van jullie Heer en Leiding en Bamhartigheid voor een gelovig volk."
204_00	En als de Koran wordt voorgedragen, luistert er dan naar en zwijgt hopelijk zullen jullie begenadigd worden.
205_00	En noem (de Namen van) jouw Heer in jezelf met nederigheid en vrees, en zonder luidruchtigheid van woorden, in de ochtend en in de avond en behoor niet tot de achtelozen.
206_00	Voorwaar, degenen die bij jouw Heer zijn (de Engelen), zijn niet te hoogmoedig voor de aanbidding van Hem, en zij prijzen Zijn Glorie en voor Hem werpen zij zich neer.
