001_00	Elif, Lam, Mim, Sad.
142_00	Musa'ya otuz gece vade verip sonra buna on gece daha kattık; böylece Rabbinin tayin ettiği müddet kırk geceye tamamlandı.
142_01	Musa, kardeşi Harun'a, "Milletim içinde benim yerime geç, onları ıslah et, bozguncuların yoluna gitme" dedi.
143_00	Musa, tayin ettiğimiz vakitte gelip Rabbi onunla konuşunca, Musa: "Rabbim!
143_01	Bana Kendini göster, Sana bakayım" dedi.
143_02	Allah: "Sen Beni göremezsin ama dağa bak, eğer o yerinde kalırsa sen de Beni göreceksin" buyurdu. Rabbi dağa tecelli edince onu yerlebir etti ve Musa da baygın düştü; ayılınca: "Yarabbi, münezzehsin, Sana tevbe ettim, ben inananların ilkiyim" dedi.
144_00	"Ey Musa! Verdiklerimle ve seninle konuşmamla seni insanlar arasından seçtim; sana verdiğimi al ve şükret" dedi.
145_00	Ona levhalarda her şeyden bir öğüt yazdık ve her şeyi uzun uzadıya açıkladık; onlara sıkıca sarıl, milletine de emret en güzel şekilde tutsunlar.
145_01	Size Allah'a karşı gelenlerin yurdunu göstereceğim.
146_00	Yeryüzünde haksız yere büyüklük taslayanları, ayetlerimden yüz çevirteceğim.
146_01	Onlar bütün ayetleri görseler yine de inanmazlar; doğru yolu görseler, yol olarak benimsemezler; azgınlık yolunu görseler, hemen onu yol edinirler.
146_02	Bu, onların mucizelerimizi yalan saymaları ve onlardan habersiz görünmelerinden ileri gelir.
147_00	Ayetlerimizi ve ahirete kavuşmayı yalan sayan kimselerin işleri boşa gitmiştir. Onlar işlediklerinin karşılığından başka bir şeyle mi cezalanırlar?
148_00	Musa'nın ardından milleti, ziynet takımlarından, canlıymış gibi böğüren bir buzağı heykeli yaparak onu tanrı edindiler.
148_01	O buzağının kendileriyle konuşmadığını ve yol da göstermediğini görmediler mi? Onu tanrı olarak benimseyip kendilerine yazık ettiler.
149_00	Elleri böğründe, çaresiz kalıp, kendilerinin sapıtmış olduklarını görünce: "Eğer Rabbimiz bize acımaz ve bizi bağışlamazsa, and olsun ki mahvoluruz" dediler.
150_00	Musa, milletine, kızgın ve üzgün olarak dönünce "Benim arkamdan ne kötü olmuşsunuz!
150_01	Rabbinizin emrinin çabucak gelmesini mi istiyorsunuz?" dedi, levhaları attı ve kardeşinin başından tutup kendine doğru çekti.
150_02	Harun: "Ey annem oğlu! Bu millet beni küçümsedi; az kalsın öldürüyorlardı. Bana, düşmanları sevindirecek şekilde davranma, beni bu zalim milletle bir sayma" dedi.
151_00	Musa "Rabbim! Beni ve kardeşimi bağışla, bize acı, Sen merhametlilerin merhametlisisin" dedi.
152_00	Buzağıyı tanrı olarak benimseyenler Rablerinin öfkesine ve dünya hayatında alçaklığa uğrayacaklardır; iftira edenleri böylece cezalandırırız.
153_00	Kötülük işleyip ardından tevbe edenler ve inananlar bilsinler ki Rabbin, bu hareketlerinin ardından onları şüphesiz bağışlar ve merhamet eder.
154_00	Musa, öfkesi yatışınca, bir nüshasında Rablerinden korkanlar için doğru yol ve rahmet yazılı olan levhaları aldı.
155_00	Musa, tayin ettiğimiz müddette milletinden yetmiş kişi seçti; onları sarsıntı tutunca dedi ki: "Rabbim!
155_01	Dileseydin daha önce beni ve onları yok ederdin, aramızdaki beyinsizlerin yaptıklarından ötürü bizi yok eder misin?
155_02	Bu, Senin imtihanından başka birşey değildir, bununla dilediğini saptırır, dilediğini doğru yola iletirsin; bizim dostumuz Sensin; bizi bağışla, bize merhamet et. Sen bağışlayanların en iyisisin."
156_00	"Bu dünyada ve ahirette bizim için güzel olanı yaz; biz Sana yöneldik" dedi. Allah: "Azabıma dilediğim kimseyi uğratırım, rahmetim herşeyi kaplamıştır; bunu Allah'a karşı gelmekten sakınanlara, zekat verenlere, ayetlerimize inanıp, yanlarındaki Tevrat ve İncil'de yazılı buldukları, okuyup yazması olmayan peygambere uyanlara yazacağız.
156_01	O peygamber, onlara, uygun olanı emreder ve fenalıktan meneder, temiz şeyleri helal, murdar şeyleri haram kılar, onların ağır yüklerini indirir, zor tekliflerini hafifletir. Bu peygambere inanan, hürmet eden, yardım eden, onunla gönderilen nura uyanlar yok mu? İşte onlar saadete erenlerdir" dedi.
157_00	"Bu dünyada ve ahirette bizim için güzel olanı yaz; biz Sana yöneldik" dedi.
157_01	Allah: "Azabıma dilediğim kimseyi uğratırım, rahmetim herşeyi kaplamıştır; bunu Allah'a karşı gelmekten sakınanlara, zekat verenlere, ayetlerimize inanıp, yanlarındaki Tevrat ve İncil'de yazılı buldukları, okuyup yazması olmayan peygambere uyanlara yazacağız.
157_02	O peygamber, onlara, uygun olanı emreder ve fenalıktan meneder, temiz şeyleri helal, murdar şeyleri haram kılar, onların ağır yüklerini indirir, zor tekliflerini hafifletir. Bu peygambere inanan, hürmet eden, yardım eden, onunla gönderilen nura uyanlar yok mu? İşte onlar saadete erenlerdir" dedi.
158_00	De ki: "Ey insanlar!
158_01	Doğrusu ben, göklerin ve yerin hükümranı, O'ndan başka tanrı bulunmayan, dirilten ve öldüren Allah'ın, hepiniz için gönderdiği peygamberiyim. Allah'a ve okuyup yazması olmayan, haber getiren peygamberine -ki o da Allah'a ve sözlerine inanmıştır- inanın; ona uyun ki doğru yolu bulasınız."
159_00	Musa'nın milletinden bir topluluk hakkı gösterirler ve onunla hükmederlerdi.
160_00	Biz İsrailoğullarını oymaklar halinde on iki topluluğa ayırdık.
160_01	Milleti Musa'dan su isteyince ona: "Asanla taşa vur" diye bildirdik; ondan on iki pınar fışkırdı.
160_02	Herkes içeceği yeri öğrendi. Bulutla üzerlerine gölge yaptık, onlara kudret helvası ve bıldırcın indirdik, "Size verdiğimiz rızıkların temiz olanlarından yiyin" dedik. Onlar, karşı gelmekle, Bize değil kendilerine zulmediyorlardı.
161_00	Onlara: "Şu şehirde oturun, dilediğiniz gibi yiyip için, "affet!" deyin ve secde ederek kapısından girin; Biz de yanılmalarınızı bağışlarız.
161_01	İyi davrananlara daha da artıracağız" denmişti.
162_00	Onların zulmedenleri, kendilerine söylenen sözü başkasiyle değiştirdiler. Biz de, o zalimlere, zulümlerinden ötürü gökten azab indirdik.
163_00	Onlara, deniz kıyısındaki kasabanın durumunu sor. Cumartesi yasaklarına tecavüz ediyorlardı.
163_01	Cumartesileri balıklar sürüyle geliyor, başka günler gelmiyorlardı. Biz onları, yoldan çıkmaları sebebiyle böylece deniyorduk.
164_00	Aralarından bir topluluk: "Allah'ın yok edeceği veya şiddetli azaba uğratacağı bir millete niçin öğüt veriyorsunuz?" dediler.
164_01	Öğüt verenler: "Rabbinize, hiç değilse bir özür beyan edebilmemiz içindir, belki Allah'a karşı gelmekten sakınırlar" dediler.
165_00	Kendilerine yapılan öğütleri unutunca, Biz fenalıktan menedenleri kurtardık ve zalimleri, Allah'a karşı gelmelerinden ötürü şiddetli azaba uğrattık.
166_00	Kendilerine edilen yasakları aşınca, onlara: "Aşağılık birer maymun olun" dedik.
167_00	Rabbin, kıyamet gününe kadar, onları, kötü azaba uğratacak kimseleri üzerlerine göndereceğini bildirmişti.
167_01	Doğrusu Rabbin, cezayı çabuk verir. Doğrusu O bağışlar ve merhamet eder.
168_00	Biz onları yeryüzünde iyiler ve aşağılıklar olarak bölük bölük ayırdık; iyiliğe dönerler diye onları güzellikler ve kötülüklerle sınadık.
169_00	Ardlarından yerlerine gelen bir takım kötüler, Kitap'a mirasçı oldular. "Biz nasıl olsa affedileceğiz" diyerek Kitap'ın hükümlerini değiştirme karşılığı bu değersiz dünyanın mallarını alırlar; yine ona benzer geçici bir şey kendilerine gelince onu da kabul ederlerdi.
169_01	Onlardan, Allah'a karşı ancak gerçeği söyleyeceklerine dair Kitap üzerine söz alınmamış mıydı? Kitap'da olanları okumamışlar mıydı?
169_02	Allah'a karşı gelmekten sakınanlar için, ahiret yurdu vardır, düşünmüyor musunuz? Biz, iyiliğe çalışanların ecrini elbette zayi etmeyiz.
170_00	Ardlarından yerlerine gelen bir takım kötüler, Kitap'a mirasçı oldular. "Biz nasıl olsa affedileceğiz" diyerek Kitap'ın hükümlerini değiştirme karşılığı bu değersiz dünyanın mallarını alırlar; yine ona benzer geçici bir şey kendilerine gelince onu da kabul ederlerdi. Onlardan, Allah'a karşı ancak gerçeği söyleyeceklerine dair Kitap üzerine söz alınmamış mıydı? Kitap'da olanları okumamışlar mıydı? Allah'a karşı gelmekten sakınanlar için, ahiret yurdu vardır, düşünmüyor musunuz? Biz, iyiliğe çalışanların ecrini elbette zayi etmeyiz.
171_00	Tur dağını, gölgelik gibi onların üzerlerine yükseltmiştik, onlar tepelerine düşeceğini sanmışlardı. Onlara: "Size verdiğimiz Kitap'a sıkıca sarılın, içinde olanı düşünün ki sakınanlardan olasınız" demiştik.
172_00	Rabbin, insanoğlunun sulbünden soyunu alıp devam ettirmiş, onlara: "Ben sizin Rabbiniz değil miyim" demiş ve buna kendilerini şahit tutmuştu.
172_01	Onlar da: "Evet şahidiz" demişlerdi. Bu, kıyamet günü, "Bizim bundan haberimiz yoktu" dersiniz veya "Daha önce babalarımız Allah'a ortak koşmuşlardı, biz de onlardan sonra gelen bir soyuz, bizi, boşa çalışanların yaptıklarından ötürü yok eder misin?" dersiniz diyedir.
173_00	Rabbin, insanoğlunun sulbünden soyunu alıp devam ettirmiş, onlara: "Ben sizin Rabbiniz değil miyim" demiş ve buna kendilerini şahit tutmuştu. Onlar da: "Evet şahidiz" demişlerdi. Bu, kıyamet günü, "Bizim bundan haberimiz yoktu" dersiniz veya "Daha önce babalarımız Allah'a ortak koşmuşlardı, biz de onlardan sonra gelen bir soyuz, bizi, boşa çalışanların yaptıklarından ötürü yok eder misin?" dersiniz diyedir.
174_00	Belki doğru yola dönerler diye ayetleri böylece uzun uzadıya açıklıyoruz.
175_00	Onlara, şeytanın peşine takdığı ve kendisine verdiğimiz ayetlerden sıyrılarak azgınlıklardan olan kişinin olayını anlat.
176_00	Dileseydik, onu ayetlerimizle üstün kılardık; fakat o, dünyaya meyletti ve hevesine uydu.
176_01	Durumu, üstüne varsan da, kendi haline bıraksan da, dilini sarkıtıp soluyan köpeğin durumu gibidir.
176_02	İşte ayetlerimizi yalan sayan kimselerin hali böyledir. Sen onlara bu kıssayı anlat, belki üzerinde düşünürler.
177_00	Ayetlerimizi yalan sayan, kendine zulmeden millet ne kötü bir misaldir!
178_00	Allah'ın doğru yola sevkettiği kimse doğru yolda olur. Saptırdığı kimseler ise, işte onlar mahvolanlardır.
179_00	And olsun ki, cehennem için de birçok cin ve insan yarattık; onların kalbleri vardır ama anlamazlar; gözleri vardır ama görmezler; kulakları vardır ama işitmezler.
179_01	İşte bunlar hayvanlar gibi hatta daha sapıktırlar.
179_02	İşte bunlar gafillerdir.
180_00	En güzel isimler Allah'ındır, O'na o isimlerle dua edin, O'nun isimleri konusunda eğriliğe sapanları bırakın. Onlar yaptıklarının cezasını göreceklerdir.
181_00	Yarattıklarımızdan bir topluluk hakkı gösterirler ve onunla hükmederler.
182_00	Ayetlerimizi yalan sayanları, bilmedikleri yönden, ağır ağır sonuçlarına yaklaştıracağız.
183_00	Onlara mahsustan mühlet veririm, çünkü Benim düzenim çetindir.
184_00	Düşünmüyorlar mı ki, arkadaşları olan peygamberde deliliğin eseri yoktur. O ancak açıkça uyaran bir kimsedir.
185_00	Göklerin ve yerin hükümranlığını, Allah'ın yarattığı her şeyi ve ecellerinin yaklaşmış olması ihtimalini düşünmüyorlar mı?
185_01	Bundan sonra hangi söze inanacaklar?
186_00	Allah'ın saptırdığını yola getirecek yoktur. O, sapanları taşkınlıkları içinde bocalayıp dururlarken bırakır.
187_00	Sana, kıyamet saatinin ne zaman gelip çatacağını soruyorlar, de ki: "Onu ancak Rabbim bilir, onun vaktini, O'ndan başka belirtecek yoktur.
187_01	Göklerin ve yerin, ağırlığını kaldıramayacağı o saat, sizlere ansızın gelecektir." Sen sanki öğrenmişsin gibi sana soruyorlar, de ki: "Onu bilmek ancak Allah'a mahsustur, ama insanların çoğu bu gerçeği bilmezler."
188_00	De ki: "Allah'ın dilemesi dışında ben kendime bir fayda ve zarar verecek durumda değilim.
188_01	Görülmeyeni bileydim, daha çok iyilik yapardım ve bana kötülük de gelmezdi. Ben sadece, inanan bir milleti uyaran ve müjdeleyen bir peygamberim."
189_00	Sizi bir nefisten yaratan ve gönlünün huzura kavuşacağı eşini de ondan var eden Allah'tır.
189_01	Eşine yaklaşınca, eşi hafif bir yük yüklendi ve bu halde bir müddet taşıdı. Hamileliği ağırlaşınca, karı-koca, Rableri olan Allah'a: "Bize kusursuz bir çocuk verirsen, and olsun ki şükredenlerden oluruz" diye yalvardılar.
190_00	Allah onlara kusursuz bir çocuk verince, kendilerine verdiği şey hakkında Allah'a ortaklar koştular. Allah, onların ortak koştukları şeylerden yücedir.
191_00	Kendileri yaratılmışken, bir şey yaratamayan putları mı ortak koşuyorlar?
192_00	Oysa putlar ne onlara yardım edebilir ve ne de kendilerine bir yardımları olur.
193_00	Onları doğru yola çağırırsanız, size uymazlar; çağırmanız da, susmanız da onlar için birdir.
194_00	Allah'tan başka taptıklarınız putlar da, sizin gibi yaratıklardır. Eğer doğru sözlü iseniz, onları çağırın da size cevap versinler bakalım.
195_00	Onların yürüyecek ayakları mı var, yoksa tutacak elleri mi var, ya da görecek gözleri mi var, veya işitecek kulakları mı var?
195_01	De ki: "Ortaklarınızı çağırın elinizden gelirse bana tuzak kurun, göz açtırmayın."
196_00	"Çünkü benim dostum, Kitap'ı indiren Allah'tır. O, iyileri dost edinir."
197_00	"O'nu bırakıp da taptıklarınız, kendilerine yardım edemezler ki size yardım etsinler."
198_00	Onları doğru yola çağırırsanız duymazlar. Sana baktıklarını görürsün, oysa görmezler.
199_00	Sen af yolunu tut, bağışla, uygun olanı emret, bilgisizlere aldırış etme.
200_00	Şeytan seni dürtecek olursa Allah'a sığın, doğrusu O işitir ve bilir.
201_00	Allah'a karşı gelmekten sakınanlar, şeytan tarafından bir vesveseye uğrayınca, Allah'ı anarlar ve hemen gerçeği görürler.
202_00	Şeytanın kardeşleri onları azgınlığa sürüklerler ve bundan hiç geri durmazlar.
203_00	Onlara bir ayet getirmediğin zaman, "Sen bir tane yapsaydın ya" derler.
203_01	De ki: "Ben ancak Rabbim tarafından bana vahyolunana uyarım. Bu Kitap inanan millete Rabbinizden açık belgeler, yol gösterme ve rahmettir."
204_00	Kuran okunduğu zaman ona kulak verin, dinleyin ki merhamet olunasınız.
205_00	Rabbini gönülden ve korkarak içinden hafif bir sesle sabah akşam an, gafillerden olma.
206_00	Doğrusu Rabbinin katında olanlar, O'na kulluk etmekten büyüklenmezler, O'nu tenzih ederler ve yalnız O'na secde ederler.
