001_00	O besimtarë! Plotësoni obligimet (marrëveshjet)!
094_00	O besimtarë!
094_01	Perëndia do t’ju provojë juve me ndalim nga një gjueti që e arrijnë duart tuaja dhe shigjetat tuaja, që Perëndia ta tregojë atë që i druan Atij, kur askush nuk e sheh. E, kushdo që ta kalojë kufirin (këtë dispozitë), për të ka dënim pikëllues.
095_00	O besimtarë!
095_01	Mos gjuani, duke qenë në ihram!
095_02	E, kushdo që qet të vret (egërsirën) me paramendim, për dënim do të therrë një shtazë shtëpiake të ngjashme me kafshën e gjuajtur.
095_03	Këtë, e vlerësojnë dy vetë të drejtë, duke dërguar kurban në Qabe, ose duke i ushqyer të varfërit për të larë mëkatin, ose të agjëroj në këtë masë, që ta ndiejë ndëshkimin e mëkatit të bërë. Perëndia i falë atë që ka kaluar (para ndalimit). E, kush vepron edhe pas ndalimit, Perëndia do ta ndëshkojë. Se, Perëndia është i Plotëfuqishëm dhendëshkues.
096_00	U është lejuar gjuetia e detit dhe ngrënia e saj, duke u kënaqur me të, në shtëpi dhe në udhëtim.
096_01	E, ju është ndaluar gjuetia e tokës, deri sa të gjendeni në Ihram. Druajeni Perëndinë, para të cilit do të tuboheni.
097_00	Perëndia e bëri Qaben – Shtëpi të shenjtë që njerëzit t’i kryejnë detyrat fetare dhe muajin e shenjt, kurbanin dhe kurbanin e shënuar.
097_01	Këto të gjitha, i bëri, për të ditur se Perëndia di çdo gjë në qiej dhe në Tokë dhe që Perëndia është i Gjithëdijshëm.
098_00	Dinie se Perëndia është ndëshkues i rreptë dhe se është falës e mëshirues.
099_00	Pejgamberi ka për detyrë vetëm t’ju komunikojë Shpalljes. Se Perëndia di çka punoni sheshazi e çka fshehurazi.
100_00	Thuaju: “Nuk barazohet e keqja me të mirën, sikur edhe të të kënaqte shumica e të këqijave. Druajeni Perëndinë, o të zotët e mendjes së hollë, që të shpëtoni.
101_00	O besimtarë! Mos pyetni për disa sende, që sikur t’ju thuhet haptazi do të ishit të pakënaqur, e nëse pyetni për ato kur zbritet Kur’ani, do t’u jenë të qarta.
101_01	Perëndia ua ka falë kërshërinë. Se, Perëndia, është falës dhe i butë, (nuk nxiton në ndëshkime).
102_00	Disa njerëz kanë pyetur kështu, para jush, e nuk kanë besuar (u bënë mohues).
103_00	Perëndia nuk e përligji Behirën (devën femër me veshë të prerë); as Saibën (devën që e flijonin për statujë); as Vesilën (devën që ka pjellë pesë herë rresht qingja – femër e u është flijuar statujeve); as Hamin (devën që nuk e ngarkonin as shalonin).
103_01	Por, mohuesit (duke besuar kështu shtrembër), kanë trilluar gënjeshtra për Perëndinë! Shumica nga ata nuk kanë mend.
104_00	E kur ju thuhet atyre: “Ejani në atë që e ka zbritur Perëndia dhe ejani te Pejgamberi!” Ata thanë: “Neve na mjafton ajo, në çka i kemi gjetë etërit tonë”.
104_01	A mos edhe atëherë, kur etërit e tyre nuk kanë ditur asgjë, e as nuk ishin në udhën e vërtetë?
105_00	O besimtarë! Ruajuni!
105_01	Kur të gjendeni në rrugën e vërtetë, nuk do t’ju dëmtojë ai që është i humbur. Te Perëndia të gjithë do të ktheheni, e do t’ju lajmërojë për atë që keni punuar.
106_00	O besimtarë!
106_01	– kur t’ju afrohet vdekja, me rastin e dhënies së testamentit, le të dëshmojnë dy të drejtë prej jush, ose dy të tjerë që nuk janë prej jush – nëse gjendeni në rrugë dhe u duken shenjat e vdekjes.
106_02	E, nëse dyshoni në ta, mbani ata pas namazit dhe le të betohen në Perëndinë.
106_03	“Na nuk do ta shesim betimin me kurrfarë çmimi, edhe nëse është fjala për çfarëdo të afërmi, dhe dëshminë që na urdhëron Perëndia nuk do ta fshehim, sepse, atëherë, do të ishim, me të vërtetë mëkatarë”.
107_00	Nëse hetohet se ata dy dëshmues kanë bërë mëkat, atëherë dy të tjerë do t’i zëvendësojnë ata të dy, nga ata që u është bërë padrejtësi, e këta dy do të betohen në Perëndinë (duke thënë): “Dëshmia jonë është gjithsesi më e drejtë se dëshmia e atyre dyve dhe na nuk i kemi kaluar kufijt.
107_01	Sepse, atëherë, ne do të ishim zullumqarë”.
108_00	Kështu, më së lehti mund të bëjnë dëshminë e tyre të saktë, ose të frikohen që betimet e tyre të refuzohen (mohohen) me betime tjera. – Druajuni Perëndisë dhe dëgjonie!
108_01	Se, Perëndia, nuk i udhëzon në rrugë të drejtë njerëzit ngatërrestarë.
109_00	Kujtojeni ditën kur Perëndia i tubon Pejgamberët e ju thotë: “Çka ju përgjigjën?” Ata thonë: “Na s’kemi dijeni (të plotë), se vetëm Ti i di të gjitha fshehtësitë”.
110_00	(Kujtoje o Muhammed!), kur Perëndia tha: “O Isa, i biri i Merjemës, kutjoje mirësinë Time ndaj teje dhe nënës tënde: kur të fo
110_01	rcova ty me Shpirtin e shenjtë (Xhebrailin), e ju flitje njerëzve duke qenë fëmijë (në djep) dhe si njeri i rritur; dhe kur ta
110_02	mësova shkrimin dhe dijeninë e thellë, Teuratin dhe Inxhilin, dhe kur krijove një figurë shpendi prej balte me urdhërin Tim e
110_03	fryeve në të, e u bë zog, me urdhërin Tim; dhe kur me urdhërin Tim, i ngjalle të vdekurit; dhe kur i pengova sulmet e Israeli
110_04	tëve në Ty, atëheë kur ju solle atyre argumente të qarta, e ata që nuk besuan ndër, ta, thanë: “Kjo është vetëm magji e kulluar!”
111_00	dhe kur i urdhërova Havarijjunët (Apostujt): “Besomëni Mua dhe Pejgamberin Tim!” Ata u përgjigjën: “Na besojmë, e ti bëhu dëshmues që ne jemi muslimanë!”
112_00	E, kur apostujt thanë: “O Isa, i biri i Merjemës, a mundet Zot’i yt të na zb resë një sofër prej qielli?”
112_01	Ai tha: “Druani Perëndinë, nëse jeni besimtarë!”
113_00	Ata thanë: “Na dëshirojmë ta hamë nga ajo (sofër), dhe të na qetësohen zemrat, dhe ta dimë (konkretisht) që na ke thanë të vërtetën dhe për atë të jemi dëshmitarë”.
114_00	Isai, i bir’i Merjemës tha: “O Perëndi, o Zoti ynë! Zbritna neve një sofër nga qielli, që të na jetë festë për bashkëkohanikët dhe pasardhësit tonë; dhe të jetë mrekulli prej Teje
114_01	dhe furnizona, se Ti je më i miri furnizues.” ”
115_00	Perëndia tha: “Unë do t’ju zbres sofrën, e kush nga ju, pas kësaj nuk beson, Unë do ta dënoj me një dënim, me çfarë nuk do ta dënojë askënd në botë”.
116_00	E, kur Perëndia thotë: “O Isa, i bir’i Merjemës, a mos ti u ke thënë njerëzve: “Merrmëni mu
116_01	a dhe nënën time si dy zotra, përpos Perëndisë?” Isai thotë: “Ti je i pastër nga të metat!”
116_02	Mua nuk më përket të them ate çka ka në Ty. Vetëm Ti i di të gjitha ato që janë të fshehta.
117_00	Unë nuk ju kam thënë asgjë tjetër, përveç asaj që më ke urdhëruar Ti: “Adhuronie Perëndinë, Zotin tim dhe Zotin tuaj!” Kam qenë dëshmitar deri sa kam qenë në mesin e tyre.
117_01	E pasi më more mua, vetëm Ti ishe mbikëqyrës i tyre. E, Ti je dëshmitar për çdo gjë.
118_00	Nëse Ti i dënon ata – robërit e Tu janë, e nëse i falë ata, me të vërtetë, vetëm Ti je i Plotëfuqishëm dhe i Gjithëdijshëm.
119_00	Perëntia thotë: “Kjo është Dita, në të cilën, të sinqertëve u sjell dobi sinqeriteti i tyre. Atyre u takojnë kopshtet, nëpër të cilat rrjedhin lumenjt, ku do të qëndrojnë përgjithmonë.
119_01	Perëndia është i kënaqur me ta; dhe ata janë të kënaqur me Te. Kjo është fitorja e madhe!”
120_00	Të Perëndisë janë pushteti mbi qiej dhe mbi Tokë dhe çka gjendet në To. Ai është i pushtetshëm për çdo gjë.
