001_00	Alif, Lâm, Mîm, Sâd,
169_01	Se fossero giunti altri beni terreni, ugualmente, se ne sarebbero appropriati! Non avevano accettato il patto della Scrittura, secondo cui non avrebbero detto, su Allah, altro che la verità?
169_02	Proprio loro che avevano studiato ciò che essa contiene? La dimora ultima è la migliore per i timorati; ancora non lo capite?
170_00	Quanto a coloro che si attengono saldamente al Libro ed eseguono l'orazione, certamente non trascuriamo la ricompensa a quelli che si emendano.
171_00	E quando elevammo il Monte sopra di loro, come fosse un baldacchino, e temevano che sarebbe rovinato loro addosso, [dicemmo]: “Afferrate con forza ciò che vi abbiamo dato e ricordatevi di quel che contiene. Forse sarete timorati”.
172_00	E quando il Signore trasse, dai lombi dei figli di Adamo, tutti i loro discendenti e li fece testimoniare contro loro stessi [disse]: “Non sono il vostro Signore?”.
172_01	Risposero: “Sì, lo attestiamo”, [Lo facemmo] perché nel Giorno della Resurrezione non diciate: “Veramente eravamo incoscienti”;
173_00	o diciate: “I nostri antenati erano associatori e noi siamo i loro discendenti: vorresti annientarci per quello che facevano questi inventori di nullità?”.
174_00	Così spieghiamo i Nostri segni. Forse ritorneranno [a Noi].
175_00	Racconta loro la storia di colui cui avevamo dato Nostri segni e che li trascurò. Satana lo seguì e fu uno dei traviati.
176_00	Se avessimo voluto, lo avremmo elevato grazie a questi segni; ma si aggrappò alla terra e seguì le sue passioni.
176_01	Fu come il cane che ansima se lo attacchi e ansima se lo lasci stare. Ecco a chi è simile il popolo che taccia di menzogna i Nostri segni.
176_02	Racconta loro le storie, affinché riflettano!
177_00	Che cattivo esempio, quello del popolo che taccia di menzogna i Nostri segni e fa torto a se stesso.
178_00	Colui che è guidato da Allah è ben guidato, chi da Lui è traviato si perde.
179_00	In verità creammo molti dei dèmoni e molti degli uomini per l'Inferno: h
179_01	anno cuori che non comprendono, occhi che non vedono e orecchi che non s
179_02	entono, sono come bestiame, anzi ancor peggio. Questi sono gli incuranti.
180_00	Ad Allah appartengono i nomi più belli: invocateLo con quelli e allontanatevi da coloro che profanano i nomi Suoi: presto saranno compensati per quello che hanno fatto.
181_00	Tra le Nostre creature c'è una comunità che guida secondo verità e con essa esercita la giustizia.
182_00	Condurremo [alla rovina] coloro che tacciano di menzogna i Nostri segni e non sapranno donde viene.
183_00	Concederò loro una dilazione, ché il Mio piano è certo.
184_00	Non hanno riflettuto? Non c'è un dèmone nel loro compagno: egli non è che un nunzio chiarissimo.
185_00	Non hanno considerato il Regno dei cieli e della terra, e tutto ciò che Allah ha creato e che, forse, è vicino il termine loro?
185_01	In quale altro messaggio crederanno, dopo di ciò?
186_00	Chi è traviato da Allah non avrà la guida. Egli lascia che procedano alla cieca nella loro ribellione.
187_00	Ti chiederanno dell'Ora: “Quando giungerà?”. Di': “La conoscenza di questo appartiene al mio Signore. A suo tempo, non la paleserà altri che Lui.
187_01	Sarà gravosa nei cieli e sulla terra, vi coglierà all'improvviso”. Ti interrogano come se tu ne fossi avvertito. Di': “La scienza di ciò appartiene ad Allah”. Ma la maggior parte degli uomini non lo sa.
188_00	Di': “Non dispongo, da parte mia, né di ciò che mi giova, né di ciò che mi nuoce, eccetto ciò che Allah vuole.
188_01	Se conoscessi l'invisibile possederei beni in abbondanza e nessun male mi toccherebbe. Non sono altro che un nunzio e un ammonitore per le genti che credono”.
189_00	Egli è Colui Che vi ha creati da un solo individuo, e che da esso ha tratto la sua sposa affinché riposasse presso di lei.
189_01	Dopo che si unì a lei, ella fu gravida di un peso leggero, con il quale camminava [senza pena]. Quando poi si appesantì, entrambi invocarono il loro Signore Allah: “Se ci darai un [figlio] probo, Ti saremo certamente riconoscenti”.
190_00	Ma quando diede loro un [figlio] probo, essi attribuirono ad Allah associati in ciò che Egli aveva loro donato. Ma Allah è ben superiore a quello che Gli viene associato.
191_00	Gli associano esseri che non creano nulla e che, anzi, sono essi stessi creati,
192_00	e non possono esser loro d'aiuto e neppure esserlo a loro stessi.
193_00	Se li invitate alla retta via, non vi seguiranno. Sia che li invitiate o che tacciate, per voi è lo stesso.
194_00	In verità coloro che invocate all'infuori di Allah, sono [Suoi] servi come voi. Invocateli dunque e che vi rispondano, se siete sinceri!
195_00	Hanno piedi per camminare, hanno mani per afferrare, hanno occhi per vedere, hanno orecchie per sentire?
195_01	Di': “Chiamate questi associati, tramate pure contro di me e non datemi tregua:
196_00	ché il mio Patrono è Allah, Colui Che ha fatto scendere il Libro, Egli è il Protettore dei devoti.
197_00	E coloro che invocate all'infuori di Lui, non sono in grado di aiutarvi e neppure di aiutare loro stessi”.
198_00	Se li chiami alla retta via, non ti ascolteranno. Li vedi: rivolgono lo sguardo verso di te, ma non vedono.
199_00	Prendi quello che ti concedono di buon grado, ordina il bene e allontanati dagli ignoranti.
200_00	E se ti coglie una tentazione di Satana, rifugiati in Allah. Egli è Colui Che tutto ascolta e conosce!
201_00	In verità coloro che temono [Allah], quando li coglie una tentazione, Lo ricordano ed eccoli di nuovo lucidi.
202_00	Ma i loro fratelli li sospingono ancor più nella aberrazione, senza che poi, mai più, smettano.
203_00	E quando non rechi loro qualche versetto, dicono: “Non l'hai ancora scelto?”. Di': “In verità non seguo altro che quello che mi ha rivelato il mio Signore”.
203_01	Ecco [venirvi] dal vostro Signore un invito alla visione chiara: una direzione, una misericordia per coloro che credono.
204_00	Quando viene letto il Corano, prestate attenzione e state zitti, ché vi sia fatta misericordia.
205_00	Ricordati del tuo Signore nell'animo tuo, con umiltà e reverenziale timore, a bassa voce, al mattino e alla sera e non essere tra i noncuranti.
206_00	Certamente coloro che sono presso il tuo Signore non disdegnano di adorarLo: Lo lodano e si prosternano davanti a Lui..
